rank,character,read_value,candidates,correct
1,Mario,3.0,{'3.0': 3},
1,Kirby,3.0,{'3.0': 3},
1,Fox,3.0,{'3.0': 3},
1,Ness,3.0,{'3.0': 3},
1,Marth,3.0,{'3.0': 3},
1,Ganondorf,3.0,{'3.0': 3},
1,Wario,3.0,{'3.0': 3},
1,Snake,3.0,{'3.0': 3},
1,ROB,3.0,{'3.0': 3},
1,Wii Fit Trainer,3.0,{'3.0': 3},
1,Shulk,3.0,{'3.0': 3},
1,Duck Hunt,3.0,{'3.0': 3},
1,Corrin,3.0,{'3.0': 3},
1,Joker,3.0,{'3.0': 3},
1,Terry,3.0,{'3.0': 3},
1,Min Min,3.0,{'3.0': 3},
1,Steve,3.0,{'3.0': 3},
1,Kazuya,3.0,{'3.0': 3},
1,Sora,3.0,{'3.0': 3},
20,Mr Game and Watch,2.75,"{'2.15': 2, '2.75': 1}",
20,Pit,2.75,{'2.75': 3},
20,Ike,2.75,{'2.75': 3},
23,Pikachu,2.72,"{'2.02': 2, '2.72': 2, '0.22': 2}",
24,Donkey Kong,2.66,{'2.66': 3},
25,Piranha Plant,2.4,{'2.4': 3},
26,Zelda,2.09,"{'2.09': 2, '2.55': 1}",
27,Lucas,2.03,"{'2.03': 2, '2.53': 1}",
28,Bowser,2.0,{'2.0': 3},
28,Falco,2.0,{'2.0': 3},
28,Lucario,2.0,{'2.0': 6},
28,Bayonetta,2.0,{'2.0': 3},
28,Richter,2.0,{'2.0': 3},
28,Isabelle,2.0,{'2.0': 3},
34,Samus,1.0,{'1.0': 3},
34,Peach,1.0,{'1.0': 3},
36,Link,0.0,{'0.0': 3},
36,Rosalina and Luma,0.0,{'0.0': 3},
36,Dark Samus,0.0,{'0.0': 3},
36,Yoshi,0.0,{'0.0': 3},
36,Luigi,0.0,{'0.0': 3},
36,Captain Falcon,0.0,{'0.0': 3},
36,Jigglypuff,0.0,{'0.0': 3},
36,Daisy,0.0,{'0.0': 3},
36,Ice Climbers,0.0,{'0.0': 3},
36,Sheik,0.0,{'0.0': 3},
36,Dr Mario,0.0,{'0.0': 3},
36,Pichu,0.0,{'0.0': 3},
36,Lucina,0.0,{'0.0': 3},
36,Young Link,0.0,{'0.0': 3},
36,Mewtwo,0.0,{'0.0': 3},
36,Roy,0.0,{'0.0': 3},
36,Chrom,0.0,{'0.0': 6},
36,Meta Knight,0.0,{'0.0': 3},
36,Dark Pit,0.0,{'0.0': 3},
36,Zero Suit Samus,0.0,{'0.0': 3},
36,Pokemon Trainer,0.0,{'0.0': 3},
36,Diddy Kong,0.0,{'0.0': 3},
36,Sonic,0.0,{'0.0': 3},
36,King Dedede,0.0,{'0.0': 6},
36,Olimar,0.0,{'0.0': 3},
36,Toon Link,0.0,{'0.0': 3},
36,Wolf,0.0,{'0.0': 3},
36,Villager,0.0,{'0.0': 3},
36,Mega Man,0.0,{'0.0': 3},
36,Little Mac,0.0,{'0.0': 3},
36,Greninja,0.0,{'0.0': 6},
36,Palutena,0.0,{'0.0': 3},
36,Pac-Man,0.0,{'0.0': 3},
36,Robin,0.0,{'0.0': 3},
36,Bowser Jr,0.0,{'0.0': 3},
36,Ryu,0.0,{'0.0': 3},
36,Ken,0.0,{'0.0': 3},
36,Cloud,0.0,{'0.0': 6},
36,Inkling,0.0,{'0.0': 3},
36,Ridley,0.0,{'0.0': 3},
36,Simon,0.0,{'0.0': 3},
36,King K Rool,0.0,{'0.0': 3},
36,Incineroar,0.0,{'0.0': 3},
36,Hero,0.0,{'0.0': 6},
36,Banjo and Kazooie,0.0,{'0.0': 6},
36,Byleth,0.0,{'0.0': 3},
36,Sephiroth,0.0,{'0.0': 3},
36,Pyra-Mythra,0.0,{'0.0': 3},
36,Mii Brawler,0.0,{'0.0': 3},
36,Mii Swordsman,0.0,{'0.0': 3},
36,Mii Gunner,0.0,{'0.0': 3},
