rank,character,read_value,candidates,correct
1,Zelda,9442.0,"{'9442': 2, '5442': 1}",
2,Pit,4803.0,{'4803': 3},
3,Lucas,4055.0,{'4055': 3},
4,Mr Game and Watch,3672.0,{'3672': 3},
5,Ike,3185.0,{'3185': 3},
6,Pikachu,2801.0,{'2801': 3},
7,Piranha Plant,1928.0,{'1928': 3},
8,ROB,1528.0,{'1528': 6},
9,Corrin,1077.0,{'1077': 3},
10,Donkey Kong,854.0,{'854': 3},
11,Falco,810.0,{'810': 3},
12,Snake,751.0,{'751': 3},
13,Shulk,574.0,"{'74': 2, '574': 1}",
14,Isabelle,553.0,"{'953': 2, '553': 1}",
15,Fox,535.0,"{'535': 4, '359': 2}",
16,Lucario,479.0,{'479': 3},
17,Marth,435.0,{'435': 3},
18,Richter,430.0,{'430': 3},
19,Bayonetta,423.0,{'423': 3},
20,Rosalina and Luma,421.0,{'421': 3},
21,Bowser,417.0,"{'417': 2, '47': 1}",
22,Min Min,404.0,{'404': 6},
23,Sora,397.0,{'397': 3},
24,Peach,377.0,{'377': 3},
25,Kazuya,369.0,{'369': 3},
26,Link,348.0,{'348': 3},
27,Kirby,344.0,{'344': 3},
28,Ness,330.0,{'330': 3},
29,Wii Fit Trainer,300.0,{'300': 6},
30,Samus,271.0,{'271': 3},
31,Wario,265.0,{'265': 3},
32,Terry,258.0,{'258': 3},
33,Duck Hunt,234.0,{'234': 3},
34,Steve,228.0,{'228': 3},
35,Ganondorf,220.0,{'220': 3},
36,Mario,202.0,{'202': 6},
37,Joker,164.0,{'164': 3},
38,Dark Samus,0.0,{'0': 2},
38,Yoshi,0.0,{'0': 1},
38,Luigi,0.0,{'0': 2},
38,Captain Falcon,0.0,{'0': 2},
38,Jigglypuff,0.0,{'0': 1},
38,Daisy,0.0,{'0': 2},
38,Ice Climbers,0.0,{'0': 1},
38,Sheik,0.0,{'0': 1},
38,Dr Mario,0.0,{'0': 1},
38,Pichu,0.0,{'0': 2},
38,Lucina,0.0,{'0': 2},
38,Young Link,0.0,{'0': 2},
38,Mewtwo,0.0,{'0': 1},
38,Roy,0.0,{'0': 2},
38,Chrom,0.0,{'0': 2},
38,Meta Knight,0.0,{'0': 1},
38,Dark Pit,0.0,{'0': 1},
38,Zero Suit Samus,0.0,{'0': 2},
38,Pokemon Trainer,0.0,{'0': 1},
38,Diddy Kong,0.0,{'0': 2},
38,Sonic,0.0,{'0': 1},
38,King Dedede,0.0,{'0': 3},
38,Olimar,0.0,{'0': 1},
38,Toon Link,0.0,{'0': 3},
38,Sephiroth,0.0,{'0': 5},
38,Villager,0.0,{'0': 3},
38,Mega Man,0.0,{'0': 2},
38,Little Mac,0.0,{'0': 1},
38,Greninja,0.0,{'0': 2},
38,Palutena,0.0,{'0': 2},
38,Pac-Man,0.0,{'0': 1},
38,Robin,0.0,{'0': 1},
38,Bowser Jr,0.0,{'0': 1},
38,Ryu,0.0,{'0': 2},
38,Ken,0.0,{'0': 1},
38,Cloud,0.0,{'0': 2},
38,Inkling,0.0,{'0': 1},
38,Ridley,0.0,{'0': 2},
38,Simon,0.0,{'0': 1},
38,King K Rool,0.0,"{'0': 1, '6': 1}",
38,Incineroar,0.0,{'0': 2},
38,Hero,0.0,{'0': 1},
38,Banjo and Kazooie,0.0,{'0': 1},
38,Byleth,0.0,{'0': 2},
38,Pyra-Mythra,0.0,{'0': 1},
38,Mii Brawler,0.0,{'0': 3},
38,Mii Swordsman,0.0,{'0': 1},
38,Mii Gunner,0.0,{'0': 2},
