rank,character,read_value,candidates,correct
1,Pit,17.0,"{'17': 2, '7': 1}",
1,Lucas,17.0,"{'17': 2, '7': 1}",
3,Zelda,16.0,{'16': 3},
3,Mr Game and Watch,16.0,{'16': 3},
5,Pikachu,9.0,"{'9': 2, '5': 1}",
5,Ike,9.0,"{'9': 2, '5': 1}",
7,Piranha Plant,6.0,{'6': 3},
8,Donkey Kong,4.0,{'4': 3},
8,ROB,4.0,{'4': 3},
8,Shulk,4.0,{'4': 3},
11,Falco,3.0,{'3': 3},
11,Snake,3.0,{'3': 3},
11,Rosalina and Luma,3.0,{'3': 3},
11,Corrin,3.0,{'3': 3},
11,Bayonetta,3.0,{'3': 3},
11,Richter,3.0,{'3': 3},
17,Fox,2.0,{'2': 3},
17,Marth,2.0,{'2': 3},
17,Sora,2.0,{'2': 3},
20,Link,1.0,{'1': 3},
20,Ness,1.0,{'1': 3},
20,Lucario,1.0,{'1': 3},
20,Duck Hunt,1.0,{'1': 3},
20,Isabelle,1.0,{'1': 3},
20,Steve,1.0,{'1': 3},
20,Kazuya,1.0,{'1': 3},
27,Mario,0.0,{'0': 3},
27,Samus,0.0,{'0': 2},
27,Kirby,0.0,{'0': 2},
27,Peach,0.0,{'0': 1},
27,Bowser,0.0,{'0': 1},
27,Ganondorf,0.0,{'0': 2},
27,Wario,0.0,{'0': 3},
27,Wii Fit Trainer,0.0,{'0': 2},
27,Joker,0.0,{'0': 1},
27,Terry,0.0,{'0': 1},
27,Min Min,0.0,{'0': 1},
27,Dark Samus,0.0,{'0': 2},
27,Yoshi,0.0,{'0': 2},
27,Luigi,0.0,{'0': 2},
27,Captain Falcon,0.0,{'0': 1},
27,Jigglypuff,0.0,{'0': 2},
27,Daisy,0.0,{'0': 2},
27,Ice Climbers,0.0,{'0': 1},
27,Sheik,0.0,{'0': 2},
27,Dr Mario,0.0,{'0': 1},
27,Pichu,0.0,{'0': 1},
27,Lucina,0.0,{'0': 3},
27,Young Link,0.0,{'0': 2},
27,Mewtwo,0.0,{'0': 1},
27,Roy,0.0,{'0': 2},
27,Chrom,0.0,{'0': 1},
27,Meta Knight,0.0,{'0': 1},
27,Dark Pit,0.0,{'0': 2},
27,Zero Suit Samus,0.0,{'0': 1},
27,Pokemon Trainer,0.0,{'0': 3},
27,Diddy Kong,0.0,{'0': 3},
27,Sonic,0.0,{'0': 2},
27,King Dedede,0.0,{'0': 2},
27,Olimar,0.0,{'0': 1},
27,Toon Link,0.0,{'0': 2},
27,Sephiroth,0.0,{'0': 4},
27,Villager,0.0,{'0': 2},
27,Mega Man,0.0,{'0': 1},
27,Little Mac,0.0,{'0': 2},
27,Greninja,0.0,{'0': 1},
27,Palutena,0.0,{'0': 2},
27,Pac-Man,0.0,{'0': 1},
27,Robin,0.0,{'0': 1},
27,Bowser Jr,0.0,{'0': 2},
27,Ryu,0.0,{'0': 2},
27,Ken,0.0,{'0': 1},
27,Cloud,0.0,"{'0': 1, '6': 1}",
27,Inkling,0.0,{'0': 2},
27,Ridley,0.0,{'0': 1},
27,Simon,0.0,{'0': 1},
27,King K Rool,0.0,{'0': 3},
27,Incineroar,0.0,{'0': 1},
27,Hero,0.0,{'0': 4},
27,Banjo and Kazooie,0.0,{'0': 3},
27,Byleth,0.0,{'0': 3},
27,Pyra-Mythra,0.0,{'0': 2},
27,Mii Brawler,0.0,{'0': 2},
27,Mii Swordsman,0.0,{'0': 1},
27,Mii Gunner,0.0,{'0': 1},
