rank,character,read_value,candidates,correct
1,Ike,21.0,"{'21': 2, '2': 1}",
2,Zelda,16.0,{'16': 3},
3,Pikachu,14.0,{'14': 3},
4,Lucas,11.0,{'11': 2},
5,Mr Game and Watch,8.0,{'8': 3},
5,Pit,8.0,{'8': 3},
7,Corrin,3.0,{'3': 3},
7,Piranha Plant,3.0,{'3': 3},
9,Lucario,2.0,{'2': 3},
9,Isabelle,2.0,{'2': 3},
9,Terry,2.0,{'2': 3},
9,Sora,2.0,{'2': 3},
13,Donkey Kong,1.0,{'1': 3},
13,Fox,1.0,{'1': 3},
13,Bowser,1.0,{'1': 3},
13,ROB,1.0,{'1': 3},
13,Joker,1.0,{'1': 3},
18,Mario,0.0,{'0': 1},
18,Link,0.0,{'0': 2},
18,Samus,0.0,{'0': 1},
18,Kirby,0.0,{'0': 1},
18,Ness,0.0,{'0': 2},
18,Peach,0.0,{'0': 2},
18,Falco,0.0,{'0': 1},
18,Marth,0.0,{'0': 1},
18,Ganondorf,0.0,{'0': 2},
18,Wario,0.0,{'0': 2},
18,Snake,0.0,{'0': 2},
18,Wii Fit Trainer,0.0,{'0': 2},
18,Rosalina and Luma,0.0,{'0': 2},
18,Shulk,0.0,{'0': 2},
18,Duck Hunt,0.0,{'0': 3},
18,Bayonetta,0.0,{'0': 1},
18,Richter,0.0,{'0': 2},
18,Min Min,0.0,{'0': 1},
18,Steve,0.0,{'0': 2},
18,Kazuya,0.0,{'0': 2},
18,Dark Samus,0.0,{'0': 1},
18,Yoshi,0.0,"{'0': 2, '6': 1}",
18,Luigi,0.0,{'0': 2},
18,Captain Falcon,0.0,{'0': 3},
18,Jigglypuff,0.0,{'0': 2},
18,Daisy,0.0,{'0': 2},
18,Ice Climbers,0.0,{'0': 2},
18,Sheik,0.0,{'0': 1},
18,Dr Mario,0.0,{'0': 1},
18,Pichu,0.0,{'0': 2},
18,Lucina,0.0,{'0': 2},
18,Young Link,0.0,{'0': 2},
18,Mewtwo,0.0,{'0': 2},
18,Roy,0.0,{'0': 1},
18,Chrom,0.0,{'0': 1},
18,Meta Knight,0.0,{'0': 1},
18,Dark Pit,0.0,{'0': 1},
18,Zero Suit Samus,0.0,{'0': 2},
18,Pokemon Trainer,0.0,{'0': 1},
18,Diddy Kong,0.0,{'0': 2},
18,Sonic,0.0,{'0': 3},
18,King Dedede,0.0,{'0': 3},
18,Olimar,0.0,{'0': 2},
18,Toon Link,0.0,{'0': 2},
18,Wolf,0.0,{'0': 1},
18,Villager,0.0,{'0': 3},
18,Mega Man,0.0,{'0': 2},
18,Little Mac,0.0,{'0': 1},
18,Greninja,0.0,{'0': 2},
18,Palutena,0.0,{'0': 3},
18,Pac-Man,0.0,{'0': 1},
18,Robin,0.0,{'0': 2},
18,Bowser Jr,0.0,{'0': 1},
18,Ryu,0.0,{'0': 1},
18,Ken,0.0,{'0': 1},
18,Cloud,0.0,{'0': 2},
18,Inkling,0.0,{'0': 1},
18,Ridley,0.0,{'0': 1},
18,Simon,0.0,{'0': 1},
18,King K Rool,0.0,{'0': 2},
18,Incineroar,0.0,{'0': 1},
18,Hero,0.0,"{'0': 3, '6': 1}",
18,Banjo and Kazooie,0.0,{'0': 4},
18,Byleth,0.0,{'0': 1},
18,Sephiroth,0.0,{'0': 2},
18,Pyra-Mythra,0.0,{'0': 2},
18,Mii Brawler,0.0,{'0': 2},
18,Mii Swordsman,0.0,{'0': 2},
18,Mii Gunner,0.0,{'0': 1},
