rank,character,read_value,candidates,correct
1,Lucas,3.0,{'3': 3},
2,Pikachu,2.0,{'2': 3},
3,Samus,1.0,{'1': 3},
3,Zelda,1.0,{'1': 3},
3,Ike,1.0,{'1': 3},
3,Min Min,1.0,{'1': 3},
7,Mario,0.0,{'0': 1},
7,Donkey Kong,0.0,{'0': 1},
7,Link,0.0,{'0': 1},
7,Kirby,0.0,{'0': 1},
7,Fox,0.0,{'0': 2},
7,Ness,0.0,{'0': 3},
7,Peach,0.0,{'0': 2},
7,Bowser,0.0,{'0': 1},
7,Falco,0.0,{'0': 2},
7,Marth,0.0,{'0': 2},
7,Ganondorf,0.0,{'0': 1},
7,Mr Game and Watch,0.0,"{'0': 2, '8': 1}",
7,Pit,0.0,{'0': 2},
7,Wario,0.0,{'0': 1},
7,Snake,0.0,{'0': 1},
7,Lucario,0.0,{'0': 3},
7,ROB,0.0,{'0': 2},
7,Wii Fit Trainer,0.0,{'0': 2},
7,Rosalina and Luma,0.0,{'0': 1},
7,Shulk,0.0,{'0': 2},
7,Duck Hunt,0.0,{'0': 1},
7,Corrin,0.0,{'0': 1},
7,Bayonetta,0.0,{'0': 1},
7,Richter,0.0,{'0': 2},
7,Isabelle,0.0,{'0': 1},
7,Piranha Plant,0.0,{'0': 1},
7,Joker,0.0,{'0': 2},
7,Terry,0.0,"{'0': 1, '5': 1}",
7,Steve,0.0,{'0': 2},
7,Kazuya,0.0,{'0': 1},
7,Sora,0.0,{'0': 2},
7,Dark Samus,0.0,{'0': 2},
7,Yoshi,0.0,{'0': 1},
7,Luigi,0.0,{'0': 1},
7,Captain Falcon,0.0,{'0': 1},
7,Jigglypuff,0.0,{'0': 1},
7,Daisy,0.0,{'0': 2},
7,Ice Climbers,0.0,{'0': 2},
7,Sheik,0.0,{'0': 2},
7,Dr Mario,0.0,{'0': 2},
7,Pichu,0.0,{'0': 2},
7,Lucina,0.0,{'0': 2},
7,Young Link,0.0,{'0': 1},
7,Mewtwo,0.0,{'0': 1},
7,Roy,0.0,{'0': 3},
7,Chrom,0.0,{'0': 1},
7,Meta Knight,0.0,{'0': 1},
7,Dark Pit,0.0,{'0': 2},
7,Zero Suit Samus,0.0,{'0': 2},
7,Pokemon Trainer,0.0,{'0': 1},
7,Diddy Kong,0.0,{'0': 1},
7,Sonic,0.0,{'0': 2},
7,King Dedede,0.0,{'0': 1},
7,Olimar,0.0,{'0': 1},
7,Toon Link,0.0,{'0': 2},
7,Wolf,0.0,{'0': 2},
7,Villager,0.0,{'0': 1},
7,Mega Man,0.0,{'0': 2},
7,Little Mac,0.0,{'0': 1},
7,Greninja,0.0,{'0': 1},
7,Palutena,0.0,{'0': 1},
7,Pac-Man,0.0,{'0': 2},
7,Robin,0.0,{'0': 2},
7,Bowser Jr,0.0,{'0': 2},
7,Ryu,0.0,{'0': 2},
7,Ken,0.0,{'0': 1},
7,Cloud,0.0,{'0': 3},
7,Inkling,0.0,{'0': 1},
7,Ridley,0.0,{'0': 2},
7,Simon,0.0,{'0': 2},
7,King K Rool,0.0,{'0': 2},
7,Incineroar,0.0,{'0': 3},
7,Hero,0.0,{'0': 4},
7,Banjo and Kazooie,0.0,{'0': 5},
7,Byleth,0.0,{'0': 1},
7,Sephiroth,0.0,{'0': 1},
7,Pyra-Mythra,0.0,{'0': 3},
7,Mii Brawler,0.0,{'0': 2},
7,Mii Swordsman,0.0,{'0': 3},
7,Mii Gunner,0.0,{'0': 2},
