rank,character,read_value,candidates,correct
1,Zelda,6.0,{'6': 3},
2,Lucas,5.0,"{'9': 2, '5': 1}",
3,Mr Game and Watch,3.0,{'3': 3},
3,Pit,3.0,{'3': 3},
3,Ike,3.0,{'3': 3},
3,Piranha Plant,3.0,{'3': 3},
7,Donkey Kong,1.0,{'1': 3},
7,Link,1.0,{'1': 3},
7,Samus,1.0,{'1': 3},
7,Pikachu,1.0,{'1': 3},
7,Peach,1.0,{'1': 3},
7,Bowser,1.0,{'1': 3},
7,Falco,1.0,{'1': 3},
7,Lucario,1.0,{'1': 3},
7,Rosalina and Luma,1.0,{'1': 3},
7,Bayonetta,1.0,{'1': 3},
7,Richter,1.0,{'1': 3},
7,Isabelle,1.0,{'1': 3},
19,Mario,0.0,{'0': 2},
19,Kirby,0.0,{'0': 2},
19,Fox,0.0,{'0': 2},
19,Ness,0.0,{'0': 2},
19,Marth,0.0,{'0': 2},
19,Ganondorf,0.0,{'0': 1},
19,Wario,0.0,{'0': 1},
19,Snake,0.0,{'0': 2},
19,ROB,0.0,{'0': 1},
19,Wii Fit Trainer,0.0,{'0': 1},
19,Shulk,0.0,{'0': 1},
19,Duck Hunt,0.0,{'0': 2},
19,Corrin,0.0,{'0': 1},
19,Joker,0.0,{'0': 3},
19,Terry,0.0,{'0': 1},
19,Min Min,0.0,{'0': 1},
19,Steve,0.0,{'0': 2},
19,Kazuya,0.0,{'0': 1},
19,Sora,0.0,{'0': 2},
19,Dark Samus,0.0,{'0': 1},
19,Yoshi,0.0,{'0': 2},
19,Luigi,0.0,{'0': 2},
19,Captain Falcon,0.0,{'0': 2},
19,Jigglypuff,0.0,{'0': 2},
19,Daisy,0.0,{'0': 3},
19,Ice Climbers,0.0,{'0': 4},
19,Sheik,0.0,{'0': 1},
19,Dr Mario,0.0,{'0': 1},
19,Pichu,0.0,{'0': 2},
19,Lucina,0.0,{'0': 1},
19,Young Link,0.0,{'0': 2},
19,Mewtwo,0.0,{'0': 1},
19,Roy,0.0,{'0': 3},
19,Chrom,0.0,{'0': 1},
19,Meta Knight,0.0,{'0': 1},
19,Dark Pit,0.0,{'0': 2},
19,Zero Suit Samus,0.0,{'0': 2},
19,Pokemon Trainer,0.0,{'0': 1},
19,Diddy Kong,0.0,{'0': 1},
19,Sonic,0.0,{'0': 3},
19,King Dedede,0.0,{'0': 1},
19,Olimar,0.0,{'0': 1},
19,Toon Link,0.0,{'0': 2},
19,Sephiroth,0.0,{'0': 4},
19,Villager,0.0,{'0': 2},
19,Mega Man,0.0,{'0': 1},
19,Little Mac,0.0,{'0': 3},
19,Greninja,0.0,{'0': 2},
19,Palutena,0.0,{'0': 1},
19,Pac-Man,0.0,{'0': 2},
19,Robin,0.0,{'0': 2},
19,Bowser Jr,0.0,{'0': 3},
19,Ryu,0.0,{'0': 2},
19,Ken,0.0,{'0': 1},
19,Cloud,0.0,{'0': 1},
19,Inkling,0.0,{'0': 1},
19,Ridley,0.0,{'0': 1},
19,Simon,0.0,{'0': 2},
19,King K Rool,0.0,"{'0': 1, '5': 1}",
19,Incineroar,0.0,{'0': 3},
19,Hero,0.0,{'0': 2},
19,Banjo and Kazooie,0.0,{'0': 1},
19,Byleth,0.0,{'0': 2},
19,Pyra-Mythra,0.0,{'0': 2},
19,Mii Brawler,0.0,{'0': 2},
19,Mii Swordsman,0.0,{'0': 1},
19,Mii Gunner,0.0,{'0': 1},
