rank,character,read_value,candidates,correct
1,Link,100.0,{'100.0': 3},
1,Samus,100.0,{'100.0': 3},
1,Peach,100.0,{'100.0': 3},
1,Bowser,100.0,{'100.0': 3},
1,Lucario,100.0,{'100.0': 3},
1,Rosalina and Luma,100.0,{'100.0': 3},
1,Bayonetta,100.0,{'100.0': 3},
8,Piranha Plant,60.0,{'60.0': 3},
9,Falco,50.0,{'50.0': 3},
9,Richter,50.0,{'50.0': 3},
9,Isabelle,50.0,{'50.0': 3},
12,Donkey Kong,33.33,{'33.33': 3},
12,Zelda,33.33,{'33.33': 3},
12,Lucas,33.33,{'33.33': 3},
15,Mr Game and Watch,25.0,{'25.0': 3},
15,Ike,25.0,{'25.0': 3},
17,Pit,18.75,{'18.75': 3},
18,Pikachu,9.09,{'9.09': 3},
19,Mario,0.0,{'0.0': 3},
19,Kirby,0.0,{'0.0': 3},
19,Fox,0.0,{'0.0': 3},
19,Ness,0.0,{'0.0': 3},
19,Marth,0.0,{'0.0': 3},
19,Ganondorf,0.0,{'0.0': 3},
19,Wario,0.0,{'0.0': 3},
19,Snake,0.0,{'0.0': 3},
19,ROB,0.0,{'0.0': 3},
19,Wii Fit Trainer,0.0,{'0.0': 3},
19,Shulk,0.0,{'0.0': 3},
19,Duck Hunt,0.0,{'0.0': 3},
19,Corrin,0.0,{'0.0': 3},
19,Joker,0.0,{'0.0': 3},
19,Terry,0.0,{'0.0': 3},
19,Min Min,0.0,{'0.0': 3},
19,Steve,0.0,{'0.0': 3},
19,Kazuya,0.0,{'0.0': 3},
19,Sora,0.0,{'0.0': 6},
19,Dark Samus,0.0,{'0.0': 3},
19,Yoshi,0.0,{'0.0': 3},
19,Luigi,0.0,{'0.0': 3},
19,Captain Falcon,0.0,{'0.0': 3},
19,Jigglypuff,0.0,{'0.0': 3},
19,Daisy,0.0,{'0.0': 3},
19,Ice Climbers,0.0,{'0.0': 3},
19,Sheik,0.0,{'0.0': 3},
19,Dr Mario,0.0,{'0.0': 3},
19,Pichu,0.0,{'0.0': 3},
19,Lucina,0.0,{'0.0': 3},
19,Young Link,0.0,{'0.0': 3},
19,Mewtwo,0.0,{'0.0': 3},
19,Roy,0.0,{'0.0': 3},
19,Chrom,0.0,{'0.0': 3},
19,Meta Knight,0.0,{'0.0': 3},
19,Dark Pit,0.0,{'0.0': 3},
19,Zero Suit Samus,0.0,{'0.0': 3},
19,Pokemon Trainer,0.0,{'0.0': 3},
19,Diddy Kong,0.0,{'0.0': 3},
19,Sonic,0.0,{'0.0': 3},
19,King Dedede,0.0,{'0.0': 3},
19,Olimar,0.0,{'0.0': 3},
19,Toon Link,0.0,{'0.0': 3},
19,Wolf,0.0,{'0.0': 3},
19,Villager,0.0,{'0.0': 3},
19,Mega Man,0.0,{'0.0': 3},
19,Little Mac,0.0,{'0.0': 3},
19,Greninja,0.0,{'0.0': 3},
19,Palutena,0.0,{'0.0': 3},
19,Pac-Man,0.0,{'0.0': 3},
19,Robin,0.0,{'0.0': 3},
19,Bowser Jr,0.0,{'0.0': 3},
19,Ryu,0.0,{'0.0': 3},
19,Ken,0.0,{'0.0': 3},
19,Cloud,0.0,{'0.0': 3},
19,Inkling,0.0,{'0.0': 3},
19,Ridley,0.0,{'0.0': 3},
19,Simon,0.0,{'0.0': 3},
19,King K Rool,0.0,{'0.0': 3},
19,Incineroar,0.0,{'0.0': 3},
19,Hero,0.0,{'0.0': 6},
19,Banjo and Kazooie,0.0,{'0.0': 6},
19,Byleth,0.0,{'0.0': 3},
19,Sephiroth,0.0,{'0.0': 3},
19,Pyra-Mythra,0.0,{'0.0': 3},
19,Mii Brawler,0.0,{'0.0': 3},
19,Mii Swordsman,0.0,{'0.0': 3},
19,Mii Gunner,0.0,{'0.0': 3},
