rank,character,read_value,candidates,correct
1,Samus,3.0,{'3.0': 3},
1,Fox,3.0,{'3.0': 3},
1,Captain Falcon,3.0,{'3.0': 3},
1,Jigglypuff,3.0,{'3.0': 3},
1,Peach,3.0,{'3.0': 3},
1,Wolf,3.0,{'3.0': 3},
1,Palutena,3.0,{'3.0': 3},
1,Robin,3.0,{'3.0': 3},
1,Duck Hunt,3.0,{'3.0': 3},
1,Cloud,3.0,{'3.0': 3},
11,Sephiroth,2.66,{'2.66': 3},
12,Ganondorf,2.64,{'2.64': 3},
13,Corrin,2.53,"{'2.93': 2, '2.53': 1}",
14,Donkey Kong,2.51,"{'2.91': 2, '2.51': 1}",
15,Kirby,2.5,"{'0.02': 2, '2.5': 1}",
15,Sora,2.5,{'2.5': 3},
17,Incineroar,2.47,{'2.47': 3},
17,Pyra-Mythra,2.47,{'2.47': 3},
19,Bowser,2.44,{'2.44': 3},
20,Byleth,2.34,{'2.34': 3},
21,Ike,2.3,{'2.3': 3},
22,Kazuya,2.25,{'2.25': 3},
23,Mewtwo,2.2,{'2.2': 3},
23,Roy,2.2,{'2.2': 3},
23,King K Rool,2.2,{'2.2': 3},
26,Hero,2.14,{'2.14': 3},
27,Lucina,2.0,{'2.0': 3},
27,Sonic,2.0,{'2.0': 3},
27,Inkling,2.0,{'2.0': 3},
27,Isabelle,2.0,{'2.0': 3},
27,Min Min,2.0,{'2.0': 3},
27,Steve,2.0,{'2.0': 3},
27,Mii Gunner,2.0,{'2.0': 3},
34,Little Mac,1.66,{'1.66': 3},
35,Villager,1.0,{'1.0': 3},
35,Wii Fit Trainer,1.0,{'1.0': 3},
37,Joker,0.0,{'0.0': 3},
37,Mario,0.0,{'0.0': 3},
37,Link,0.0,{'0.0': 3},
37,Dark Samus,0.0,{'0.0': 3},
37,Yoshi,0.0,{'0.0': 3},
37,Pikachu,0.0,{'0.0': 3},
37,Luigi,0.0,{'0.0': 3},
37,Ness,0.0,{'0.0': 3},
37,Daisy,0.0,{'0.0': 3},
37,Ice Climbers,0.0,{'0.0': 3},
37,Sheik,0.0,{'0.0': 3},
37,Zelda,0.0,{'0.0': 3},
37,Dr Mario,0.0,{'0.0': 3},
37,Pichu,0.0,{'0.0': 3},
37,Falco,0.0,{'0.0': 3},
37,Marth,0.0,{'0.0': 3},
37,Young Link,0.0,{'0.0': 3},
37,Chrom,0.0,{'0.0': 3},
37,Mr Game and Watch,0.0,{'0.0': 3},
37,Meta Knight,0.0,{'0.0': 3},
37,Pit,0.0,{'0.0': 3},
37,Dark Pit,0.0,{'0.0': 3},
37,Zero Suit Samus,0.0,{'0.0': 6},
37,Wario,0.0,{'0.0': 3},
37,Snake,0.0,{'0.0': 3},
37,Pokemon Trainer,0.0,{'0.0': 3},
37,Diddy Kong,0.0,{'0.0': 3},
37,Lucas,0.0,{'0.0': 3},
37,King Dedede,0.0,{'0.0': 3},
37,Olimar,0.0,{'0.0': 6},
37,Lucario,0.0,{'0.0': 3},
37,ROB,0.0,{'0.0': 3},
37,Toon Link,0.0,{'0.0': 3},
37,Mega Man,0.0,{'0.0': 3},
37,Rosalina and Luma,0.0,{'0.0': 3},
37,Greninja,0.0,{'0.0': 3},
37,Pac-Man,0.0,{'0.0': 3},
37,Shulk,0.0,{'0.0': 3},
37,Bowser Jr,0.0,{'0.0': 3},
37,Ryu,0.0,{'0.0': 3},
37,Ken,0.0,{'0.0': 3},
37,Bayonetta,0.0,{'0.0': 3},
37,Ridley,0.0,{'0.0': 6},
37,Simon,0.0,{'0.0': 6},
37,Richter,0.0,{'0.0': 3},
37,Piranha Plant,0.0,{'0.0': 3},
37,Banjo and Kazooie,0.0,{'0.0': 3},
37,Terry,0.0,{'0.0': 3},
37,Mii Brawler,0.0,{'0.0': 3},
37,Mii Swordsman,0.0,{'0.0': 3},
