rank,character,read_value,candidates,correct
1,Hero,154.0,{'154': 3},
2,Incineroar,103.0,{'103': 3},
3,Byleth,82.0,{'82': 3},
4,King K Rool,81.0,{'81': 3},
5,Ike,70.0,{'70': 3},
6,Bowser,65.0,{'65': 3},
7,Corrin,43.0,{'43': 3},
8,Donkey Kong,39.0,{'39': 6},
9,Sephiroth,33.0,{'33': 3},
10,Mewtwo,25.0,{'25': 3},
11,Ganondorf,17.0,"{'17': 2, '7': 1}",
11,Pyra-Mythra,17.0,"{'17': 2, '7': 1}",
13,Kirby,10.0,{'10': 3},
14,Min Min,8.0,{'8': 3},
15,Roy,5.0,"{'5': 4, '2': 2}",
16,Kazuya,4.0,{'4': 3},
17,Little Mac,3.0,{'3': 3},
18,Wolf,2.0,{'2': 3},
18,Robin,2.0,{'2': 3},
18,Isabelle,2.0,{'2': 3},
18,Sora,2.0,{'2': 3},
22,Samus,1.0,{'1': 3},
22,Fox,1.0,{'1': 3},
22,Captain Falcon,1.0,{'1': 3},
22,Jigglypuff,1.0,{'1': 3},
22,Peach,1.0,{'1': 3},
22,Lucina,1.0,{'1': 3},
22,Sonic,1.0,{'1': 3},
22,Villager,1.0,{'1': 3},
22,Wii Fit Trainer,1.0,{'1': 3},
22,Palutena,1.0,{'1': 3},
22,Duck Hunt,1.0,{'1': 3},
22,Cloud,1.0,{'1': 3},
22,Inkling,1.0,{'1': 3},
22,Joker,1.0,{'1': 3},
22,Steve,1.0,{'1': 3},
22,Mii Gunner,1.0,{'1': 3},
38,Mario,0.0,{'0': 2},
38,Link,0.0,{'0': 1},
38,Dark Samus,0.0,{'0': 1},
38,Yoshi,0.0,{'0': 2},
38,Pikachu,0.0,{'0': 2},
38,Luigi,0.0,{'0': 2},
38,Ness,0.0,{'0': 4},
38,Daisy,0.0,{'0': 1},
38,Ice Climbers,0.0,{'0': 2},
38,Sheik,0.0,"{'0': 1, '8': 1}",
38,Zelda,0.0,{'0': 2},
38,Dr Mario,0.0,{'0': 2},
38,Pichu,0.0,{'0': 1},
38,Falco,0.0,{'0': 2},
38,Marth,0.0,{'0': 2},
38,Young Link,0.0,{'0': 1},
38,Chrom,0.0,{'0': 1},
38,Mr Game and Watch,0.0,{'0': 1},
38,Meta Knight,0.0,{'0': 2},
38,Pit,0.0,{'0': 2},
38,Dark Pit,0.0,{'0': 1},
38,Zero Suit Samus,0.0,{'0': 1},
38,Wario,0.0,{'0': 3},
38,Snake,0.0,{'0': 2},
38,Pokemon Trainer,0.0,{'0': 2},
38,Diddy Kong,0.0,{'0': 2},
38,Lucas,0.0,{'0': 1},
38,King Dedede,0.0,{'0': 1},
38,Olimar,0.0,{'0': 1},
38,Lucario,0.0,{'0': 1},
38,ROB,0.0,{'0': 2},
38,Toon Link,0.0,{'0': 3},
38,Mega Man,0.0,{'0': 2},
38,Rosalina and Luma,0.0,{'0': 2},
38,Greninja,0.0,{'0': 3},
38,Pac-Man,0.0,{'0': 1},
38,Shulk,0.0,{'0': 2},
38,Bowser Jr,0.0,{'0': 2},
38,Ryu,0.0,{'0': 2},
38,Ken,0.0,{'0': 2},
38,Bayonetta,0.0,{'0': 2},
38,Ridley,0.0,{'0': 4},
38,Simon,0.0,"{'0': 3, '8': 1}",
38,Richter,0.0,{'0': 1},
38,Piranha Plant,0.0,{'0': 1},
38,Banjo and Kazooie,0.0,{'0': 3},
38,Terry,0.0,{'0': 3},
38,Mii Brawler,0.0,{'0': 1},
38,Mii Swordsman,0.0,{'0': 3},
