rank,character,read_value,candidates,correct
1,Hero,57509.0,{'57509': 1},
2,Incineroar,38602.0,{'38602': 3},
3,Byleth,30369.0,{'30369': 3},
4,King K Rool,29740.0,{'29740': 3},
5,Bowser,27089.0,{'27089': 3},
6,Ike,26019.0,{'26019': 3},
7,Corrin,17004.0,{'17004': 3},
8,Donkey Kong,15247.0,{'15247': 4},
9,Sephiroth,11602.0,{'11602': 3},
10,Mewtwo,8671.0,{'8671': 3},
11,Pyra-Mythra,6221.0,{'6221': 3},
12,Ganondorf,5313.0,"{'9313': 2, '5313': 1}",
13,Kirby,3009.0,{'3009': 3},
14,Min Min,2524.0,{'2524': 3},
15,Roy,1504.0,{'1504': 3},
16,Kazuya,1482.0,{'1482': 3},
17,Isabelle,800.0,{'800': 3},
18,Sora,778.0,"{'778': 2, '178': 1}",
19,Little Mac,705.0,{'705': 3},
20,Robin,545.0,"{'945': 2, '545': 1}",
21,Mii Gunner,544.0,"{'44': 2, '544': 1}",
22,Sonic,532.0,"{'52': 2, '532': 1}",
23,Duck Hunt,507.0,"{'907': 2, '507': 1}",
24,Wolf,409.0,{'409': 3},
25,Wii Fit Trainer,399.0,{'399': 3},
26,Samus,383.0,{'383': 3},
27,Peach,376.0,{'376': 3},
28,Captain Falcon,373.0,"{'313': 2, '373': 1}",
29,Palutena,339.0,{'339': 3},
30,Inkling,337.0,"{'337': 4, '3': 2}",
31,Steve,269.0,{'269': 3},
32,Cloud,235.0,{'235': 3},
33,Lucina,229.0,{'229': 3},
34,Jigglypuff,202.0,{'202': 3},
35,Villager,195.0,{'195': 3},
36,Joker,192.0,{'192': 3},
37,Fox,142.0,{'142': 3},
38,Mario,0.0,{'0': 1},
38,Link,0.0,{'0': 2},
38,Dark Samus,0.0,{'0': 1},
38,Yoshi,0.0,{'0': 1},
38,Pikachu,0.0,{'0': 2},
38,Luigi,0.0,{'0': 2},
38,Ness,0.0,{'0': 2},
38,Daisy,0.0,{'0': 2},
38,Ice Climbers,0.0,{'0': 2},
38,Sheik,0.0,{'0': 2},
38,Zelda,0.0,{'0': 2},
38,Dr Mario,0.0,{'0': 2},
38,Pichu,0.0,{'0': 1},
38,Falco,0.0,{'0': 2},
38,Marth,0.0,{'0': 1},
38,Young Link,0.0,{'0': 2},
38,Chrom,0.0,{'0': 1},
38,Mr Game and Watch,0.0,{'0': 1},
38,Meta Knight,0.0,{'0': 1},
38,Pit,0.0,{'0': 1},
38,Dark Pit,0.0,{'0': 2},
38,Zero Suit Samus,0.0,{'0': 1},
38,Wario,0.0,{'0': 1},
38,Snake,0.0,{'0': 2},
38,Pokemon Trainer,0.0,{'0': 2},
38,Diddy Kong,0.0,{'0': 2},
38,Lucas,0.0,{'0': 2},
38,King Dedede,0.0,{'0': 1},
38,Olimar,0.0,{'0': 2},
38,Lucario,0.0,{'0': 1},
38,ROB,0.0,{'0': 1},
38,Toon Link,0.0,{'0': 2},
38,Mega Man,0.0,{'0': 2},
38,Rosalina and Luma,0.0,{'0': 3},
38,Greninja,0.0,{'0': 1},
38,Pac-Man,0.0,{'0': 5},
38,Shulk,0.0,{'0': 1},
38,Bowser Jr,0.0,{'0': 1},
38,Ryu,0.0,{'0': 2},
38,Ken,0.0,{'0': 1},
38,Bayonetta,0.0,{'0': 1},
38,Ridley,0.0,{'0': 2},
38,Simon,0.0,{'0': 2},
38,Richter,0.0,{'0': 2},
38,Piranha Plant,0.0,{'0': 3},
38,Banjo and Kazooie,0.0,{'0': 1},
38,Terry,0.0,{'0': 1},
38,Mii Brawler,0.0,{'0': 1},
38,Mii Swordsman,0.0,{'0': 3},
