rank,character,read_value,candidates,correct
1,Incineroar,21.0,{'21': 3},
2,Hero,16.0,{'16': 3},
3,Ike,12.0,{'12': 3},
4,Byleth,10.0,{'10': 3},
5,Donkey Kong,9.0,{'9': 2},
5,Bowser,9.0,"{'9': 1, '2': 1}",
7,Corrin,8.0,{'8': 3},
8,Mewtwo,6.0,{'6': 6},
8,King K Rool,6.0,{'6': 3},
10,Little Mac,5.0,"{'9': 2, '5': 1}",
11,Min Min,4.0,{'4': 3},
12,Kirby,2.0,{'2': 3},
12,Kazuya,2.0,{'2': 3},
14,Ganondorf,1.0,{'1': 3},
14,Villager,1.0,{'1': 3},
14,Wii Fit Trainer,1.0,{'1': 3},
14,Palutena,1.0,{'1': 3},
14,Sephiroth,1.0,"{'1': 3, '0': 1}",
19,Samus,0.0,{'0': 2},
19,Fox,0.0,{'0': 2},
19,Captain Falcon,0.0,{'0': 2},
19,Jigglypuff,0.0,{'0': 2},
19,Peach,0.0,{'0': 2},
19,Lucina,0.0,{'0': 1},
19,Roy,0.0,{'0': 3},
19,Sonic,0.0,{'0': 1},
19,Robin,0.0,{'0': 2},
19,Duck Hunt,0.0,{'0': 1},
19,Cloud,0.0,{'0': 1},
19,Inkling,0.0,{'0': 1},
19,Isabelle,0.0,{'0': 1},
19,Joker,0.0,{'0': 1},
19,Steve,0.0,{'0': 2},
19,Pyra-Mythra,0.0,{'0': 1},
19,Sora,0.0,{'0': 1},
19,Mii Gunner,0.0,{'0': 3},
19,Mario,0.0,{'0': 2},
19,Link,0.0,{'0': 1},
19,Dark Samus,0.0,{'0': 1},
19,Yoshi,0.0,{'0': 2},
19,Pikachu,0.0,{'0': 1},
19,Luigi,0.0,{'0': 1},
19,Ness,0.0,{'0': 2},
19,Daisy,0.0,{'0': 1},
19,Ice Climbers,0.0,{'0': 2},
19,Sheik,0.0,{'0': 2},
19,Zelda,0.0,{'0': 1},
19,Dr Mario,0.0,{'0': 2},
19,Pichu,0.0,{'0': 2},
19,Falco,0.0,{'0': 1},
19,Marth,0.0,{'0': 2},
19,Young Link,0.0,{'0': 2},
19,Chrom,0.0,{'0': 2},
19,Mr Game and Watch,0.0,{'0': 1},
19,Meta Knight,0.0,{'0': 2},
19,Pit,0.0,{'0': 1},
19,Dark Pit,0.0,{'0': 2},
19,Zero Suit Samus,0.0,{'0': 3},
19,Wario,0.0,{'0': 2},
19,Snake,0.0,{'0': 1},
19,Pokemon Trainer,0.0,{'0': 2},
19,Diddy Kong,0.0,{'0': 2},
19,Lucas,0.0,{'0': 2},
19,King Dedede,0.0,{'0': 1},
19,Olimar,0.0,{'0': 2},
19,Lucario,0.0,{'0': 2},
19,ROB,0.0,{'0': 2},
19,Toon Link,0.0,{'0': 2},
19,Mega Man,0.0,{'0': 1},
19,Rosalina and Luma,0.0,"{'0': 1, '8': 1}",
19,Greninja,0.0,{'0': 2},
19,Pac-Man,0.0,{'0': 3},
19,Shulk,0.0,{'0': 1},
19,Bowser Jr,0.0,{'0': 1},
19,Ryu,0.0,{'0': 2},
19,Ken,0.0,{'0': 2},
19,Bayonetta,0.0,{'0': 1},
19,Ridley,0.0,{'0': 4},
19,Simon,0.0,{'0': 2},
19,Richter,0.0,{'0': 1},
19,Piranha Plant,0.0,{'0': 2},
19,Banjo and Kazooie,0.0,{'0': 2},
19,Terry,0.0,{'0': 1},
19,Mii Brawler,0.0,{'0': 1},
19,Mii Swordsman,0.0,{'0': 2},
