rank,character,read_value,candidates,correct
1,Mii Gunner,7.0,{'7.0': 3},
2,Palutena,5.0,"{'9.0': 2, '5.0': 1}",
3,Steve,4.0,{'4.0': 3},
4,Hero,3.98,{'3.98': 3},
5,Ike,3.97,{'3.97': 3},
6,Pyra-Mythra,3.82,{'3.82': 3},
7,King K Rool,3.76,{'3.76': 3},
8,Byleth,3.69,{'3.69': 6},
9,Bowser,3.55,"{'32.55': 2, '3.55': 1}",
10,Mewtwo,3.52,{'3.52': 3},
11,Min Min,3.5,{'3.5': 3},
11,Sora,3.5,{'3.5': 3},
13,Sephiroth,3.42,{'3.42': 3},
14,Donkey Kong,3.17,{'3.17': 3},
15,Incineroar,3.08,{'3.08': 6},
16,Villager,3.0,{'3.0': 3},
16,Wii Fit Trainer,3.0,{'3.0': 3},
16,Joker,3.0,{'3.0': 3},
16,Kazuya,3.0,{'3.0': 3},
20,Little Mac,2.66,{'2.66': 3},
21,Ganondorf,2.64,{'2.64': 3},
22,Roy,2.6,{'2.6': 6},
23,Corrin,2.08,"{'2.08': 2, '2.58': 1}",
24,Captain Falcon,2.0,{'2.0': 3},
24,Jigglypuff,2.0,{'2.0': 3},
24,Lucina,2.0,{'2.0': 3},
24,Duck Hunt,2.0,{'2.0': 3},
24,Inkling,2.0,{'2.0': 3},
29,Kirby,1.6,{'1.6': 3},
30,Samus,1.0,{'1.0': 3},
30,Peach,1.0,{'1.0': 3},
30,Sonic,1.0,{'1.0': 3},
30,Robin,1.0,{'1.0': 3},
30,Cloud,1.0,{'1.0': 3},
35,Wolf,0.5,{'0.5': 3},
35,Isabelle,0.5,{'0.5': 3},
37,Fox,0.0,{'0.0': 6},
37,Mario,0.0,{'0.0': 3},
37,Link,0.0,{'0.0': 3},
37,Dark Samus,0.0,{'0.0': 3},
37,Yoshi,0.0,{'0.0': 3},
37,Pikachu,0.0,{'0.0': 3},
37,Luigi,0.0,{'0.0': 3},
37,Ness,0.0,{'0.0': 6},
37,Daisy,0.0,{'0.0': 3},
37,Ice Climbers,0.0,{'0.0': 3},
37,Sheik,0.0,{'0.0': 3},
37,Zelda,0.0,{'0.0': 3},
37,Dr Mario,0.0,{'0.0': 3},
37,Pichu,0.0,{'0.0': 3},
37,Falco,0.0,{'0.0': 6},
37,Marth,0.0,{'0.0': 3},
37,Young Link,0.0,{'0.0': 3},
37,Chrom,0.0,{'0.0': 3},
37,Mr Game and Watch,0.0,{'0.0': 3},
37,Meta Knight,0.0,{'0.0': 3},
37,Pit,0.0,{'0.0': 3},
37,Dark Pit,0.0,{'0.0': 3},
37,Zero Suit Samus,0.0,{'0.0': 3},
37,Wario,0.0,{'0.0': 3},
37,Snake,0.0,{'0.0': 3},
37,Pokemon Trainer,0.0,{'0.0': 3},
37,Diddy Kong,0.0,{'0.0': 3},
37,Lucas,0.0,{'0.0': 3},
37,King Dedede,0.0,{'0.0': 3},
37,Olimar,0.0,{'0.0': 3},
37,Lucario,0.0,{'0.0': 3},
37,ROB,0.0,{'0.0': 3},
37,Toon Link,0.0,{'0.0': 3},
37,Mega Man,0.0,{'0.0': 3},
37,Rosalina and Luma,0.0,{'0.0': 3},
37,Greninja,0.0,{'0.0': 3},
37,Pac-Man,0.0,{'0.0': 3},
37,Shulk,0.0,{'0.0': 3},
37,Bowser Jr,0.0,{'0.0': 3},
37,Ryu,0.0,{'0.0': 3},
37,Ken,0.0,{'0.0': 3},
37,Bayonetta,0.0,{'0.0': 3},
37,Ridley,0.0,{'0.0': 6},
37,Simon,0.0,{'0.0': 6},
37,Richter,0.0,{'0.0': 3},
37,Piranha Plant,0.0,{'0.0': 3},
37,Banjo and Kazooie,0.0,{'0.0': 3},
37,Terry,0.0,{'0.0': 3},
37,Mii Brawler,0.0,{'0.0': 3},
37,Mii Swordsman,0.0,{'0.0': 3},
