rank,character,read_value,candidates,correct
1,Incineroar,36.0,{'36': 3},
2,Donkey Kong,28.0,{'28': 3},
3,King K Rool,23.0,{'23': 3},
4,Bowser,9.0,{'9': 2},
4,Mewtwo,9.0,"{'9': 2, '5': 1}",
6,Hero,4.0,{'4': 3},
7,Byleth,2.0,{'2': 3},
8,Ike,1.0,{'1': 6},
8,Palutena,1.0,{'1': 3},
8,Corrin,1.0,{'1': 3},
8,Joker,1.0,{'1': 3},
8,Pyra-Mythra,1.0,{'1': 3},
13,Samus,0.0,{'0': 1},
13,Kirby,0.0,{'0': 2},
13,Fox,0.0,{'0': 3},
13,Captain Falcon,0.0,{'0': 1},
13,Jigglypuff,0.0,{'0': 1},
13,Peach,0.0,{'0': 2},
13,Lucina,0.0,{'0': 2},
13,Ganondorf,0.0,{'0': 1},
13,Roy,0.0,{'0': 2},
13,Sonic,0.0,{'0': 1},
13,Sephiroth,0.0,{'0': 2},
13,Villager,0.0,{'0': 2},
13,Wii Fit Trainer,0.0,{'0': 3},
13,Little Mac,0.0,{'0': 2},
13,Robin,0.0,{'0': 2},
13,Duck Hunt,0.0,{'0': 1},
13,Cloud,0.0,{'0': 2},
13,Inkling,0.0,{'0': 2},
13,Isabelle,0.0,{'0': 2},
13,Min Min,0.0,{'0': 2},
13,Steve,0.0,{'0': 2},
13,Kazuya,0.0,{'0': 1},
13,Sora,0.0,{'0': 1},
13,Mii Gunner,0.0,{'0': 1},
13,Mario,0.0,{'0': 1},
13,Link,0.0,{'0': 2},
13,Dark Samus,0.0,{'0': 2},
13,Yoshi,0.0,{'0': 2},
13,Pikachu,0.0,{'0': 2},
13,Luigi,0.0,{'0': 1},
13,Ness,0.0,{'0': 3},
13,Daisy,0.0,{'0': 2},
13,Ice Climbers,0.0,{'0': 1},
13,Sheik,0.0,{'0': 1},
13,Zelda,0.0,{'0': 1},
13,Dr Mario,0.0,{'0': 3},
13,Pichu,0.0,{'0': 1},
13,Falco,0.0,{'0': 1},
13,Marth,0.0,{'0': 1},
13,Young Link,0.0,{'0': 1},
13,Chrom,0.0,{'0': 2},
13,Mr Game and Watch,0.0,{'0': 1},
13,Meta Knight,0.0,{'0': 2},
13,Pit,0.0,{'0': 2},
13,Dark Pit,0.0,{'0': 1},
13,Zero Suit Samus,0.0,{'0': 3},
13,Wario,0.0,{'0': 2},
13,Snake,0.0,{'0': 2},
13,Pokemon Trainer,0.0,{'0': 3},
13,Diddy Kong,0.0,{'0': 2},
13,Lucas,0.0,{'0': 2},
13,King Dedede,0.0,{'0': 1},
13,Olimar,0.0,{'0': 2},
13,Lucario,0.0,{'0': 3},
13,ROB,0.0,{'0': 1},
13,Toon Link,0.0,{'0': 3},
13,Mega Man,0.0,{'0': 2},
13,Rosalina and Luma,0.0,{'0': 1},
13,Greninja,0.0,{'0': 2},
13,Pac-Man,0.0,{'0': 3},
13,Shulk,0.0,{'0': 1},
13,Bowser Jr,0.0,{'0': 2},
13,Ryu,0.0,{'0': 1},
13,Ken,0.0,{'0': 3},
13,Bayonetta,0.0,{'0': 3},
13,Ridley,0.0,{'0': 2},
13,Simon,0.0,{'0': 3},
13,Richter,0.0,{'0': 1},
13,Piranha Plant,0.0,"{'0': 1, '8': 1}",
13,Banjo and Kazooie,0.0,{'0': 3},
13,Terry,0.0,{'0': 3},
13,Mii Brawler,0.0,{'0': 2},
13,Mii Swordsman,0.0,{'0': 1},
