rank,character,read_value,candidates,correct
1,Incineroar,26.0,{'26': 3},
2,Ike,10.0,{'10': 3},
3,Bowser,9.0,{'9': 2},
3,Corrin,9.0,{'9': 2},
5,Sephiroth,8.0,{'8': 3},
6,Donkey Kong,7.0,{'7': 3},
6,Hero,7.0,{'7': 3},
6,Byleth,7.0,{'7': 4},
9,Ganondorf,6.0,{'6': 3},
9,King K Rool,6.0,{'6': 3},
11,Mewtwo,4.0,{'4': 3},
12,Kirby,2.0,{'2': 3},
12,Wolf,2.0,{'2': 3},
12,Pyra-Mythra,2.0,{'2': 3},
15,Samus,1.0,{'1': 6},
15,Fox,1.0,{'1': 3},
15,Captain Falcon,1.0,{'1': 3},
15,Sonic,1.0,{'1': 3},
15,Little Mac,1.0,{'1': 3},
15,Cloud,1.0,{'1': 3},
15,Min Min,1.0,{'1': 3},
22,Jigglypuff,0.0,{'0': 4},
22,Peach,0.0,{'0': 1},
22,Lucina,0.0,{'0': 1},
22,Roy,0.0,{'0': 1},
22,Villager,0.0,{'0': 1},
22,Wii Fit Trainer,0.0,{'0': 1},
22,Palutena,0.0,{'0': 1},
22,Robin,0.0,{'0': 2},
22,Duck Hunt,0.0,{'0': 1},
22,Inkling,0.0,{'0': 2},
22,Isabelle,0.0,{'0': 2},
22,Joker,0.0,{'0': 2},
22,Steve,0.0,{'0': 3},
22,Kazuya,0.0,{'0': 1},
22,Sora,0.0,{'0': 1},
22,Mii Gunner,0.0,{'0': 1},
22,Mario,0.0,{'0': 3},
22,Link,0.0,{'0': 1},
22,Dark Samus,0.0,{'0': 1},
22,Yoshi,0.0,{'0': 2},
22,Pikachu,0.0,{'0': 1},
22,Luigi,0.0,{'0': 2},
22,Ness,0.0,{'0': 2},
22,Daisy,0.0,{'0': 2},
22,Ice Climbers,0.0,{'0': 2},
22,Sheik,0.0,{'0': 1},
22,Zelda,0.0,{'0': 2},
22,Dr Mario,0.0,{'0': 1},
22,Pichu,0.0,{'0': 1},
22,Falco,0.0,{'0': 3},
22,Marth,0.0,{'0': 1},
22,Young Link,0.0,{'0': 1},
22,Chrom,0.0,{'0': 2},
22,Mr Game and Watch,0.0,{'0': 1},
22,Meta Knight,0.0,{'0': 1},
22,Pit,0.0,{'0': 1},
22,Dark Pit,0.0,{'0': 1},
22,Zero Suit Samus,0.0,{'0': 1},
22,Wario,0.0,{'0': 1},
22,Snake,0.0,{'0': 2},
22,Pokemon Trainer,0.0,{'0': 1},
22,Diddy Kong,0.0,"{'0': 1, '6': 1}",
22,Lucas,0.0,{'0': 2},
22,King Dedede,0.0,{'0': 2},
22,Olimar,0.0,{'0': 2},
22,Lucario,0.0,{'0': 2},
22,ROB,0.0,{'0': 1},
22,Toon Link,0.0,{'0': 1},
22,Mega Man,0.0,{'0': 2},
22,Rosalina and Luma,0.0,{'0': 1},
22,Greninja,0.0,{'0': 2},
22,Pac-Man,0.0,{'0': 2},
22,Shulk,0.0,{'0': 1},
22,Bowser Jr,0.0,{'0': 3},
22,Ryu,0.0,{'0': 1},
22,Ken,0.0,{'0': 2},
22,Bayonetta,0.0,{'0': 2},
22,Ridley,0.0,{'0': 4},
22,Simon,0.0,{'0': 2},
22,Richter,0.0,{'0': 1},
22,Piranha Plant,0.0,{'0': 2},
22,Banjo and Kazooie,0.0,{'0': 2},
22,Terry,0.0,{'0': 3},
22,Mii Brawler,0.0,{'0': 1},
22,Mii Swordsman,0.0,{'0': 2},
