rank,character,read_value,candidates,correct
1,Hero,19.66,{'19.66': 3},
2,Incineroar,13.19,"{'13.19': 2, '13.15': 1}",
3,Byleth,10.47,{'10.47': 3},
4,King K Rool,10.34,{'10.34': 3},
5,Ike,8.93,{'8.93': 3},
6,Bowser,8.3,{'8.3': 3},
7,Corrin,5.49,"{'9.49': 2, '5.49': 1}",
8,Donkey Kong,4.98,{'4.98': 3},
9,Sephiroth,4.21,{'4.21': 3},
10,Mewtwo,3.19,{'3.19': 3},
11,Ganondorf,2.17,"{'2.17': 2, '2.47': 1}",
11,Pyra-Mythra,2.17,"{'2.17': 2, '2.47': 1}",
13,Kirby,1.27,"{'1.27': 2, '12.77': 1}",
14,Min Min,1.02,{'1.02': 3},
15,Roy,0.63,{'0.63': 3},
16,Kazuya,0.57,"{'0.57': 2, '0.51': 1}",
17,Little Mac,0.38,{'0.38': 3},
18,Wolf,0.25,{'0.25': 3},
18,Robin,0.25,{'0.25': 3},
18,Isabelle,0.25,{'0.25': 3},
18,Sora,0.25,{'0.25': 3},
22,Samus,0.12,{'0.12': 3},
22,Fox,0.12,{'0.12': 6},
22,Captain Falcon,0.12,{'0.12': 3},
22,Jigglypuff,0.12,{'0.12': 3},
22,Peach,0.12,{'0.12': 3},
22,Lucina,0.12,{'0.12': 3},
22,Sonic,0.12,{'0.12': 3},
22,Villager,0.12,{'0.12': 3},
22,Wii Fit Trainer,0.12,{'0.12': 6},
22,Palutena,0.12,{'0.12': 3},
22,Duck Hunt,0.12,{'0.12': 3},
22,Cloud,0.12,{'0.12': 3},
22,Inkling,0.12,{'0.12': 3},
22,Joker,0.12,{'0.12': 3},
22,Steve,0.12,{'0.12': 3},
22,Mii Gunner,0.12,{'0.12': 3},
38,Mario,0.0,{'0.0': 3},
38,Link,0.0,{'0.0': 3},
38,Dark Samus,0.0,{'0.0': 3},
38,Yoshi,0.0,{'0.0': 3},
38,Pikachu,0.0,{'0.0': 3},
38,Luigi,0.0,{'0.0': 3},
38,Ness,0.0,{'0.0': 3},
38,Daisy,0.0,{'0.0': 3},
38,Ice Climbers,0.0,{'0.0': 3},
38,Sheik,0.0,{'0.0': 3},
38,Zelda,0.0,{'0.0': 3},
38,Dr Mario,0.0,{'0.0': 3},
38,Pichu,0.0,{'0.0': 3},
38,Falco,0.0,{'0.0': 3},
38,Marth,0.0,{'0.0': 3},
38,Young Link,0.0,{'0.0': 3},
38,Chrom,0.0,{'0.0': 3},
38,Mr Game and Watch,0.0,{'0.0': 3},
38,Meta Knight,0.0,{'0.0': 3},
38,Pit,0.0,{'0.0': 3},
38,Dark Pit,0.0,{'0.0': 3},
38,Zero Suit Samus,0.0,{'0.0': 3},
38,Wario,0.0,{'0.0': 3},
38,Snake,0.0,{'0.0': 3},
38,Pokemon Trainer,0.0,{'0.0': 3},
38,Diddy Kong,0.0,{'0.0': 3},
38,Lucas,0.0,{'0.0': 3},
38,King Dedede,0.0,{'0.0': 3},
38,Olimar,0.0,{'0.0': 6},
38,Lucario,0.0,{'0.0': 3},
38,ROB,0.0,{'0.0': 3},
38,Toon Link,0.0,{'0.0': 3},
38,Mega Man,0.0,{'0.0': 3},
38,Rosalina and Luma,0.0,{'0.0': 3},
38,Greninja,0.0,{'0.0': 3},
38,Pac-Man,0.0,{'0.0': 3},
38,Shulk,0.0,{'0.0': 3},
38,Bowser Jr,0.0,{'0.0': 3},
38,Ryu,0.0,{'0.0': 3},
38,Ken,0.0,{'0.0': 3},
38,Bayonetta,0.0,{'0.0': 3},
38,Ridley,0.0,{'0.0': 6},
38,Simon,0.0,{'0.0': 6},
38,Richter,0.0,{'0.0': 3},
38,Piranha Plant,0.0,{'0.0': 3},
38,Banjo and Kazooie,0.0,{'0.0': 3},
38,Terry,0.0,{'0.0': 3},
38,Mii Brawler,0.0,{'0.0': 3},
38,Mii Swordsman,0.0,{'0.0': 3},
