rank,character,read_value,candidates,correct
1,Hero,951.0,{'951': 3},
2,Incineroar,630.0,{'630': 3},
3,Byleth,501.0,{'501': 3},
4,King K Rool,455.0,{'455': 3},
5,Ike,426.0,{'426': 3},
6,Bowser,339.0,"{'3339': 2, '339': 1}",
7,Corrin,254.0,{'254': 3},
8,Donkey Kong,231.0,{'231': 3},
9,Sephiroth,154.0,{'154': 3},
10,Mewtwo,137.0,{'137': 3},
11,Pyra-Mythra,104.0,{'104': 3},
12,Ganondorf,48.0,{'48': 3},
13,Kirby,29.0,{'29': 3},
14,Min Min,23.0,{'23': 3},
15,Roy,17.0,{'17': 3},
16,Kazuya,12.0,{'12': 3},
17,Isabelle,9.0,{'9': 3},
17,Sora,9.0,{'9': 3},
19,Little Mac,8.0,{'8': 3},
19,Robin,8.0,{'8': 3},
21,Wolf,5.0,{'5': 3},
21,Lucina,5.0,{'5': 3},
21,Sonic,5.0,{'5': 6},
21,Wii Fit Trainer,5.0,{'5': 3},
21,Inkling,5.0,{'5': 3},
21,Steve,5.0,{'5': 3},
21,Mii Gunner,5.0,{'5': 3},
28,Duck Hunt,4.0,{'4': 3},
28,Palutena,4.0,{'4': 3},
30,Captain Falcon,3.0,{'3': 3},
30,Jigglypuff,3.0,{'3': 3},
30,Peach,3.0,{'3': 3},
33,Villager,2.0,{'2': 3},
33,Samus,2.0,{'2': 3},
33,Joker,2.0,{'2': 3},
33,Fox,2.0,{'2': 3},
33,Cloud,2.0,{'2': 3},
38,Mario,0.0,{'0': 3},
38,Link,0.0,{'0': 3},
38,Dark Samus,0.0,{'0': 3},
38,Yoshi,0.0,{'0': 3},
38,Pikachu,0.0,{'0': 3},
38,Luigi,0.0,{'0': 3},
38,Ness,0.0,{'0': 3},
38,Daisy,0.0,{'0': 6},
38,Ice Climbers,0.0,{'0': 3},
38,Sheik,0.0,{'0': 3},
38,Zelda,0.0,{'0': 3},
38,Dr Mario,0.0,{'0': 3},
38,Pichu,0.0,{'0': 3},
38,Falco,0.0,{'0': 3},
38,Marth,0.0,{'0': 3},
38,Young Link,0.0,{'0': 3},
38,Chrom,0.0,{'0': 3},
38,Mr Game and Watch,0.0,{'0': 3},
38,Meta Knight,0.0,{'0': 3},
38,Pit,0.0,{'0': 3},
38,Dark Pit,0.0,{'0': 3},
38,Zero Suit Samus,0.0,{'0': 3},
38,Wario,0.0,{'0': 3},
38,Snake,0.0,{'0': 3},
38,Pokemon Trainer,0.0,{'0': 3},
38,Diddy Kong,0.0,{'0': 3},
38,Lucas,0.0,{'0': 3},
38,King Dedede,0.0,{'0': 3},
38,Olimar,0.0,{'0': 3},
38,Lucario,0.0,{'0': 3},
38,ROB,0.0,{'0': 3},
38,Toon Link,0.0,{'0': 3},
38,Mega Man,0.0,{'0': 3},
38,Rosalina and Luma,0.0,{'0': 3},
38,Greninja,0.0,{'0': 3},
38,Pac-Man,0.0,{'0': 3},
38,Shulk,0.0,{'0': 3},
38,Bowser Jr,0.0,{'0': 3},
38,Ryu,0.0,{'0': 3},
38,Ken,0.0,{'0': 3},
38,Bayonetta,0.0,{'0': 3},
38,Ridley,0.0,{'0': 6},
38,Simon,0.0,{'0': 6},
38,Richter,0.0,{'0': 6},
38,Piranha Plant,0.0,{'0': 3},
38,Banjo and Kazooie,0.0,{'0': 3},
38,Terry,0.0,{'0': 3},
38,Mii Brawler,0.0,{'0': 3},
38,Mii Swordsman,0.0,{'0': 3},
