rank,character,read_value,candidates,correct
1,Lucina,100.0,{'100.0': 3},
1,Sonic,100.0,{'100.0': 3},
1,Villager,100.0,{'100.0': 3},
1,Wii Fit Trainer,100.0,{'100.0': 3},
1,Palutena,100.0,{'100.0': 3},
1,Inkling,100.0,{'100.0': 3},
1,Joker,100.0,{'100.0': 3},
1,Mii Gunner,100.0,{'100.0': 6},
9,Hero,78.0,{'78.0': 3},
10,King K Rool,76.0,{'76.0': 3},
11,Min Min,75.0,{'75.0': 3},
12,Kirby,70.0,{'70.0': 3},
12,Ike,70.0,{'70.0': 3},
12,Byleth,70.0,{'70.0': 3},
15,Little Mac,66.66,{'66.66': 6},
16,Corrin,62.79,{'62.79': 3},
17,Bowser,56.0,{'56.0': 3},
18,Pyra-Mythra,52.94,"{'92.94': 2, '52.94': 1}",
19,Mewtwo,52.0,{'52.0': 3},
20,Isabelle,50.0,{'50.0': 3},
20,Kazuya,50.0,{'50.0': 3},
20,Sora,50.0,{'50.0': 3},
23,Sephiroth,48.48,{'48.48': 3},
24,Incineroar,48.0,{'48.0': 3},
25,Donkey Kong,43.58,{'43.58': 3},
26,Ganondorf,41.17,"{'41.17': 2, '0.07': 1}",
27,Roy,40.0,{'40.0': 3},
28,Samus,0.0,{'0.0': 3},
28,Fox,0.0,{'0.0': 3},
28,Captain Falcon,0.0,{'0.0': 3},
28,Jigglypuff,0.0,{'0.0': 3},
28,Peach,0.0,{'0.0': 3},
28,Wolf,0.0,{'0.0': 3},
28,Robin,0.0,{'0.0': 3},
28,Duck Hunt,0.0,{'0.0': 3},
28,Cloud,0.0,{'0.0': 3},
28,Steve,0.0,{'0.0': 6},
28,Mario,0.0,{'0.0': 3},
28,Link,0.0,{'0.0': 3},
28,Dark Samus,0.0,{'0.0': 3},
28,Yoshi,0.0,{'0.0': 3},
28,Pikachu,0.0,{'0.0': 3},
28,Luigi,0.0,{'0.0': 3},
28,Ness,0.0,{'0.0': 3},
28,Daisy,0.0,{'0.0': 3},
28,Ice Climbers,0.0,{'0.0': 3},
28,Sheik,0.0,{'0.0': 3},
28,Zelda,0.0,{'0.0': 3},
28,Dr Mario,0.0,{'0.0': 3},
28,Pichu,0.0,{'0.0': 3},
28,Falco,0.0,{'0.0': 3},
28,Marth,0.0,{'0.0': 3},
28,Young Link,0.0,{'0.0': 3},
28,Chrom,0.0,{'0.0': 3},
28,Mr Game and Watch,0.0,{'0.0': 3},
28,Meta Knight,0.0,{'0.0': 3},
28,Pit,0.0,{'0.0': 3},
28,Dark Pit,0.0,{'0.0': 3},
28,Zero Suit Samus,0.0,{'0.0': 3},
28,Wario,0.0,{'0.0': 3},
28,Snake,0.0,{'0.0': 3},
28,Pokemon Trainer,0.0,{'0.0': 3},
28,Diddy Kong,0.0,{'0.0': 3},
28,Lucas,0.0,{'0.0': 3},
28,King Dedede,0.0,{'0.0': 3},
28,Olimar,0.0,{'0.0': 6},
28,Lucario,0.0,{'0.0': 3},
28,ROB,0.0,{'0.0': 3},
28,Toon Link,0.0,{'0.0': 3},
28,Mega Man,0.0,{'0.0': 3},
28,Rosalina and Luma,0.0,{'0.0': 3},
28,Greninja,0.0,{'0.0': 3},
28,Pac-Man,0.0,{'0.0': 3},
28,Shulk,0.0,{'0.0': 3},
28,Bowser Jr,0.0,{'0.0': 3},
28,Ryu,0.0,{'0.0': 3},
28,Ken,0.0,{'0.0': 3},
28,Bayonetta,0.0,{'0.0': 3},
28,Ridley,0.0,{'0.0': 6},
28,Simon,0.0,{'0.0': 6},
28,Richter,0.0,{'0.0': 3},
28,Piranha Plant,0.0,{'0.0': 3},
28,Banjo and Kazooie,0.0,{'0.0': 3},
28,Terry,0.0,{'0.0': 3},
28,Mii Brawler,0.0,{'0.0': 3},
28,Mii Swordsman,0.0,{'0.0': 3},
