rank,character,read_value,candidates,correct
1,Lucina,100.0,{'100.0': 3},
1,Villager,100.0,{'100.0': 3},
1,Inkling,100.0,{'100.0': 3},
1,Joker,100.0,{'100.0': 3},
5,Kirby,70.0,{'70.0': 3},
6,Little Mac,66.66,{'66.66': 3},
7,Mewtwo,60.0,{'60.0': 3},
8,Bowser,50.0,"{'50.0': 4, '90.0': 2}",
8,King K Rool,50.0,{'50.0': 3},
8,Isabelle,50.0,{'50.0': 3},
8,Min Min,50.0,{'50.0': 3},
8,Pyra-Mythra,50.0,{'50.0': 3},
8,Kazuya,50.0,{'50.0': 3},
8,Sora,50.0,{'50.0': 3},
15,Ganondorf,40.0,{'40.0': 3},
15,Roy,40.0,{'40.0': 3},
15,Ike,40.0,{'40.0': 3},
18,Hero,30.0,{'30.0': 3},
18,Byleth,30.0,{'30.0': 3},
20,Incineroar,20.0,{'20.0': 3},
21,Donkey Kong,10.0,{'10.0': 3},
22,Samus,0.0,{'0.0': 3},
22,Fox,0.0,{'0.0': 3},
22,Captain Falcon,0.0,{'0.0': 3},
22,Jigglypuff,0.0,{'0.0': 3},
22,Peach,0.0,{'0.0': 3},
22,Sonic,0.0,{'0.0': 3},
22,Sephiroth,0.0,{'0.0': 6},
22,Wii Fit Trainer,0.0,{'0.0': 3},
22,Palutena,0.0,{'0.0': 3},
22,Robin,0.0,{'0.0': 3},
22,Duck Hunt,0.0,{'0.0': 3},
22,Cloud,0.0,{'0.0': 3},
22,Corrin,0.0,{'0.0': 3},
22,Steve,0.0,{'0.0': 3},
22,Mii Gunner,0.0,{'0.0': 3},
22,Mario,0.0,{'0.0': 3},
22,Link,0.0,{'0.0': 3},
22,Dark Samus,0.0,{'0.0': 3},
22,Yoshi,0.0,{'0.0': 3},
22,Pikachu,0.0,{'0.0': 3},
22,Luigi,0.0,{'0.0': 3},
22,Ness,0.0,{'0.0': 3},
22,Daisy,0.0,{'0.0': 3},
22,Ice Climbers,0.0,{'0.0': 3},
22,Sheik,0.0,{'0.0': 3},
22,Zelda,0.0,{'0.0': 3},
22,Dr Mario,0.0,{'0.0': 3},
22,Pichu,0.0,{'0.0': 3},
22,Falco,0.0,{'0.0': 3},
22,Marth,0.0,{'0.0': 3},
22,Young Link,0.0,{'0.0': 3},
22,Chrom,0.0,{'0.0': 3},
22,Mr Game and Watch,0.0,{'0.0': 3},
22,Meta Knight,0.0,{'0.0': 3},
22,Pit,0.0,{'0.0': 3},
22,Dark Pit,0.0,{'0.0': 3},
22,Zero Suit Samus,0.0,{'0.0': 3},
22,Wario,0.0,{'0.0': 3},
22,Snake,0.0,{'0.0': 3},
22,Pokemon Trainer,0.0,{'0.0': 3},
22,Diddy Kong,0.0,{'0.0': 3},
22,Lucas,0.0,{'0.0': 3},
22,King Dedede,0.0,{'0.0': 3},
22,Olimar,0.0,{'0.0': 3},
22,Lucario,0.0,{'0.0': 3},
22,ROB,0.0,{'0.0': 3},
22,Toon Link,0.0,{'0.0': 3},
22,Mega Man,0.0,{'0.0': 3},
22,Rosalina and Luma,0.0,{'0.0': 3},
22,Greninja,0.0,{'0.0': 3},
22,Pac-Man,0.0,{'0.0': 3},
22,Shulk,0.0,{'0.0': 3},
22,Bowser Jr,0.0,{'0.0': 3},
22,Ryu,0.0,{'0.0': 3},
22,Ken,0.0,{'0.0': 3},
22,Bayonetta,0.0,{'0.0': 3},
22,Ridley,0.0,{'0.0': 6},
22,Simon,0.0,{'0.0': 6},
22,Richter,0.0,{'0.0': 6},
22,Piranha Plant,0.0,{'0.0': 3},
22,Banjo and Kazooie,0.0,{'0.0': 3},
22,Terry,0.0,{'0.0': 3},
22,Mii Brawler,0.0,{'0.0': 3},
22,Mii Swordsman,0.0,{'0.0': 3},
