rank,character,read_value,candidates,correct
1,Mario,3.0,{'3.0': 3},
1,Dark Samus,3.0,{'3.0': 3},
1,Pikachu,3.0,{'3.0': 3},
1,Luigi,3.0,{'3.0': 3},
1,Jigglypuff,3.0,{'3.0': 3},
1,Peach,3.0,{'3.0': 3},
1,Bowser,3.0,{'3.0': 3},
1,Ice Climbers,3.0,{'3.0': 3},
1,Zelda,3.0,{'3.0': 3},
1,Dr Mario,3.0,{'3.0': 3},
1,Pichu,3.0,{'3.0': 3},
1,Lucina,3.0,{'3.0': 3},
1,Roy,3.0,{'3.0': 3},
1,Wolf,3.0,"{'3.0': 3, '2.0': 3, '1.87': 3}",
1,Diddy Kong,3.0,{'3.0': 3},
1,Lucas,3.0,{'3.0': 3},
1,Lucario,3.0,{'3.0': 3},
1,Little Mac,3.0,{'3.0': 3},
1,Shulk,3.0,{'3.0': 3},
1,Ken,3.0,{'3.0': 3},
1,Bayonetta,3.0,{'3.0': 3},
1,Inkling,3.0,{'3.0': 3},
1,Ridley,3.0,{'3.0': 3},
1,Incineroar,3.0,{'3.0': 3},
1,Piranha Plant,3.0,{'3.0': 3},
1,Banjo and Kazooie,3.0,{'3.0': 3},
1,Min Min,3.0,{'3.0': 3},
1,Steve,3.0,{'3.0': 3},
1,Mii Gunner,3.0,{'3.0': 3},
30,Snake,2.85,{'2.85': 3},
31,Yoshi,2.66,{'2.66': 3},
31,Ike,2.66,{'2.66': 3},
31,Sonic,2.66,{'2.66': 3},
31,ROB,2.66,{'2.66': 3},
31,Palutena,2.66,{'2.66': 3},
31,Corrin,2.66,{'2.66': 3},
37,Link,2.6,{'2.6': 3},
38,Donkey Kong,2.52,"{'0.09': 2, '2.52': 4}",
39,Fox,2.5,{'2.5': 3},
39,Daisy,2.5,{'2.5': 3},
39,Sheik,2.5,{'2.5': 3},
39,Marth,2.5,{'2.5': 3},
39,Young Link,2.5,{'2.5': 3},
39,Ganondorf,2.5,{'2.5': 3},
39,Mr Game and Watch,2.5,{'2.5': 3},
39,Dark Pit,2.5,{'2.5': 3},
39,Pokemon Trainer,2.5,{'2.5': 3},
39,Olimar,2.5,"{'2.0': 2, '2.5': 1}",
39,Wii Fit Trainer,2.5,{'2.5': 3},
39,Robin,2.5,{'2.5': 3},
39,Richter,2.5,{'2.5': 3},
39,Isabelle,2.5,{'2.5': 3},
39,Joker,2.5,"{'2.9': 2, '2.5': 1}",
39,Sephiroth,2.5,{'2.5': 3},
55,Hero,2.45,{'2.45': 3},
56,Falco,2.4,{'2.4': 3},
56,Villager,2.4,{'2.4': 3},
58,Samus,2.33,"{'2.55': 2, '2.33': 1}",
59,Captain Falcon,2.3,{'2.3': 3},
60,Kirby,2.0,{'2.0': 3},
60,Ness,2.0,{'2.0': 3},
60,Mewtwo,2.0,{'2.0': 3},
60,Chrom,2.0,{'2.0': 3},
60,Pit,2.0,{'2.0': 3},
60,Zero Suit Samus,2.0,{'2.0': 3},
60,Mega Man,2.0,{'2.0': 3},
60,Pac-Man,2.0,{'2.0': 3},
60,Duck Hunt,2.0,{'2.0': 3},
60,Ryu,2.0,{'2.0': 3},
60,Terry,2.0,{'2.0': 3},
60,Byleth,2.0,{'2.0': 3},
60,Sora,2.0,{'2.0': 3},
60,Mii Brawler,2.0,{'2.0': 6},
74,Cloud,1.8,{'1.8': 3},
75,Simon,1.0,{'1.0': 3},
76,King Dedede,0.0,{'0.0': 3},
76,Toon Link,0.0,{'0.0': 6},
76,Rosalina and Luma,0.0,{'0.0': 6},
76,Greninja,0.0,{'0.0': 6},
76,Bowser Jr,0.0,{'0.0': 3},
76,King K Rool,0.0,{'0.0': 3},
76,Pyra-Mythra,0.0,{'0.0': 3},
76,Kazuya,0.0,{'0.0': 3},
76,Mii Swordsman,0.0,{'0.0': 3},
