rank,character,read_value,candidates,correct
1,Hero,6719.0,{'6719': 3},
2,Donkey Kong,6427.0,{'6427': 3},
3,Captain Falcon,4732.0,{'4732': 3},
4,Ganondorf,4446.0,{'4446': 3},
5,Snake,2749.0,{'2749': 3},
5,Wolf,2749.0,"{'2749': 3, '1018': 3, '825': 3}",
7,Falco,2262.0,{'2262': 3},
8,Villager,2200.0,{'2200': 3},
9,Cloud,1965.0,{'1965': 3},
10,Pokemon Trainer,1800.0,{'1800': 3},
11,Link,1735.0,{'1735': 3},
12,Marth,1698.0,{'1698': 3},
13,Sephiroth,1672.0,{'1672': 3},
14,Daisy,1504.0,{'1504': 3},
15,Yoshi,1452.0,{'1452': 3},
16,Shulk,1286.0,{'1286': 3},
17,Bayonetta,1235.0,{'1235': 3},
18,Young Link,1201.0,{'1201': 3},
19,Ness,1196.0,{'1196': 3},
20,Sonic,1188.0,{'1188': 3},
21,Jigglypuff,1185.0,{'1185': 3},
22,Sheik,1089.0,{'1089': 3},
23,Palutena,1057.0,{'1057': 6},
24,Ike,1056.0,{'1056': 3},
24,Banjo and Kazooie,1056.0,{'1056': 3},
26,Fox,1023.0,{'1023': 3},
27,Corrin,989.0,{'989': 3},
28,Incineroar,982.0,{'982': 3},
29,Samus,977.0,{'977': 6},
30,ROB,970.0,{'970': 3},
31,Mewtwo,946.0,{'946': 3},
32,Chrom,931.0,{'931': 3},
33,Mario,845.0,{'845': 3},
34,Diddy Kong,839.0,{'839': 3},
35,Ridley,830.0,{'830': 3},
36,Mr Game and Watch,824.0,{'824': 3},
37,Joker,817.0,{'817': 3},
38,Lucas,816.0,{'816': 3},
39,Wii Fit Trainer,783.0,{'783': 3},
39,Little Mac,783.0,{'783': 3},
41,Olimar,770.0,"{'770': 2, '170': 1}",
42,Robin,749.0,{'749': 3},
43,Roy,741.0,"{'141': 2, '741': 1}",
44,Dark Samus,725.0,"{'22': 2, '725': 1}",
45,Ken,721.0,{'721': 3},
46,Isabelle,699.0,{'699': 3},
47,Richter,623.0,{'623': 3},
48,Dark Pit,621.0,{'621': 3},
49,Ice Climbers,616.0,{'616': 3},
50,Lucina,615.0,{'615': 3},
51,Mii Brawler,585.0,{'585': 3},
52,Pit,535.0,"{'330': 2, '535': 1}",
53,Zelda,530.0,"{'930': 2, '530': 1}",
54,Luigi,519.0,{'519': 3},
55,Peach,493.0,{'493': 3},
55,Ryu,493.0,{'493': 3},
57,Zero Suit Samus,483.0,{'483': 3},
57,Terry,483.0,{'483': 3},
59,Kirby,481.0,{'481': 3},
60,Lucario,466.0,{'466': 3},
61,Dr Mario,445.0,{'445': 3},
61,Inkling,445.0,{'445': 3},
63,Steve,423.0,{'423': 3},
64,Piranha Plant,418.0,{'418': 3},
65,Bowser,409.0,{'409': 3},
66,Min Min,390.0,{'390': 3},
67,Sora,384.0,{'384': 3},
68,Pikachu,348.0,{'348': 3},
69,Pichu,326.0,{'326': 3},
70,Mega Man,308.0,{'308': 3},
71,Mii Gunner,266.0,{'266': 3},
72,Pac-Man,217.0,{'217': 3},
73,Byleth,215.0,{'215': 3},
74,Duck Hunt,212.0,{'212': 3},
75,Simon,144.0,{'144': 3},
76,King Dedede,0.0,{'0': 2},
76,Toon Link,0.0,"{'0': 4, '6': 1}",
76,Rosalina and Luma,0.0,{'0': 4},
76,Greninja,0.0,{'0': 1},
76,Bowser Jr,0.0,{'0': 1},
76,King K Rool,0.0,{'0': 2},
76,Pyra-Mythra,0.0,{'0': 3},
76,Kazuya,0.0,{'0': 2},
76,Mii Swordsman,0.0,{'0': 3},
