rank,character,read_value,candidates,correct
1,Daisy,3.0,{'3': 3},
2,Link,1.0,{'1': 3},
2,Lucas,1.0,{'1': 3},
4,Mario,0.0,{'0': 1},
4,Donkey Kong,0.0,{'0': 1},
4,Samus,0.0,{'0': 2},
4,Dark Samus,0.0,{'0': 1},
4,Yoshi,0.0,{'0': 4},
4,Kirby,0.0,{'0': 2},
4,Fox,0.0,{'0': 1},
4,Pikachu,0.0,{'0': 2},
4,Luigi,0.0,{'0': 2},
4,Ness,0.0,{'0': 1},
4,Captain Falcon,0.0,{'0': 1},
4,Jigglypuff,0.0,{'0': 4},
4,Peach,0.0,{'0': 3},
4,Bowser,0.0,{'0': 2},
4,Ice Climbers,0.0,{'0': 1},
4,Sheik,0.0,{'0': 3},
4,Zelda,0.0,{'0': 3},
4,Dr Mario,0.0,{'0': 1},
4,Pichu,0.0,{'0': 2},
4,Falco,0.0,{'0': 2},
4,Marth,0.0,{'0': 1},
4,Lucina,0.0,{'0': 1},
4,Young Link,0.0,{'0': 2},
4,Ganondorf,0.0,{'0': 1},
4,Mewtwo,0.0,{'0': 2},
4,Roy,0.0,{'0': 3},
4,Chrom,0.0,{'0': 1},
4,Mr Game and Watch,0.0,{'0': 2},
4,Meta Knight,0.0,{'0': 2},
4,Pit,0.0,{'0': 2},
4,Dark Pit,0.0,{'0': 2},
4,Zero Suit Samus,0.0,{'0': 3},
4,Wario,0.0,{'0': 2},
4,Snake,0.0,{'0': 2},
4,Ike,0.0,{'0': 3},
4,Pokemon Trainer,0.0,{'0': 1},
4,Diddy Kong,0.0,{'0': 2},
4,Sonic,0.0,{'0': 3},
4,Olimar,0.0,{'0': 3},
4,Lucario,0.0,{'0': 1},
4,ROB,0.0,{'0': 3},
4,Wolf,0.0,{'0': 1},
4,Villager,0.0,{'0': 2},
4,Mega Man,0.0,{'0': 1},
4,Wii Fit Trainer,0.0,{'0': 3},
4,Little Mac,0.0,{'0': 3},
4,Palutena,0.0,{'0': 1},
4,Pac-Man,0.0,{'0': 5},
4,Robin,0.0,{'0': 3},
4,Shulk,0.0,{'0': 1},
4,Duck Hunt,0.0,{'0': 1},
4,Ryu,0.0,{'0': 2},
4,Ken,0.0,{'0': 1},
4,Cloud,0.0,{'0': 1},
4,Corrin,0.0,{'0': 4},
4,Bayonetta,0.0,{'0': 2},
4,Inkling,0.0,{'0': 1},
4,Ridley,0.0,{'0': 1},
4,Simon,0.0,{'0': 2},
4,Richter,0.0,{'0': 3},
4,Isabelle,0.0,{'0': 2},
4,Incineroar,0.0,{'0': 2},
4,Piranha Plant,0.0,{'0': 1},
4,Joker,0.0,{'0': 1},
4,Hero,0.0,{'0': 1},
4,Banjo and Kazooie,0.0,{'0': 2},
4,Terry,0.0,{'0': 2},
4,Byleth,0.0,{'0': 1},
4,Min Min,0.0,{'0': 1},
4,Steve,0.0,{'0': 1},
4,Sephiroth,0.0,{'0': 2},
4,Sora,0.0,{'0': 1},
4,Mii Brawler,0.0,{'0': 1},
4,Mii Gunner,0.0,{'0': 2},
4,King Dedede,0.0,{'0': 1},
4,Toon Link,0.0,{'0': 3},
4,Rosalina and Luma,0.0,{'0': 2},
4,Greninja,0.0,{'0': 1},
4,Bowser Jr,0.0,{'0': 2},
4,King K Rool,0.0,{'0': 2},
4,Pyra-Mythra,0.0,{'0': 1},
4,Kazuya,0.0,{'0': 2},
4,Mii Swordsman,0.0,{'0': 2},
