rank,character,read_value,candidates,correct
1,Hero,30.0,{'30': 3},
2,Donkey Kong,14.0,{'14': 3},
3,Ganondorf,13.0,{'13': 3},
4,Wolf,9.0,"{'9': 1, '0': 1}",
5,Chrom,8.0,{'8': 3},
5,Pokemon Trainer,8.0,"{'8': 2, '38': 1}",
7,Mr Game and Watch,7.0,{'7': 1},
8,Villager,6.0,{'6': 6},
8,Sephiroth,6.0,{'6': 3},
10,Link,5.0,{'5': 3},
10,Ness,5.0,{'5': 3},
10,Marth,5.0,"{'9': 2, '5': 1}",
10,Roy,5.0,{'5': 1},
10,Snake,5.0,{'5': 1},
10,Richter,5.0,{'5': 1},
16,Ike,4.0,{'4': 3},
16,Olimar,4.0,{'4': 3},
16,Palutena,4.0,{'4': 3},
16,Robin,4.0,{'4': 3},
16,Cloud,4.0,{'4': 3},
16,Joker,4.0,{'4': 3},
22,Yoshi,3.0,{'3': 3},
22,Bowser,3.0,{'3': 3},
22,Ice Climbers,3.0,{'3': 3},
22,Falco,3.0,{'3': 3},
22,Young Link,3.0,{'3': 3},
22,Dark Pit,3.0,{'3': 3},
22,Pac-Man,3.0,{'3': 3},
22,Ridley,3.0,{'3': 3},
22,Min Min,3.0,{'3': 3},
31,Samus,2.0,{'2': 3},
31,Dark Samus,2.0,{'2': 3},
31,Fox,2.0,{'2': 3},
31,Captain Falcon,2.0,{'2': 3},
31,Jigglypuff,2.0,{'2': 3},
31,Dr Mario,2.0,{'2': 3},
31,Lucina,2.0,{'2': 3},
31,Mewtwo,2.0,{'2': 3},
31,Zero Suit Samus,2.0,{'2': 3},
31,Wario,2.0,{'2': 3},
31,Diddy Kong,2.0,{'2': 3},
31,Sonic,2.0,{'2': 3},
31,Little Mac,2.0,{'2': 3},
31,Shulk,2.0,{'2': 3},
31,Simon,2.0,{'2': 3},
31,Piranha Plant,2.0,{'2': 3},
31,Banjo and Kazooie,2.0,{'2': 3},
31,Mii Brawler,2.0,{'2': 3},
49,Mario,1.0,{'1': 3},
49,Sheik,1.0,{'1': 3},
49,Pit,1.0,{'1': 3},
49,Lucario,1.0,{'1': 3},
49,ROB,1.0,{'1': 3},
49,Mega Man,1.0,{'1': 3},
49,Wii Fit Trainer,1.0,{'1': 3},
49,Bayonetta,1.0,{'1': 3},
49,Inkling,1.0,{'1': 3},
49,Byleth,1.0,{'1': 3},
49,Steve,1.0,{'1': 3},
49,Mii Gunner,1.0,{'1': 3},
61,Kirby,0.0,{'0': 2},
61,Pikachu,0.0,{'0': 1},
61,Luigi,0.0,{'0': 2},
61,Peach,0.0,{'0': 2},
61,Daisy,0.0,{'0': 3},
61,Zelda,0.0,{'0': 1},
61,Pichu,0.0,{'0': 2},
61,Lucas,0.0,{'0': 1},
61,Duck Hunt,0.0,{'0': 1},
61,Ryu,0.0,{'0': 1},
61,Ken,0.0,{'0': 2},
61,Corrin,0.0,{'0': 2},
61,Isabelle,0.0,{'0': 2},
61,Incineroar,0.0,{'0': 2},
61,Terry,0.0,{'0': 1},
61,Sora,0.0,{'0': 2},
61,King Dedede,0.0,{'0': 1},
61,Toon Link,0.0,{'0': 10},
61,Rosalina and Luma,0.0,{'0': 12},
61,Greninja,0.0,{'0': 6},
61,Bowser Jr,0.0,{'0': 6},
61,King K Rool,0.0,{'0': 10},
61,Pyra-Mythra,0.0,{'0': 7},
61,Kazuya,0.0,{'0': 4},
61,Mii Swordsman,0.0,{'0': 6},
