rank,character,read_value,candidates,correct
1,Snake,5.0,{'5': 1},
2,Ganondorf,4.0,{'4': 3},
3,Peach,2.0,{'2': 3},
3,Wolf,2.0,"{'2': 3, '1': 3}",
5,Pokemon Trainer,1.0,{'1': 3},
5,Diddy Kong,1.0,{'1': 3},
5,Cloud,1.0,{'1': 3},
5,Incineroar,1.0,{'1': 3},
5,Piranha Plant,1.0,{'1': 3},
5,Hero,1.0,{'1': 3},
11,Mario,0.0,{'0': 2},
11,Donkey Kong,0.0,{'0': 1},
11,Link,0.0,{'0': 2},
11,Samus,0.0,{'0': 3},
11,Dark Samus,0.0,{'0': 2},
11,Yoshi,0.0,{'0': 3},
11,Kirby,0.0,{'0': 1},
11,Fox,0.0,{'0': 1},
11,Pikachu,0.0,{'0': 3},
11,Luigi,0.0,{'0': 2},
11,Ness,0.0,{'0': 2},
11,Captain Falcon,0.0,{'0': 2},
11,Jigglypuff,0.0,{'0': 3},
11,Daisy,0.0,{'0': 1},
11,Bowser,0.0,{'0': 1},
11,Ice Climbers,0.0,{'0': 3},
11,Sheik,0.0,{'0': 3},
11,Zelda,0.0,{'0': 2},
11,Dr Mario,0.0,{'0': 2},
11,Pichu,0.0,{'0': 2},
11,Falco,0.0,{'0': 1},
11,Marth,0.0,{'0': 2},
11,Lucina,0.0,{'0': 2},
11,Young Link,0.0,{'0': 2},
11,Mewtwo,0.0,{'0': 2},
11,Roy,0.0,{'0': 1},
11,Chrom,0.0,{'0': 2},
11,Mr Game and Watch,0.0,{'0': 2},
11,Meta Knight,0.0,{'0': 2},
11,Pit,0.0,{'0': 1},
11,Dark Pit,0.0,{'0': 3},
11,Zero Suit Samus,0.0,{'0': 2},
11,Ike,0.0,{'0': 1},
11,Lucas,0.0,{'0': 3},
11,Sonic,0.0,{'0': 3},
11,Olimar,0.0,{'0': 1},
11,Lucario,0.0,{'0': 1},
11,ROB,0.0,{'0': 3},
11,Villager,0.0,{'0': 3},
11,Mega Man,0.0,{'0': 1},
11,Wii Fit Trainer,0.0,{'0': 2},
11,Little Mac,0.0,{'0': 2},
11,Palutena,0.0,{'0': 2},
11,Pac-Man,0.0,{'0': 1},
11,Robin,0.0,{'0': 2},
11,Shulk,0.0,{'0': 2},
11,Duck Hunt,0.0,{'0': 1},
11,Ryu,0.0,{'0': 1},
11,Ken,0.0,{'0': 2},
11,Corrin,0.0,{'0': 1},
11,Bayonetta,0.0,{'0': 2},
11,Inkling,0.0,{'0': 1},
11,Ridley,0.0,{'0': 2},
11,Simon,0.0,{'0': 2},
11,Richter,0.0,{'0': 3},
11,Isabelle,0.0,"{'0': 2, '4': 1}",
11,Joker,0.0,{'0': 2},
11,Banjo and Kazooie,0.0,{'0': 1},
11,Terry,0.0,{'0': 2},
11,Byleth,0.0,{'0': 1},
11,Min Min,0.0,{'0': 2},
11,Steve,0.0,{'0': 3},
11,Sephiroth,0.0,{'0': 1},
11,Sora,0.0,{'0': 1},
11,Mii Brawler,0.0,{'0': 1},
11,Mii Gunner,0.0,{'0': 2},
11,King Dedede,0.0,{'0': 2},
11,Toon Link,0.0,{'0': 9},
11,Rosalina and Luma,0.0,{'0': 10},
11,Greninja,0.0,{'0': 5},
11,Bowser Jr,0.0,{'0': 4},
11,King K Rool,0.0,{'0': 12},
11,Pyra-Mythra,0.0,{'0': 7},
11,Kazuya,0.0,{'0': 6},
11,Mii Swordsman,0.0,{'0': 10},
