rank,character,read_value,candidates,correct
1,Captain Falcon,214.0,{'214': 3},
2,Ganondorf,210.0,{'210': 3},
3,Hero,202.0,{'202': 3},
4,Jigglypuff,199.0,{'199': 3},
5,Yoshi,198.0,{'198': 3},
5,Wolf,198.0,"{'198': 3, '170': 3, '156': 3}",
7,Daisy,192.0,{'192': 3},
8,Lucas,190.0,{'190': 6},
9,Ken,188.0,{'188': 3},
10,Ness,186.0,{'186': 3},
10,Joker,186.0,{'186': 3},
12,Falco,185.0,{'185': 3},
13,Little Mac,183.0,{'183': 3},
13,Incineroar,183.0,{'183': 3},
15,Donkey Kong,182.0,{'182': 6},
15,Kirby,182.0,{'182': 3},
17,Banjo and Kazooie,180.0,{'180': 3},
17,Terry,180.0,{'180': 3},
19,Cloud,179.0,{'179': 3},
20,Lucario,178.0,{'178': 3},
21,Young Link,175.0,{'175': 3},
21,Bayonetta,175.0,{'175': 6},
23,Peach,173.0,{'173': 3},
24,Mr Game and Watch,170.0,{'170': 3},
24,Dark Pit,170.0,{'170': 3},
24,Snake,170.0,{'170': 3},
24,Ike,170.0,{'170': 3},
24,Sephiroth,170.0,{'170': 3},
29,Marth,168.0,{'168': 3},
29,Wii Fit Trainer,168.0,{'168': 3},
29,Corrin,168.0,{'168': 3},
32,Pit,167.0,{'167': 3},
32,Pokemon Trainer,167.0,{'167': 3},
34,Sheik,165.0,{'165': 3},
34,Roy,165.0,{'165': 3},
34,Sonic,165.0,{'165': 3},
34,Min Min,165.0,{'165': 3},
38,Villager,164.0,{'164': 3},
38,Mii Brawler,164.0,{'164': 3},
40,Richter,163.0,{'163': 3},
41,Palutena,162.0,{'162': 3},
42,Link,160.0,{'160': 3},
42,Sora,160.0,{'160': 6},
44,Mario,159.0,{'159': 3},
44,Dark Samus,159.0,{'159': 3},
46,Bowser,158.0,{'158': 3},
46,Mii Gunner,158.0,{'158': 3},
48,Ryu,157.0,{'157': 3},
48,Steve,157.0,{'157': 3},
50,Chrom,156.0,{'156': 6},
51,Fox,155.0,"{'135': 2, '155': 1}",
52,Samus,152.0,{'152': 3},
52,Pikachu,152.0,{'152': 3},
54,Luigi,151.0,{'151': 3},
54,Shulk,151.0,{'151': 3},
54,Inkling,151.0,"{'157': 2, '151': 4}",
57,Robin,149.0,{'149': 3},
58,Diddy Kong,145.0,{'145': 3},
59,Pichu,141.0,{'141': 3},
60,Olimar,140.0,{'140': 3},
60,Isabelle,140.0,{'140': 3},
62,Zelda,139.0,{'139': 3},
63,Lucina,138.0,{'138': 6},
64,Ridley,137.0,{'137': 3},
65,Zero Suit Samus,136.0,{'136': 3},
65,ROB,136.0,{'136': 3},
67,Piranha Plant,135.0,{'135': 3},
68,Mewtwo,134.0,{'134': 3},
69,Dr Mario,133.0,{'133': 3},
70,Simon,132.0,{'132': 4},
71,Byleth,120.0,{'120': 3},
72,Mega Man,110.0,{'110': 3},
73,Ice Climbers,108.0,{'108': 3},
74,Pac-Man,100.0,{'100': 3},
75,Duck Hunt,85.0,{'85': 3},
76,King Dedede,0.0,{'0': 1},
76,Toon Link,0.0,{'0': 5},
76,Rosalina and Luma,0.0,{'0': 2},
76,Greninja,0.0,{'0': 1},
76,Bowser Jr,0.0,{'0': 1},
76,King K Rool,0.0,{'0': 1},
76,Pyra-Mythra,0.0,{'0': 2},
76,Kazuya,0.0,{'0': 3},
76,Mii Swordsman,0.0,{'0': 2},
