rank,character,read_value,candidates,correct
1,Hero,8.33,{'8.33': 3},
2,Donkey Kong,7.08,{'7.08': 3},
3,Ganondorf,5.83,{'5.83': 3},
4,Captain Falcon,5.41,{'5.41': 3},
5,Wolf,3.33,"{'3.33': 3, '0.83': 6}",
6,Snake,2.91,{'2.91': 3},
7,Pokemon Trainer,2.5,{'2.5': 3},
8,Link,2.08,{'2.08': 6},
8,Falco,2.08,{'2.08': 3},
8,Villager,2.08,{'2.08': 3},
8,Cloud,2.08,{'2.08': 3},
12,Ness,1.66,{'1.66': 3},
12,Daisy,1.66,{'1.66': 3},
12,Marth,1.66,{'1.66': 3},
12,Young Link,1.66,{'1.66': 6},
12,Mewtwo,1.66,{'1.66': 3},
12,Shulk,1.66,{'1.66': 3},
12,Sephiroth,1.66,{'1.66': 3},
19,Ice Climbers,1.29,"{'1.29': 2, '1.25': 1}",
19,Ike,1.29,"{'1.29': 2, '12.5': 1}",
21,Sonic,1.25,"{'1.25': 2, '12.5': 1}",
21,ROB,1.25,"{'12.23': 2, '1.25': 1}",
21,Palutena,1.25,{'1.25': 3},
21,Corrin,1.25,{'1.25': 3},
21,Bayonetta,1.25,{'1.25': 3},
21,Samus,1.25,{'1.25': 3},
21,Yoshi,1.25,{'1.25': 3},
21,Jigglypuff,1.25,{'1.25': 3},
29,Mario,0.83,{'0.83': 3},
29,Dark Samus,0.83,{'0.83': 3},
29,Fox,0.83,{'0.83': 3},
29,Luigi,0.83,{'0.83': 3},
29,Bowser,0.83,{'0.83': 3},
29,Sheik,0.83,{'0.83': 3},
29,Zelda,0.83,{'0.83': 3},
29,Dr Mario,0.83,{'0.83': 3},
29,Lucina,0.83,{'0.83': 6},
29,Roy,0.83,{'0.83': 3},
29,Chrom,0.83,{'0.83': 3},
29,Mr Game and Watch,0.83,{'0.83': 3},
29,Dark Pit,0.83,{'0.83': 3},
29,Zero Suit Samus,0.83,{'0.83': 3},
29,Diddy Kong,0.83,{'0.83': 3},
29,Lucas,0.83,{'0.83': 3},
29,Olimar,0.83,{'0.83': 3},
29,Wii Fit Trainer,0.83,{'0.83': 3},
29,Little Mac,0.83,{'0.83': 3},
29,Robin,0.83,{'0.83': 3},
29,Ridley,0.83,{'0.83': 3},
29,Richter,0.83,{'0.83': 3},
29,Isabelle,0.83,{'0.83': 3},
29,Incineroar,0.83,{'0.83': 3},
29,Joker,0.83,{'0.83': 3},
29,Banjo and Kazooie,0.83,{'0.83': 3},
55,Kirby,0.41,{'0.41': 3},
55,Pikachu,0.41,{'0.41': 3},
55,Peach,0.41,{'0.41': 3},
55,Pichu,0.41,{'0.41': 3},
55,Pit,0.41,{'0.41': 3},
55,Lucario,0.41,{'0.41': 3},
55,Mega Man,0.41,{'0.41': 3},
55,Pac-Man,0.41,{'0.41': 3},
55,Duck Hunt,0.41,{'0.41': 3},
55,Ryu,0.41,{'0.41': 3},
55,Ken,0.41,{'0.41': 3},
55,Inkling,0.41,{'0.41': 3},
55,Simon,0.41,{'0.41': 3},
55,Piranha Plant,0.41,{'0.41': 3},
55,Terry,0.41,{'0.41': 3},
55,Byleth,0.41,{'0.41': 3},
55,Min Min,0.41,{'0.41': 3},
55,Steve,0.41,{'0.41': 3},
55,Sora,0.41,{'0.41': 3},
55,Mii Brawler,0.41,{'0.41': 3},
55,Mii Gunner,0.41,{'0.41': 3},
76,King Dedede,0.0,{'0.0': 3},
76,Toon Link,0.0,{'0.0': 6},
76,Rosalina and Luma,0.0,{'0.0': 6},
76,Greninja,0.0,{'0.0': 3},
76,Bowser Jr,0.0,{'0.0': 3},
76,King K Rool,0.0,{'0.0': 3},
76,Pyra-Mythra,0.0,{'0.0': 3},
76,Kazuya,0.0,{'0.0': 3},
76,Mii Swordsman,0.0,{'0.0': 3},
