rank,character,read_value,candidates,correct
1,Hero,109.0,{'109': 3},
2,Donkey Kong,58.0,{'58': 3},
3,Ganondorf,45.0,{'45': 3},
4,Captain Falcon,42.0,{'42': 3},
5,Snake,27.0,{'27': 3},
6,Wolf,25.0,"{'25': 3, '8': 3}",
7,Villager,21.0,{'21': 3},
8,Falco,20.0,{'20': 3},
8,Pokemon Trainer,20.0,{'20': 3},
8,Cloud,20.0,{'20': 3},
11,Daisy,17.0,"{'17': 2, '217': 1}",
12,Link,16.0,"{'16': 2, '316': 1}",
13,Marth,15.0,{'15': 3},
13,Ness,15.0,{'15': 3},
13,Young Link,15.0,{'15': 3},
16,Shulk,13.0,{'13': 3},
16,Sephiroth,13.0,{'13': 3},
18,Yoshi,12.0,"{'12': 2, '212': 1}",
18,Samus,12.0,"{'12': 2, '212': 1}",
18,Sonic,12.0,{'12': 3},
21,Corrin,11.0,{'11': 3},
22,Jigglypuff,10.0,{'10': 3},
22,Mewtwo,10.0,{'10': 6},
22,Bayonetta,10.0,{'10': 3},
25,Ice Climbers,9.0,{'9': 3},
25,Palutena,9.0,{'9': 3},
25,Ike,9.0,{'9': 3},
25,Sheik,9.0,{'9': 3},
25,Olimar,9.0,{'9': 3},
25,Banjo and Kazooie,9.0,{'9': 6},
31,Zero Suit Samus,8.0,{'8': 3},
31,ROB,8.0,{'8': 3},
31,Robin,8.0,{'8': 3},
31,Mr Game and Watch,8.0,{'8': 3},
31,Joker,8.0,{'8': 3},
31,Diddy Kong,8.0,{'8': 3},
31,Mario,8.0,{'8': 3},
38,Zelda,7.0,{'7': 3},
38,Incineroar,7.0,{'7': 3},
38,Lucina,7.0,{'7': 3},
38,Luigi,7.0,{'7': 3},
38,Ridley,7.0,{'7': 3},
38,Richter,7.0,{'7': 3},
38,Chrom,7.0,{'7': 3},
38,Dark Samus,7.0,{'7': 3},
38,Fox,7.0,{'7': 3},
38,Wario,7.0,{'7': 3},
48,Wii Fit Trainer,6.0,{'6': 3},
48,Little Mac,6.0,{'6': 3},
48,Roy,6.0,{'6': 3},
48,Dr Mario,6.0,{'6': 3},
48,Isabelle,6.0,{'6': 3},
48,Bowser,6.0,{'6': 3},
48,Lucas,6.0,{'6': 3},
55,Dark Pit,5.0,{'5': 3},
55,Ken,5.0,{'5': 3},
55,Sora,5.0,{'5': 3},
58,Ryu,4.0,{'4': 3},
58,Lucario,4.0,{'4': 3},
58,Inkling,4.0,{'4': 3},
58,Pit,4.0,{'4': 3},
58,Kirby,4.0,{'4': 3},
58,Peach,4.0,{'4': 3},
58,Duck Hunt,4.0,{'4': 3},
58,Steve,4.0,{'4': 3},
58,Min Min,4.0,{'4': 3},
58,Pac-Man,4.0,{'4': 3},
68,Terry,3.0,{'3': 3},
68,Mii Brawler,3.0,{'3': 3},
68,Piranha Plant,3.0,{'3': 3},
68,Pichu,3.0,{'3': 3},
68,Pikachu,3.0,{'3': 3},
68,Mii Gunner,3.0,{'3': 3},
68,Mega Man,3.0,{'3': 3},
68,Byleth,3.0,{'3': 3},
76,Simon,2.0,{'2': 3},
77,King Dedede,0.0,{'0': 3},
77,Toon Link,0.0,{'0': 6},
77,Rosalina and Luma,0.0,{'0': 6},
77,Greninja,0.0,{'0': 3},
77,Bowser Jr,0.0,{'0': 3},
77,King K Rool,0.0,{'0': 3},
77,Pyra-Mythra,0.0,{'0': 3},
77,Kazuya,0.0,{'0': 3},
77,Mii Swordsman,0.0,{'0': 3},
