rank,character,read_value,candidates,correct
1,Hero,150.0,"{'15': 2, '150': 1}",
2,Donkey Kong,12.0,{'12': 3},
3,Ganondorf,9.0,{'9': 1},
4,Captain Falcon,8.0,{'8': 2},
5,Wolf,6.0,"{'6': 3, '2': 3}",
6,Cloud,5.0,{'5': 1},
7,Link,4.0,{'4': 3},
7,Ness,4.0,{'4': 3},
7,Falco,4.0,{'4': 3},
7,Snake,4.0,{'4': 3},
7,Pokemon Trainer,4.0,{'4': 3},
7,Sephiroth,4.0,{'4': 3},
13,Mewtwo,3.0,{'3': 3},
13,Palutena,3.0,{'3': 3},
15,Samus,2.0,{'2': 3},
15,Yoshi,2.0,{'2': 3},
15,Jigglypuff,2.0,{'2': 3},
15,Daisy,2.0,{'2': 3},
15,Marth,2.0,{'2': 3},
15,Young Link,2.0,{'2': 3},
15,Chrom,2.0,{'2': 3},
15,Villager,2.0,{'2': 3},
15,Shulk,2.0,{'2': 3},
15,Corrin,2.0,{'2': 3},
15,Richter,2.0,{'2': 3},
26,Mario,1.0,{'1': 3},
26,Kirby,1.0,{'1': 3},
26,Fox,1.0,{'1': 3},
26,Bowser,1.0,{'1': 3},
26,Sheik,1.0,{'1': 3},
26,Zelda,1.0,{'1': 3},
26,Mr Game and Watch,1.0,{'1': 3},
26,Pit,1.0,{'1': 3},
26,Dark Pit,1.0,{'1': 3},
26,Zero Suit Samus,1.0,{'1': 3},
26,Ike,1.0,{'1': 3},
26,Lucas,1.0,{'1': 3},
26,Sonic,1.0,{'1': 3},
26,Olimar,1.0,{'1': 3},
26,ROB,1.0,{'1': 3},
26,Mega Man,1.0,{'1': 3},
26,Wii Fit Trainer,1.0,{'1': 3},
26,Pac-Man,1.0,{'1': 3},
26,Robin,1.0,{'1': 3},
26,Duck Hunt,1.0,{'1': 3},
26,Ryu,1.0,{'1': 3},
26,Bayonetta,1.0,{'1': 3},
26,Ridley,1.0,{'1': 3},
26,Simon,1.0,{'1': 3},
26,Isabelle,1.0,{'1': 3},
26,Incineroar,1.0,{'1': 3},
26,Joker,1.0,{'1': 3},
26,Banjo and Kazooie,1.0,{'1': 3},
26,Terry,1.0,{'1': 3},
26,Byleth,1.0,{'1': 3},
26,Steve,1.0,{'1': 3},
26,Sora,1.0,{'1': 3},
26,Mii Brawler,1.0,{'1': 3},
26,Mii Gunner,1.0,{'1': 3},
60,Dark Samus,0.0,{'0': 1},
60,Pikachu,0.0,{'0': 2},
60,Luigi,0.0,{'0': 1},
60,Peach,0.0,{'0': 3},
60,Ice Climbers,0.0,{'0': 3},
60,Dr Mario,0.0,{'0': 1},
60,Pichu,0.0,{'0': 2},
60,Lucina,0.0,{'0': 2},
60,Roy,0.0,{'0': 1},
60,Meta Knight,0.0,{'0': 1},
60,Diddy Kong,0.0,{'0': 3},
60,Lucario,0.0,{'0': 1},
60,Little Mac,0.0,{'0': 2},
60,Ken,0.0,{'0': 5},
60,Inkling,0.0,{'0': 1},
60,Piranha Plant,0.0,{'0': 1},
60,Min Min,0.0,{'0': 1},
60,King Dedede,0.0,{'0': 3},
60,Toon Link,0.0,{'0': 4},
60,Rosalina and Luma,0.0,{'0': 4},
60,Greninja,0.0,{'0': 3},
60,Bowser Jr,0.0,{'0': 1},
60,King K Rool,0.0,{'0': 2},
60,Pyra-Mythra,0.0,{'0': 3},
60,Kazuya,0.0,{'0': 1},
60,Mii Swordsman,0.0,{'0': 2},
