rank,character,read_value,candidates,correct
1,Hero,11.0,{'11': 2},
2,Donkey Kong,7.0,{'7': 3},
3,Captain Falcon,6.0,{'6': 3},
3,Wolf,6.0,"{'6': 2, '2': 3}",
5,Ganondorf,5.0,"{'9': 2, '5': 1}",
5,Cloud,5.0,{'5': 1},
7,Ness,3.0,{'3': 3},
7,Mewtwo,3.0,{'3': 3},
7,Pokemon Trainer,3.0,{'3': 3},
10,Link,2.0,{'2': 3},
10,Samus,2.0,{'2': 3},
10,Daisy,2.0,{'2': 3},
10,Falco,2.0,{'2': 3},
10,Marth,2.0,{'2': 3},
10,Young Link,2.0,{'2': 3},
10,Chrom,2.0,{'2': 3},
10,Villager,2.0,{'2': 3},
10,Sephiroth,2.0,{'2': 3},
19,Yoshi,1.0,{'1': 3},
19,Kirby,1.0,{'1': 3},
19,Fox,1.0,{'1': 3},
19,Sheik,1.0,{'1': 3},
19,Mr Game and Watch,1.0,{'1': 3},
19,Pit,1.0,{'1': 3},
19,Dark Pit,1.0,{'1': 3},
19,Zero Suit Samus,1.0,{'1': 3},
19,Snake,1.0,{'1': 3},
19,Ike,1.0,{'1': 3},
19,Sonic,1.0,{'1': 3},
19,Olimar,1.0,{'1': 3},
19,ROB,1.0,{'1': 3},
19,Mega Man,1.0,{'1': 3},
19,Wii Fit Trainer,1.0,{'1': 3},
19,Palutena,1.0,{'1': 3},
19,Pac-Man,1.0,{'1': 3},
19,Robin,1.0,{'1': 3},
19,Duck Hunt,1.0,{'1': 6},
19,Ryu,1.0,{'1': 3},
19,Corrin,1.0,{'1': 3},
19,Simon,1.0,{'1': 3},
19,Richter,1.0,{'1': 3},
19,Isabelle,1.0,{'1': 3},
19,Joker,1.0,{'1': 3},
19,Terry,1.0,{'1': 6},
19,Byleth,1.0,{'1': 3},
19,Mii Brawler,1.0,{'1': 3},
47,Mario,0.0,"{'0': 1, '4': 1}",
47,Dark Samus,0.0,{'0': 2},
47,Pikachu,0.0,{'0': 2},
47,Luigi,0.0,{'0': 1},
47,Jigglypuff,0.0,{'0': 5},
47,Peach,0.0,{'0': 3},
47,Bowser,0.0,{'0': 1},
47,Ice Climbers,0.0,{'0': 2},
47,Zelda,0.0,{'0': 2},
47,Dr Mario,0.0,{'0': 3},
47,Pichu,0.0,{'0': 2},
47,Lucina,0.0,{'0': 3},
47,Roy,0.0,{'0': 3},
47,Meta Knight,0.0,{'0': 1},
47,Diddy Kong,0.0,{'0': 2},
47,Lucas,0.0,{'0': 3},
47,Lucario,0.0,{'0': 3},
47,Little Mac,0.0,{'0': 1},
47,Shulk,0.0,{'0': 2},
47,Ken,0.0,{'0': 2},
47,Bayonetta,0.0,{'0': 1},
47,Inkling,0.0,{'0': 1},
47,Ridley,0.0,{'0': 3},
47,Incineroar,0.0,{'0': 2},
47,Piranha Plant,0.0,{'0': 1},
47,Banjo and Kazooie,0.0,{'0': 6},
47,Min Min,0.0,{'0': 1},
47,Steve,0.0,{'0': 1},
47,Sora,0.0,{'0': 1},
47,Mii Gunner,0.0,{'0': 2},
47,King Dedede,0.0,{'0': 2},
47,Toon Link,0.0,{'0': 5},
47,Rosalina and Luma,0.0,{'0': 3},
47,Greninja,0.0,{'0': 1},
47,Bowser Jr,0.0,{'0': 1},
47,King K Rool,0.0,{'0': 1},
47,Pyra-Mythra,0.0,{'0': 2},
47,Kazuya,0.0,{'0': 2},
47,Mii Swordsman,0.0,{'0': 1},
