rank,character,read_value,candidates,correct
1,Kirby,100.0,{'100.0': 3},
1,Chrom,100.0,{'100.0': 3},
1,Pit,100.0,{'100.0': 3},
1,Wario,100.0,{'100.0': 3},
1,Mega Man,100.0,{'100.0': 3},
1,Pac-Man,100.0,{'100.0': 3},
1,Duck Hunt,100.0,{'100.0': 3},
1,Ryu,100.0,{'100.0': 3},
1,Cloud,100.0,{'100.0': 3},
1,Simon,100.0,{'100.0': 3},
1,Terry,100.0,{'100.0': 3},
1,Byleth,100.0,{'100.0': 3},
1,Mii Brawler,100.0,{'100.0': 3},
14,Ness,75.0,{'75.0': 3},
14,Mewtwo,75.0,{'75.0': 3},
14,Wolf,75.0,{'75.0': 3},
17,Samus,66.66,{'66.66': 3},
18,Hero,60.0,{'60.0': 3},
19,Fox,50.0,"{'590.0': 2, '50.0': 1}",
19,Captain Falcon,50.0,{'50.0': 3},
19,Daisy,50.0,{'50.0': 3},
19,Sheik,50.0,"{'90.0': 2, '50.0': 1}",
19,Marth,50.0,"{'90.0': 2, '50.0': 1}",
19,Young Link,50.0,{'50.0': 3},
19,Mr Game and Watch,50.0,{'50.0': 3},
19,Dark Pit,50.0,{'50.0': 3},
19,Zero Suit Samus,50.0,{'50.0': 3},
19,Pokemon Trainer,50.0,{'50.0': 3},
19,Olimar,50.0,{'50.0': 3},
19,Wii Fit Trainer,50.0,"{'90.0': 2, '50.0': 1}",
19,Robin,50.0,{'50.0': 3},
19,Richter,50.0,{'50.0': 3},
19,Isabelle,50.0,{'50.0': 3},
19,Joker,50.0,{'50.0': 3},
19,Sephiroth,50.0,{'50.0': 3},
36,Link,40.0,{'40.0': 3},
36,Falco,40.0,{'40.0': 3},
36,Ganondorf,40.0,{'40.0': 3},
36,Villager,40.0,{'40.0': 3},
40,Yoshi,33.33,{'33.33': 3},
40,Ike,33.33,{'33.33': 3},
40,Sonic,33.33,{'33.33': 1},
40,ROB,33.33,"{'333.53': 2, '33.33': 1}",
40,Palutena,33.33,{'33.33': 1},
40,Corrin,33.33,{'33.33': 3},
46,Donkey Kong,30.0,{'30.0': 3},
47,Snake,14.28,{'14.28': 3},
48,Mario,0.0,{'0.0': 3},
48,Dark Samus,0.0,{'0.0': 3},
48,Pikachu,0.0,{'0.0': 3},
48,Luigi,0.0,{'0.0': 3},
48,Jigglypuff,0.0,{'0.0': 3},
48,Peach,0.0,{'0.0': 3},
48,Bowser,0.0,{'0.0': 3},
48,Ice Climbers,0.0,{'0.0': 3},
48,Zelda,0.0,{'0.0': 3},
48,Dr Mario,0.0,{'0.0': 3},
48,Pichu,0.0,{'0.0': 3},
48,Lucina,0.0,{'0.0': 3},
48,Roy,0.0,{'0.0': 3},
48,Meta Knight,0.0,{'0.0': 3},
48,Diddy Kong,0.0,{'0.0': 3},
48,Lucas,0.0,{'0.0': 3},
48,Lucario,0.0,{'0.0': 3},
48,Little Mac,0.0,{'0.0': 3},
48,Shulk,0.0,{'0.0': 3},
48,Ken,0.0,{'0.0': 3},
48,Bayonetta,0.0,{'0.0': 3},
48,Inkling,0.0,{'0.0': 3},
48,Ridley,0.0,{'0.0': 3},
48,Incineroar,0.0,{'0.0': 3},
48,Piranha Plant,0.0,{'0.0': 3},
48,Banjo and Kazooie,0.0,{'0.0': 3},
48,Min Min,0.0,{'0.0': 3},
48,Steve,0.0,{'0.0': 3},
48,Sora,0.0,{'0.0': 3},
48,Mii Gunner,0.0,{'0.0': 3},
48,King Dedede,0.0,{'0.0': 3},
48,Toon Link,0.0,{'0.0': 6},
48,Rosalina and Luma,0.0,{'0.0': 6},
48,Greninja,0.0,{'0.0': 3},
48,Bowser Jr,0.0,{'0.0': 3},
48,King K Rool,0.0,{'0.0': 3},
48,Pyra-Mythra,0.0,{'0.0': 3},
48,Kazuya,0.0,{'0.0': 3},
48,Mii Swordsman,0.0,{'0.0': 3},
