rank,character,read_value,candidates,correct
1,Pokemon Trainer,21334.0,{'21334': 1},
2,Captain Falcon,14266.0,{'14266': 3},
3,Fox,13132.0,{'13132': 3},
4,Dr Mario,9664.0,{'9664': 3},
5,Falco,8512.0,{'8512': 3},
6,Diddy Kong,5719,{'5719': 3},
7,Yoshi,5704,{'5704': 3},
8,Marth,5552.0,"{'5552': 4, '9952': 2}",
9,King Dedede,4598.0,{'4598': 3},
10,Samus,4317.0,{'4317': 3},
11,Donkey Kong,4201.0,{'4201': 3},
12,Villager,3648.0,{'3648': 3},
13,Incineroar,3415.0,{'3415': 3},
14,Greninja,3240.0,{'3240': 3},
15,Snake,2948.0,{'2948': 3},
16,Joker,2928.0,{'2928': 3},
17,Wolf,2830.0,{'2830': 3},
18,Corrin,2751.0,{'2751': 3},
19,Pyra-Mythra,2710.0,{'2710': 3},
20,Mii Brawler,2700.0,{'2700': 3},
21,Ice Climbers,2692.0,{'2692': 3},
22,Sheik,2673.0,{'2673': 3},
23,Palutena,2647.0,{'2647': 3},
24,Terry,2511.0,{'2511': 3},
25,Inkling,2470.0,{'2470': 3},
26,Mario,2384.0,{'2384': 3},
27,Cloud,2233.0,{'2233': 3},
28,Ike,2209.0,{'2209': 3},
29,Bowser Jr,1753.0,{'1753': 3},
30,Pit,1742.0,{'1742': 3},
31,Mewtwo,1507.0,{'1507': 3},
32,Ridley,1459.0,{'1459': 3},
33,Daisy,1336.0,{'1336': 3},
34,Bayonetta,1264.0,{'1264': 3},
35,Ryu,1251.0,{'1251': 3},
36,Roy,1086.0,{'1086': 3},
37,Piranha Plant,1029.0,{'1029': 3},
38,Chrom,1006.0,{'1006': 3},
39,Ganondorf,898.0,{'898': 3},
40,Zero Suit Samus,821.0,{'821': 3},
41,Meta Knight,569.0,{'569': 3},
42,Rosalina and Luma,504.0,"{'904': 2, '504': 1}",
43,Luigi,496.0,{'496': 3},
44,Wario,483.0,{'483': 6},
45,King K Rool,475.0,{'475': 3},
46,Peach,428.0,{'428': 3},
47,Jigglypuff,411.0,"{'411': 2, '4': 1}",
48,Isabelle,408.0,{'408': 3},
49,Bowser,395.0,{'395': 3},
50,Wii Fit Trainer,358.0,{'358': 3},
51,Little Mac,341.0,{'341': 3},
52,Dark Pit,319.0,{'319': 3},
53,Lucario,314.0,{'314': 3},
54,Shulk,280.0,{'280': 3},
54,Hero,280.0,{'280': 3},
56,Sora,149.0,{'149': 3},
57,Link,0.0,{'0': 2},
57,Dark Samus,0.0,{'0': 2},
57,Kirby,0.0,{'0': 1},
57,Pikachu,0.0,{'0': 2},
57,Ness,0.0,{'0': 1},
57,Zelda,0.0,{'0': 1},
57,Pichu,0.0,{'0': 2},
57,Lucina,0.0,{'0': 2},
57,Young Link,0.0,{'0': 2},
57,Mr Game and Watch,0.0,{'0': 1},
57,Lucas,0.0,{'0': 3},
57,Sonic,0.0,{'0': 2},
57,Olimar,0.0,{'0': 2},
57,ROB,0.0,{'0': 1},
57,Toon Link,0.0,{'0': 2},
57,Mega Man,0.0,{'0': 2},
57,Pac-Man,0.0,{'0': 1},
57,Robin,0.0,{'0': 2},
57,Duck Hunt,0.0,{'0': 2},
57,Ken,0.0,{'0': 2},
57,Simon,0.0,{'0': 1},
57,Richter,0.0,{'0': 2},
57,Banjo and Kazooie,0.0,{'0': 3},
57,Byleth,0.0,{'0': 4},
57,Min Min,0.0,{'0': 3},
57,Steve,0.0,{'0': 2},
57,Sephiroth,0.0,{'0': 2},
57,Kazuya,0.0,{'0': 1},
57,Mii Swordsman,0.0,{'0': 1},
57,Mii Gunner,0.0,{'0': 1},
