rank,character,read_value,candidates,correct
1,Pokemon Trainer,7982.0,{'7982': 3},
2,Captain Falcon,6701.0,{'6701': 3},
3,Fox,6640.0,{'6640': 3},
4,Falco,3083.0,{'3083': 3},
5,Dr Mario,3015.0,{'3015': 3},
6,Diddy Kong,2791.0,{'2791': 3},
7,Marth,2672.0,{'2672': 3},
8,Yoshi,2406.0,{'2406': 6},
9,Villager,1881.0,{'1881': 3},
10,Wolf,1874.0,{'1874': 3},
11,Snake,1775.0,{'1775': 3},
12,Samus,1694.0,{'1694': 3},
13,Donkey Kong,1623.0,{'1623': 3},
14,Greninja,1560.0,{'1560': 3},
15,King Dedede,1523.0,{'1523': 6},
16,Palutena,1426.0,{'1426': 3},
17,Joker,1423.0,{'1423': 3},
18,Sheik,1342.0,{'1342': 3},
19,Incineroar,1229.0,{'1229': 3},
20,Inkling,1219.0,{'1219': 3},
21,Terry,1106.0,{'1106': 3},
22,Pyra-Mythra,1100.0,{'1100': 6},
23,Ice Climbers,1014.0,{'1014': 3},
24,Mii Brawler,1003.0,{'1003': 3},
25,Mario,976.0,{'976': 3},
26,Cloud,932.0,{'932': 3},
27,Corrin,795.0,{'795': 3},
28,Pit,785.0,{'785': 3},
29,Ike,717.0,"{'717': 2, '7': 1}",
30,Bowser Jr,674.0,{'674': 3},
31,Bayonetta,647.0,{'647': 3},
32,Daisy,641.0,{'641': 3},
33,Mewtwo,632.0,{'632': 3},
34,Ryu,590.0,{'590': 3},
35,Roy,583.0,{'583': 3},
36,Ganondorf,551.0,"{'351': 2, '551': 1}",
37,Ridley,472.0,{'472': 3},
38,Chrom,436.0,{'436': 3},
39,Meta Knight,373.0,{'373': 3},
40,King K Rool,343.0,{'343': 3},
41,Zero Suit Samus,288.0,{'288': 3},
42,Rosalina and Luma,271.0,{'271': 3},
43,Little Mac,270.0,{'270': 3},
44,Piranha Plant,260.0,{'260': 6},
45,Lucario,231.0,{'231': 3},
46,Luigi,229.0,{'229': 3},
47,Wario,212.0,{'212': 3},
48,Dark Pit,198.0,{'198': 3},
49,Hero,184.0,{'184': 3},
50,Isabelle,180.0,{'180': 3},
51,Bowser,166.0,{'166': 3},
52,Jigglypuff,146.0,{'146': 3},
53,Peach,109.0,{'109': 3},
54,Shulk,106.0,{'106': 3},
55,Wii Fit Trainer,103.0,{'103': 3},
56,Sora,62.0,{'62': 3},
57,Link,0.0,{'0': 1},
57,Dark Samus,0.0,{'0': 1},
57,Kirby,0.0,{'0': 2},
57,Pikachu,0.0,{'0': 2},
57,Ness,0.0,{'0': 1},
57,Zelda,0.0,{'0': 1},
57,Pichu,0.0,{'0': 1},
57,Lucina,0.0,{'0': 3},
57,Young Link,0.0,{'0': 1},
57,Mr Game and Watch,0.0,{'0': 3},
57,Lucas,0.0,{'0': 1},
57,Sonic,0.0,{'0': 2},
57,Olimar,0.0,{'0': 2},
57,ROB,0.0,{'0': 2},
57,Toon Link,0.0,{'0': 2},
57,Mega Man,0.0,{'0': 1},
57,Pac-Man,0.0,{'0': 2},
57,Robin,0.0,{'0': 1},
57,Duck Hunt,0.0,{'0': 2},
57,Ken,0.0,{'0': 2},
57,Simon,0.0,{'0': 2},
57,Richter,0.0,{'0': 2},
57,Banjo and Kazooie,0.0,{'0': 3},
57,Byleth,0.0,{'0': 3},
57,Min Min,0.0,{'0': 1},
57,Steve,0.0,{'0': 2},
57,Sephiroth,0.0,{'0': 2},
57,Kazuya,0.0,"{'0': 1, '8': 1}",
57,Mii Swordsman,0.0,{'0': 1},
57,Mii Gunner,0.0,{'0': 2},
