rank,character,read_value,candidates,correct
1,Fox,24.0,{'24': 3},
2,Pokemon Trainer,15.0,{'15': 3},
3,Dr Mario,13.0,{'13': 3},
4,Yoshi,11.0,{'11': 2},
4,Falco,11.0,{'11': 2},
6,Captain Falcon,9.0,{'9': 1},
7,Diddy Kong,8.0,{'8': 3},
8,Joker,7.0,{'7': 6},
9,Inkling,6.0,{'6': 3},
9,Incineroar,6.0,{'6': 3},
11,Sheik,5.0,"{'9': 2, '5': 1}",
11,Marth,5.0,"{'9': 2, '5': 1}",
11,Villager,5.0,{'5': 1},
14,Ice Climbers,4.0,{'4': 3},
14,Pit,4.0,{'4': 6},
14,Snake,4.0,{'4': 3},
17,Donkey Kong,3.0,{'3': 3},
17,Mewtwo,3.0,{'3': 3},
17,Greninja,3.0,{'3': 3},
17,Pyra-Mythra,3.0,{'3': 3},
17,Mii Brawler,3.0,{'3': 3},
22,Mario,2.0,{'2': 6},
22,Samus,2.0,{'2': 3},
22,Wolf,2.0,{'2': 3},
22,Cloud,2.0,{'2': 3},
22,Terry,2.0,{'2': 3},
27,Luigi,1.0,{'1': 3},
27,Daisy,1.0,{'1': 3},
27,Roy,1.0,{'1': 6},
27,Meta Knight,1.0,{'1': 3},
27,Ike,1.0,{'1': 3},
27,King Dedede,1.0,{'1': 3},
27,Lucario,1.0,{'1': 3},
27,Palutena,1.0,{'1': 3},
27,Bowser Jr,1.0,{'1': 3},
27,Hero,1.0,{'1': 6},
27,Sora,1.0,{'1': 3},
38,Jigglypuff,0.0,{'0': 1},
38,Peach,0.0,{'0': 3},
38,Bowser,0.0,{'0': 2},
38,Ganondorf,0.0,{'0': 3},
38,Chrom,0.0,{'0': 1},
38,Dark Pit,0.0,{'0': 2},
38,Zero Suit Samus,0.0,{'0': 2},
38,Wario,0.0,{'0': 1},
38,Wii Fit Trainer,0.0,{'0': 2},
38,Rosalina and Luma,0.0,{'0': 1},
38,Little Mac,0.0,{'0': 2},
38,Shulk,0.0,{'0': 2},
38,Ryu,0.0,{'0': 1},
38,Corrin,0.0,{'0': 1},
38,Bayonetta,0.0,{'0': 2},
38,Ridley,0.0,{'0': 1},
38,King K Rool,0.0,{'0': 2},
38,Isabelle,0.0,{'0': 1},
38,Piranha Plant,0.0,{'0': 1},
38,Link,0.0,{'0': 2},
38,Dark Samus,0.0,{'0': 3},
38,Kirby,0.0,{'0': 1},
38,Pikachu,0.0,{'0': 1},
38,Ness,0.0,{'0': 2},
38,Zelda,0.0,{'0': 2},
38,Pichu,0.0,{'0': 2},
38,Lucina,0.0,{'0': 2},
38,Young Link,0.0,{'0': 1},
38,Mr Game and Watch,0.0,{'0': 1},
38,Lucas,0.0,{'0': 2},
38,Sonic,0.0,{'0': 1},
38,Olimar,0.0,{'0': 2},
38,ROB,0.0,{'0': 2},
38,Toon Link,0.0,{'0': 1},
38,Mega Man,0.0,{'0': 2},
38,Pac-Man,0.0,{'0': 2},
38,Robin,0.0,{'0': 2},
38,Duck Hunt,0.0,{'0': 3},
38,Ken,0.0,{'0': 2},
38,Simon,0.0,{'0': 1},
38,Richter,0.0,{'0': 2},
38,Banjo and Kazooie,0.0,{'0': 4},
38,Byleth,0.0,{'0': 1},
38,Min Min,0.0,{'0': 1},
38,Steve,0.0,{'0': 2},
38,Sephiroth,0.0,{'0': 2},
38,Kazuya,0.0,{'0': 1},
38,Mii Swordsman,0.0,{'0': 1},
38,Mii Gunner,0.0,{'0': 1},
