rank,character,read_value,candidates,correct
1,Dr Mario,19.0,{'19': 3},
2,Pokemon Trainer,16.0,{'16': 3},
3,Snake,7.0,{'7': 3},
3,Corrin,7.0,{'7': 3},
5,Samus,5.0,"{'9': 2, '5': 1}",
5,Fox,5.0,"{'9': 2, '5': 1}",
5,Villager,5.0,"{'0': 2, '5': 1}",
8,Donkey Kong,4.0,{'4': 6},
8,Captain Falcon,4.0,{'4': 3},
8,Diddy Kong,4.0,{'4': 3},
8,King Dedede,4.0,{'4': 3},
8,Terry,4.0,{'4': 3},
8,Mii Brawler,4.0,{'4': 3},
14,Sheik,3.0,{'3': 3},
14,Marth,3.0,{'3': 3},
14,Ike,3.0,{'3': 3},
14,Palutena,3.0,{'3': 1},
14,Ryu,3.0,{'3': 3},
14,Inkling,3.0,{'3': 3},
14,Incineroar,3.0,{'3': 3},
14,Piranha Plant,3.0,{'3': 3},
14,Pyra-Mythra,3.0,{'3': 3},
23,Luigi,2.0,{'2': 3},
23,Ice Climbers,2.0,{'2': 3},
23,Isabelle,2.0,{'2': 3},
23,Hero,2.0,{'2': 3},
27,Mario,1.0,{'1': 3},
27,Yoshi,1.0,{'1': 3},
27,Jigglypuff,1.0,{'1': 3},
27,Bowser,1.0,{'1': 3},
27,Falco,1.0,{'1': 3},
27,Mewtwo,1.0,{'1': 3},
27,Roy,1.0,{'1': 3},
27,Chrom,1.0,{'1': 3},
27,Wario,1.0,{'1': 3},
27,Wolf,1.0,{'1': 3},
27,Wii Fit Trainer,1.0,{'1': 3},
27,Greninja,1.0,{'1': 3},
27,Shulk,1.0,{'1': 3},
27,Cloud,1.0,{'1': 3},
27,Ridley,1.0,{'1': 3},
27,King K Rool,1.0,{'1': 3},
27,Joker,1.0,{'1': 3},
44,Peach,0.0,{'0': 1},
44,Daisy,0.0,{'0': 2},
44,Ganondorf,0.0,{'0': 2},
44,Meta Knight,0.0,{'0': 2},
44,Pit,0.0,{'0': 3},
44,Dark Pit,0.0,{'0': 2},
44,Zero Suit Samus,0.0,{'0': 2},
44,Lucario,0.0,{'0': 1},
44,Rosalina and Luma,0.0,{'0': 2},
44,Little Mac,0.0,{'0': 2},
44,Bowser Jr,0.0,{'0': 2},
44,Bayonetta,0.0,{'0': 2},
44,Sora,0.0,{'0': 1},
44,Link,0.0,{'0': 2},
44,Dark Samus,0.0,{'0': 2},
44,Kirby,0.0,{'0': 1},
44,Pikachu,0.0,{'0': 1},
44,Ness,0.0,{'0': 2},
44,Zelda,0.0,{'0': 2},
44,Pichu,0.0,{'0': 2},
44,Lucina,0.0,{'0': 1},
44,Young Link,0.0,{'0': 2},
44,Mr Game and Watch,0.0,{'0': 1},
44,Lucas,0.0,{'0': 1},
44,Sonic,0.0,{'0': 3},
44,Olimar,0.0,{'0': 2},
44,ROB,0.0,{'0': 1},
44,Toon Link,0.0,{'0': 2},
44,Mega Man,0.0,{'0': 3},
44,Pac-Man,0.0,{'0': 1},
44,Robin,0.0,{'0': 2},
44,Duck Hunt,0.0,{'0': 2},
44,Ken,0.0,{'0': 1},
44,Simon,0.0,{'0': 2},
44,Richter,0.0,{'0': 2},
44,Banjo and Kazooie,0.0,{'0': 3},
44,Byleth,0.0,{'0': 3},
44,Min Min,0.0,{'0': 3},
44,Steve,0.0,{'0': 2},
44,Sephiroth,0.0,{'0': 2},
44,Kazuya,0.0,{'0': 2},
44,Mii Swordsman,0.0,{'0': 1},
44,Mii Gunner,0.0,{'0': 1},
