rank,character,read_value,candidates,correct
1,Samus,237.0,{'237': 3},
2,Captain Falcon,218.0,{'218': 3},
3,Yoshi,215.0,{'215': 3},
4,Ice Climbers,209.0,{'209': 3},
5,King Dedede,208.0,{'208': 3},
6,Pokemon Trainer,201.0,{'201': 3},
7,Donkey Kong,198.0,{'198': 3},
8,Fox,196.0,{'196': 3},
9,Dr Mario,193.0,{'193': 3},
9,Terry,193.0,{'193': 3},
11,Ridley,192.0,{'192': 3},
12,Bowser Jr,191.0,{'191': 3},
13,Villager,187.0,{'187': 3},
14,Ike,181.0,{'181': 3},
15,Chrom,177.0,"{'177': 2, '7': 1}",
15,Diddy Kong,177.0,"{'177': 2, '477': 1}",
15,Ryu,177.0,"{'177': 2, '77': 1}",
18,Pyra-Mythra,175.0,{'175': 3},
19,Falco,174.0,{'174': 3},
19,Snake,174.0,{'174': 3},
19,Joker,174.0,{'174': 3},
19,Mii Brawler,174.0,{'174': 3},
23,Marth,173.0,{'173': 3},
24,Cloud,171.0,"{'171': 2, '4171': 1}",
24,Inkling,171,{'171': 3},
26,Mario,170.0,{'170': 3},
26,Sheik,170.0,{'170': 3},
28,Greninja,168.0,{'168': 3},
29,Bayonetta,167.0,{'167': 3},
29,Isabelle,167.0,{'167': 3},
31,Pit,164.0,{'164': 3},
31,Lucario,164.0,{'164': 3},
31,Incineroar,164.0,{'164': 3},
34,Roy,163.0,{'163': 3},
34,Corrin,163.0,{'163': 3},
34,King K Rool,163.0,{'163': 3},
37,Wario,162.0,{'162': 3},
38,Dark Pit,161.0,{'161': 3},
39,Rosalina and Luma,160.0,{'160': 3},
39,Palutena,160.0,{'160': 3},
41,Daisy,157.0,"{'157': 2, '187': 1}",
42,Mewtwo,156.0,{'156': 3},
42,Wolf,156.0,{'156': 3},
44,Ganondorf,155.0,{'155': 3},
45,Piranha Plant,144.0,{'144': 3},
46,Luigi,142.0,{'142': 3},
47,Jigglypuff,138.0,{'138': 3},
48,Hero,125.0,"{'125': 2, '1250': 1}",
49,Bowser,124.0,{'124': 3},
49,Little Mac,124.0,{'124': 3},
51,Peach,123.0,{'123': 3},
52,Wii Fit Trainer,109.0,{'109': 3},
53,Meta Knight,107.0,{'107': 3},
54,Zero Suit Samus,106.0,{'106': 3},
55,Shulk,96.0,{'96': 3},
56,Sora,23.0,{'23': 3},
57,Link,0.0,{'0': 1},
57,Dark Samus,0.0,{'0': 2},
57,Kirby,0.0,{'0': 2},
57,Pikachu,0.0,{'0': 2},
57,Ness,0.0,{'0': 1},
57,Zelda,0.0,{'0': 1},
57,Pichu,0.0,{'0': 1},
57,Lucina,0.0,{'0': 1},
57,Young Link,0.0,{'0': 3},
57,Mr Game and Watch,0.0,{'0': 1},
57,Lucas,0.0,{'0': 1},
57,Sonic,0.0,{'0': 2},
57,Olimar,0.0,{'0': 1},
57,ROB,0.0,{'0': 1},
57,Toon Link,0.0,{'0': 1},
57,Mega Man,0.0,{'0': 1},
57,Pac-Man,0.0,{'0': 2},
57,Robin,0.0,{'0': 1},
57,Duck Hunt,0.0,"{'0': 2, '6': 1}",
57,Ken,0.0,{'0': 1},
57,Simon,0.0,{'0': 2},
57,Richter,0.0,{'0': 2},
57,Banjo and Kazooie,0.0,{'0': 3},
57,Byleth,0.0,{'0': 4},
57,Min Min,0.0,{'0': 6},
57,Steve,0.0,{'0': 1},
57,Sephiroth,0.0,{'0': 1},
57,Kazuya,0.0,{'0': 2},
57,Mii Swordsman,0.0,{'0': 1},
57,Mii Gunner,0.0,{'0': 1},
