rank,character,read_value,candidates,correct
1,Pokemon Trainer,222.0,{'222': 3},
2,Captain Falcon,117.0,{'117': 3},
3,Fox,109.0,{'109': 3},
4,Dr Mario,101.0,{'101': 3},
5,Falco,45.0,{'45': 3},
6,Marth,36.0,{'36': 3},
7,Yoshi,35.0,{'35': 3},
8,Diddy Kong,33.0,{'33': 6},
9,Samus,28.0,{'28': 3},
9,Villager,28.0,{'28': 3},
11,Donkey Kong,26.0,{'26': 3},
12,King Dedede,23.0,{'23': 3},
12,Incineroar,23.0,{'23': 3},
14,Snake,21.0,{'21': 3},
15,Joker,18.0,{'18': 3},
15,Wolf,18.0,{'18': 3},
17,Palutena,17.0,{'17': 3},
17,Ice Climbers,17.0,{'17': 3},
19,Greninja,16.0,{'16': 3},
20,Inkling,15.0,{'15': 3},
20,Corrin,15.0,{'15': 3},
20,Terry,15.0,{'15': 3},
20,Mario,15.0,{'15': 3},
20,Sheik,15.0,{'15': 3},
25,Pyra-Mythra,14.0,{'14': 3},
25,Ike,14.0,{'14': 3},
25,Cloud,14.0,{'14': 3},
25,Mii Brawler,14.0,{'14': 3},
29,Mewtwo,13.0,{'13': 3},
30,Pit,11.0,{'11': 6},
30,Daisy,11.0,{'11': 3},
32,Bayonetta,9.0,{'9': 3},
32,Bowser Jr,9.0,{'9': 3},
32,Ridley,9.0,{'9': 3},
35,Ryu,7.0,{'7': 3},
36,Roy,6.0,{'6': 3},
36,Ganondorf,6.0,{'6': 6},
38,Chrom,5.0,{'5': 3},
38,Zero Suit Samus,5.0,{'5': 3},
40,Piranha Plant,4.0,{'4': 3},
40,Peach,4.0,{'4': 3},
42,King K Rool,3.0,{'3': 3},
42,Rosalina and Luma,3.0,{'3': 3},
42,Luigi,3.0,{'3': 6},
42,Meta Knight,3.0,{'3': 3},
42,Jigglypuff,3.0,{'3': 3},
42,Bowser,3.0,{'3': 3},
48,Wii Fit Trainer,2.0,{'2': 3},
48,Isabelle,2.0,{'2': 3},
48,Wario,2.0,{'2': 3},
48,Little Mac,2.0,{'2': 3},
48,Lucario,2.0,{'2': 3},
48,Dark Pit,2.0,{'2': 3},
48,Hero,2.0,{'2': 3},
55,Shulk,1.0,{'1': 3},
55,Sora,1.0,{'1': 3},
57,Link,0.0,{'0': 3},
57,Dark Samus,0.0,{'0': 3},
57,Kirby,0.0,{'0': 3},
57,Pikachu,0.0,{'0': 3},
57,Ness,0.0,{'0': 3},
57,Zelda,0.0,{'0': 3},
57,Pichu,0.0,{'0': 3},
57,Lucina,0.0,{'0': 3},
57,Young Link,0.0,{'0': 3},
57,Mr Game and Watch,0.0,{'0': 3},
57,Lucas,0.0,{'0': 3},
57,Sonic,0.0,{'0': 3},
57,Olimar,0.0,{'0': 3},
57,ROB,0.0,{'0': 3},
57,Toon Link,0.0,{'0': 3},
57,Mega Man,0.0,{'0': 3},
57,Pac-Man,0.0,{'0': 3},
57,Robin,0.0,{'0': 3},
57,Duck Hunt,0.0,{'0': 3},
57,Ken,0.0,{'0': 3},
57,Simon,0.0,{'0': 3},
57,Richter,0.0,{'0': 3},
57,Banjo and Kazooie,0.0,{'0': 6},
57,Byleth,0.0,{'0': 6},
57,Min Min,0.0,{'0': 3},
57,Steve,0.0,{'0': 3},
57,Sephiroth,0.0,{'0': 3},
57,Kazuya,0.0,{'0': 3},
57,Mii Swordsman,0.0,{'0': 3},
57,Mii Gunner,0.0,{'0': 3},
