rank,character,read_value,candidates,correct
1,Pokemon Trainer,26.0,{'26': 3},
2,Captain Falcon,18.0,{'18': 3},
3,Falco,13.0,{'13': 3},
4,Fox,11.0,{'11': 2},
4,Dr Mario,11.0,{'11': 2},
6,Yoshi,9.0,{'9': 1},
7,Donkey Kong,8.0,{'8': 3},
8,King Dedede,7.0,{'7': 1},
9,Villager,6.0,{'6': 3},
10,Marth,5.0,"{'9': 2, '5': 1}",
11,Ice Climbers,4.0,{'4': 3},
11,Snake,4.0,{'4': 3},
11,Palutena,4.0,{'4': 3},
14,Samus,3.0,{'3': 3},
14,Diddy Kong,3.0,{'3': 3},
14,Greninja,3.0,{'3': 3},
14,Corrin,3.0,{'3': 3},
14,Incineroar,3.0,{'3': 3},
14,Joker,3.0,{'3': 3},
14,Terry,3.0,{'3': 3},
21,Mario,2.0,{'2': 3},
21,Daisy,2.0,{'2': 3},
21,Sheik,2.0,{'2': 6},
21,Ganondorf,2.0,{'2': 3},
21,Mewtwo,2.0,{'2': 3},
21,Roy,2.0,{'2': 3},
21,Chrom,2.0,{'2': 3},
21,Pit,2.0,{'2': 3},
21,Ike,2.0,{'2': 3},
21,Wolf,2.0,{'2': 6},
21,Bowser Jr,2.0,{'2': 3},
21,Inkling,2.0,{'2': 3},
21,King K Rool,2.0,{'2': 3},
21,Pyra-Mythra,2.0,{'2': 3},
35,Luigi,1.0,{'1': 3},
35,Jigglypuff,1.0,{'1': 3},
35,Meta Knight,1.0,{'1': 6},
35,Dark Pit,1.0,{'1': 3},
35,Wario,1.0,{'1': 3},
35,Lucario,1.0,{'1': 3},
35,Rosalina and Luma,1.0,{'1': 3},
35,Cloud,1.0,{'1': 3},
35,Isabelle,1.0,{'1': 3},
35,Hero,1.0,{'1': 3},
35,Sora,1.0,{'1': 3},
35,Mii Brawler,1.0,{'1': 3},
47,Peach,0.0,{'0': 2},
47,Bowser,0.0,{'0': 2},
47,Zero Suit Samus,0.0,{'0': 2},
47,Wii Fit Trainer,0.0,{'0': 1},
47,Little Mac,0.0,{'0': 2},
47,Shulk,0.0,{'0': 2},
47,Ryu,0.0,{'0': 2},
47,Bayonetta,0.0,{'0': 1},
47,Ridley,0.0,{'0': 2},
47,Piranha Plant,0.0,{'0': 2},
47,Link,0.0,{'0': 2},
47,Dark Samus,0.0,{'0': 2},
47,Kirby,0.0,{'0': 3},
47,Pikachu,0.0,{'0': 1},
47,Ness,0.0,{'0': 2},
47,Zelda,0.0,{'0': 2},
47,Pichu,0.0,{'0': 1},
47,Lucina,0.0,{'0': 2},
47,Young Link,0.0,{'0': 1},
47,Mr Game and Watch,0.0,{'0': 4},
47,Lucas,0.0,{'0': 2},
47,Sonic,0.0,{'0': 1},
47,Olimar,0.0,{'0': 1},
47,ROB,0.0,{'0': 2},
47,Toon Link,0.0,{'0': 1},
47,Mega Man,0.0,{'0': 1},
47,Pac-Man,0.0,{'0': 2},
47,Robin,0.0,{'0': 2},
47,Duck Hunt,0.0,{'0': 1},
47,Ken,0.0,{'0': 2},
47,Simon,0.0,{'0': 2},
47,Richter,0.0,{'0': 2},
47,Banjo and Kazooie,0.0,{'0': 3},
47,Byleth,0.0,{'0': 4},
47,Min Min,0.0,{'0': 1},
47,Steve,0.0,{'0': 1},
47,Sephiroth,0.0,{'0': 1},
47,Kazuya,0.0,{'0': 2},
47,Mii Swordsman,0.0,{'0': 1},
47,Mii Gunner,0.0,{'0': 1},
