rank,character,read_value,candidates,correct
1,Captain Falcon,91868.0,{'91868': 1},
2,Falco,58765.0,"{'98765': 2, '58765': 1}",
3,Bowser,45066.0,{'45066': 3},
4,Marth,37068.0,{'37068': 3},
5,Kirby,33713.0,{'33713': 3},
6,Ike,25661.0,{'25661': 3},
7,Ganondorf,16774.0,{'16774': 6},
8,Sheik,14881.0,{'14881': 6},
9,Joker,12299.0,{'12299': 3},
10,Roy,12243.0,{'12243': 3},
11,Donkey Kong,11485.0,{'11485': 3},
12,Jigglypuff,11399.0,{'11399': 3},
13,Byleth,9195.0,{'9195': 3},
14,Wolf,9001.0,{'9001': 3},
15,Samus,8576.0,{'8576': 3},
16,Daisy,7766.0,"{'7766': 2, '1166': 1}",
17,Young Link,4504.0,{'4504': 3},
18,Ridley,3986.0,{'3986': 3},
19,Hero,3748.0,{'3748': 3},
20,Meta Knight,3562.0,{'3562': 3},
21,Dark Samus,2681.0,{'2681': 3},
22,Dr Mario,1877.0,{'1877': 3},
23,Piranha Plant,1872.0,{'1872': 3},
24,Corrin,1726.0,{'1726': 3},
25,Yoshi,1662.0,{'1662': 3},
26,Chrom,1574.0,{'1574': 3},
27,Kazuya,1517.0,{'1517': 3},
28,ROB,1338.0,{'1338': 6},
29,Zelda,1296.0,{'1296': 3},
30,Lucario,1166.0,{'1166': 3},
31,Ice Climbers,1165.0,{'1165': 3},
32,Banjo and Kazooie,1146.0,{'1146': 3},
33,Terry,928.0,{'928': 3},
34,Mega Man,896.0,{'896': 3},
35,Ken,805.0,{'805': 6},
36,Dark Pit,776.0,"{'776': 2, '176': 1}",
37,Pichu,721.0,{'721': 3},
38,Greninja,663.0,{'663': 3},
39,Palutena,631.0,{'631': 3},
40,Inkling,618.0,{'618': 3},
41,Incineroar,601.0,{'601': 3},
42,Ness,564.0,{'564': 3},
43,Fox,522.0,"{'222': 2, '522': 1}",
44,Sonic,508.0,{'508': 3},
45,Isabelle,476.0,{'476': 3},
46,Pit,465.0,{'465': 3},
47,Robin,446.0,{'446': 3},
48,Villager,438.0,{'438': 3},
49,King Dedede,418.0,{'418': 3},
50,Peach,405.0,{'405': 3},
51,Olimar,377.0,{'377': 3},
52,Mewtwo,350.0,{'350': 3},
53,Mii Gunner,332.0,{'332': 3},
54,Wario,322.0,{'322': 3},
55,King K Rool,259.0,{'259': 3},
56,Lucina,254.0,{'254': 3},
57,Mr Game and Watch,246.0,{'246': 6},
58,Snake,198.0,{'198': 3},
59,Luigi,193.0,{'193': 3},
60,Lucas,163.0,{'163': 3},
61,Mario,0.0,{'0': 1},
61,Link,0.0,{'0': 2},
61,Pikachu,0.0,{'0': 3},
61,Zero Suit Samus,0.0,{'0': 2},
61,Pokemon Trainer,0.0,{'0': 1},
61,Diddy Kong,0.0,{'0': 2},
61,Toon Link,0.0,{'0': 2},
61,Wii Fit Trainer,0.0,{'0': 2},
61,Rosalina and Luma,0.0,{'0': 3},
61,Little Mac,0.0,"{'0': 1, '5': 1}",
61,Pac-Man,0.0,{'0': 2},
61,Shulk,0.0,{'0': 2},
61,Bowser Jr,0.0,"{'0': 1, '6': 1}",
61,Duck Hunt,0.0,{'0': 1},
61,Ryu,0.0,{'0': 2},
61,Cloud,0.0,{'0': 2},
61,Bayonetta,0.0,{'0': 1},
61,Simon,0.0,{'0': 1},
61,Richter,0.0,"{'0': 4, '3': 1}",
61,Min Min,0.0,{'0': 3},
61,Steve,0.0,{'0': 3},
61,Sephiroth,0.0,{'0': 4},
61,Pyra-Mythra,0.0,{'0': 3},
61,Sora,0.0,{'0': 4},
61,Mii Brawler,0.0,{'0': 2},
61,Mii Swordsman,0.0,{'0': 3},
