rank,character,read_value,candidates,correct
1,Hero,83.0,{'83': 3},
2,Bowser,68.0,{'68': 3},
3,Kirby,47.0,{'47': 3},
4,Marth,13.0,{'13': 3},
5,Jigglypuff,6.0,{'6': 3},
5,Young Link,6.0,{'6': 3},
7,Ness,5.0,"{'9': 4, '5': 2}",
8,Yoshi,3.0,{'3': 6},
8,Captain Falcon,3.0,{'3': 3},
10,Wario,1.0,{'1': 3},
11,Donkey Kong,0.0,{'0': 1},
11,Samus,0.0,{'0': 2},
11,Dark Samus,0.0,{'0': 2},
11,Fox,0.0,{'0': 1},
11,Luigi,0.0,{'0': 2},
11,Peach,0.0,{'0': 2},
11,Daisy,0.0,{'0': 2},
11,Ice Climbers,0.0,{'0': 3},
11,Sheik,0.0,{'0': 3},
11,Zelda,0.0,{'0': 3},
11,Dr Mario,0.0,{'0': 2},
11,Pichu,0.0,{'0': 1},
11,Falco,0.0,{'0': 2},
11,Lucina,0.0,{'0': 1},
11,Ganondorf,0.0,{'0': 2},
11,Mewtwo,0.0,{'0': 1},
11,Roy,0.0,{'0': 2},
11,Chrom,0.0,{'0': 2},
11,Mr Game and Watch,0.0,{'0': 1},
11,Meta Knight,0.0,{'0': 2},
11,Pit,0.0,{'0': 1},
11,Dark Pit,0.0,{'0': 2},
11,Snake,0.0,{'0': 3},
11,Ike,0.0,{'0': 1},
11,Lucas,0.0,{'0': 1},
11,Sonic,0.0,{'0': 1},
11,King Dedede,0.0,{'0': 2},
11,Olimar,0.0,{'0': 2},
11,Lucario,0.0,{'0': 1},
11,ROB,0.0,{'0': 1},
11,Sephiroth,0.0,{'0': 5},
11,Villager,0.0,{'0': 1},
11,Mega Man,0.0,{'0': 4},
11,Greninja,0.0,{'0': 1},
11,Palutena,0.0,{'0': 2},
11,Robin,0.0,{'0': 1},
11,Ken,0.0,{'0': 2},
11,Corrin,0.0,{'0': 1},
11,Inkling,0.0,"{'0': 1, '6': 1}",
11,Ridley,0.0,{'0': 2},
11,King K Rool,0.0,{'0': 2},
11,Isabelle,0.0,{'0': 2},
11,Incineroar,0.0,{'0': 2},
11,Piranha Plant,0.0,{'0': 2},
11,Joker,0.0,{'0': 1},
11,Banjo and Kazooie,0.0,{'0': 1},
11,Terry,0.0,{'0': 2},
11,Byleth,0.0,{'0': 2},
11,Kazuya,0.0,{'0': 2},
11,Mii Gunner,0.0,{'0': 1},
11,Mario,0.0,{'0': 3},
11,Link,0.0,{'0': 2},
11,Pikachu,0.0,{'0': 2},
11,Zero Suit Samus,0.0,{'0': 1},
11,Pokemon Trainer,0.0,{'0': 1},
11,Diddy Kong,0.0,{'0': 1},
11,Toon Link,0.0,{'0': 1},
11,Wii Fit Trainer,0.0,{'0': 2},
11,Rosalina and Luma,0.0,{'0': 1},
11,Little Mac,0.0,{'0': 1},
11,Pac-Man,0.0,{'0': 1},
11,Shulk,0.0,{'0': 2},
11,Bowser Jr,0.0,{'0': 2},
11,Duck Hunt,0.0,{'0': 2},
11,Ryu,0.0,{'0': 1},
11,Cloud,0.0,{'0': 2},
11,Bayonetta,0.0,{'0': 1},
11,Simon,0.0,{'0': 1},
11,Richter,0.0,{'0': 4},
11,Min Min,0.0,{'0': 3},
11,Steve,0.0,{'0': 5},
11,Pyra-Mythra,0.0,{'0': 4},
11,Sora,0.0,{'0': 5},
11,Mii Brawler,0.0,{'0': 3},
11,Mii Swordsman,0.0,{'0': 2},
