rank,character,read_value,candidates,correct
1,Captain Falcon,66191.0,{'66191': 1},
2,Falco,35942.0,{'35942': 3},
3,Kirby,23211.0,{'23211': 3},
4,Bowser,22696.0,{'22696': 3},
5,Marth,21905.0,{'21905': 3},
6,Sheik,12764.0,{'12764': 3},
7,Ike,10791.0,{'10791': 6},
8,Ganondorf,8322.0,{'8322': 6},
9,Joker,7796.0,"{'7796': 2, '1796': 1}",
10,Roy,7549.0,{'7549': 3},
11,Wolf,5910.0,"{'9910': 2, '5910': 1}",
12,Donkey Kong,5895.0,"{'9895': 2, '5895': 1}",
13,Jigglypuff,4583.0,{'4583': 3},
14,Byleth,4236.0,{'4236': 3},
15,Daisy,3638.0,{'3638': 3},
16,Samus,3573.0,{'3573': 3},
17,Meta Knight,2712.0,{'2712': 3},
18,Ridley,2430.0,{'2430': 3},
19,Hero,1708.0,{'1708': 3},
20,Young Link,1619.0,{'1619': 3},
21,Dark Samus,1254.0,{'1254': 3},
22,Yoshi,1214.0,{'1214': 3},
23,Lucario,1047.0,{'1047': 3},
24,Zelda,1042.0,{'1042': 3},
25,Dr Mario,983.0,{'983': 3},
26,Ice Climbers,927.0,{'927': 3},
27,Ken,919.0,{'919': 3},
27,Kazuya,919.0,{'919': 3},
29,Chrom,911.0,{'911': 3},
30,Banjo and Kazooie,862.0,{'862': 3},
31,Piranha Plant,727.0,"{'27': 2, '727': 1}",
32,Corrin,666.0,{'666': 3},
33,Pichu,634.0,{'634': 3},
34,Incineroar,622.0,{'622': 3},
35,Fox,606.0,{'606': 3},
36,Dark Pit,590.0,{'590': 3},
37,Greninja,581.0,"{'81': 2, '581': 1}",
38,Pit,570.0,"{'570': 2, '870': 1}",
39,Inkling,565.0,{'565': 3},
40,Robin,529.0,{'529': 3},
41,Mega Man,476.0,{'476': 3},
42,Terry,468.0,{'468': 3},
43,ROB,459.0,{'459': 3},
44,Sonic,380.0,{'380': 3},
45,Wario,368.0,{'368': 3},
46,Palutena,351.0,{'351': 3},
47,Mr Game and Watch,319.0,{'319': 3},
48,Isabelle,302.0,{'302': 3},
49,Ness,285.0,{'285': 3},
50,King Dedede,251.0,{'251': 3},
51,Olimar,216.0,{'216': 3},
52,Peach,180.0,{'180': 3},
53,Mii Gunner,174.0,{'174': 3},
54,Mewtwo,152.0,{'152': 3},
55,Lucas,138.0,{'138': 3},
56,King K Rool,136.0,{'136': 3},
57,Luigi,104.0,{'104': 3},
58,Villager,98.0,{'98': 3},
59,Lucina,88.0,{'88': 3},
60,Snake,65.0,{'65': 3},
61,Mario,0.0,{'0': 1},
61,Link,0.0,{'0': 2},
61,Pikachu,0.0,{'0': 1},
61,Zero Suit Samus,0.0,{'0': 2},
61,Pokemon Trainer,0.0,{'0': 1},
61,Diddy Kong,0.0,{'0': 2},
61,Toon Link,0.0,{'0': 2},
61,Wii Fit Trainer,0.0,{'0': 2},
61,Rosalina and Luma,0.0,{'0': 2},
61,Little Mac,0.0,{'0': 2},
61,Pac-Man,0.0,{'0': 2},
61,Shulk,0.0,{'0': 1},
61,Bowser Jr,0.0,{'0': 1},
61,Duck Hunt,0.0,{'0': 1},
61,Ryu,0.0,{'0': 3},
61,Cloud,0.0,{'0': 2},
61,Bayonetta,0.0,{'0': 1},
61,Simon,0.0,{'0': 2},
61,Richter,0.0,{'0': 3},
61,Min Min,0.0,{'0': 3},
61,Steve,0.0,{'0': 2},
61,Sephiroth,0.0,{'0': 3},
61,Pyra-Mythra,0.0,{'0': 1},
61,Sora,0.0,{'0': 2},
61,Mii Brawler,0.0,{'0': 2},
61,Mii Swordsman,0.0,{'0': 1},
