rank,character,read_value,candidates,correct
1,King Dedede,6.0,{'6.0': 3},
2,Mewtwo,4.0,{'4.0': 3},
2,King K Rool,4.0,{'4.0': 3},
4,Ike,3.36,{'3.36': 3},
4,Hero,3.36,{'3.36': 3},
6,Chrom,3.25,{'3.25': 6},
7,Ganondorf,3.08,{'3.08': 6},
8,Dark Pit,3.0,{'3.0': 6},
8,Greninja,3.0,{'3.0': 3},
8,Palutena,3.0,{'3.0': 3},
8,Piranha Plant,3.0,{'3.0': 3},
12,Joker,2.95,{'2.95': 3},
13,Bowser,2.91,{'2.91': 6},
14,Byleth,2.86,{'2.86': 3},
15,Jigglypuff,2.83,{'2.83': 3},
16,Samus,2.76,{'2.76': 3},
17,Ridley,2.69,{'2.69': 3},
18,Mega Man,2.66,{'2.66': 3},
19,Yoshi,2.6,{'2.6': 3},
19,Dr Mario,2.6,{'2.6': 6},
21,Kirby,2.56,{'2.56': 3},
21,Marth,2.56,{'2.56': 3},
23,Pichu,2.5,{'2.5': 3},
24,Captain Falcon,2.45,{'2.45': 3},
24,Meta Knight,2.45,{'2.45': 3},
26,Roy,2.44,{'2.44': 3},
27,Donkey Kong,2.38,{'2.38': 6},
28,Ness,2.33,{'2.33': 3},
28,Incineroar,2.33,{'2.33': 3},
30,Wolf,2.29,{'2.29': 3},
31,Falco,2.25,"{'2.25': 2, '22.5': 1}",
31,Lucario,2.25,{'2.25': 3},
33,Daisy,2.21,{'2.21': 3},
34,Young Link,2.16,{'2.16': 6},
35,Dark Samus,2.0,{'2.0': 3},
35,Peach,2.0,{'2.0': 3},
35,Mr Game and Watch,2.0,{'2.0': 3},
35,Wario,2.0,{'2.0': 3},
35,Sonic,2.0,{'2.0': 3},
35,Villager,2.0,{'2.0': 3},
35,Inkling,2.0,{'2.0': 6},
35,Isabelle,2.0,{'2.0': 3},
43,Corrin,1.83,{'1.83': 3},
44,Ice Climbers,1.8,{'1.8': 3},
44,Sheik,1.8,{'1.8': 3},
46,ROB,1.75,"{'1.75': 2, '0.75': 1}",
46,Banjo and Kazooie,1.75,"{'1.75': 2, '0.75': 1}",
48,Zelda,1.66,{'1.66': 6},
49,Pit,1.5,{'1.5': 3},
50,Lucina,1.0,{'1.0': 3},
50,Snake,1.0,{'1.0': 3},
50,Lucas,1.0,{'1.0': 3},
50,Olimar,1.0,{'1.0': 3},
50,Robin,1.0,{'1.0': 3},
50,Kazuya,1.0,{'1.0': 6},
56,Fox,0.66,{'0.66': 3},
56,Ken,0.66,{'0.66': 3},
56,Terry,0.66,{'0.66': 3},
59,Luigi,0.0,{'0.0': 3},
59,Mii Gunner,0.0,{'0.0': 3},
59,Mario,0.0,{'0.0': 3},
59,Link,0.0,{'0.0': 6},
59,Pikachu,0.0,{'0.0': 3},
59,Zero Suit Samus,0.0,{'0.0': 3},
59,Pokemon Trainer,0.0,{'0.0': 3},
59,Diddy Kong,0.0,{'0.0': 3},
59,Toon Link,0.0,{'0.0': 3},
59,Wii Fit Trainer,0.0,{'0.0': 3},
59,Rosalina and Luma,0.0,{'0.0': 3},
59,Little Mac,0.0,{'0.0': 3},
59,Pac-Man,0.0,{'0.0': 3},
59,Shulk,0.0,{'0.0': 3},
59,Bowser Jr,0.0,{'0.0': 3},
59,Duck Hunt,0.0,{'0.0': 3},
59,Ryu,0.0,{'0.0': 3},
59,Cloud,0.0,{'0.0': 3},
59,Bayonetta,0.0,{'0.0': 3},
59,Simon,0.0,{'0.0': 3},
59,Richter,0.0,{'0.0': 6},
59,Min Min,0.0,{'0.0': 6},
59,Steve,0.0,{'0.0': 6},
59,Sephiroth,0.0,{'0.0': 6},
59,Pyra-Mythra,0.0,{'0.0': 6},
59,Sora,0.0,{'0.0': 3},
59,Mii Brawler,0.0,{'0.0': 3},
59,Mii Swordsman,0.0,{'0.0': 3},
