rank,character,read_value,candidates,correct
1,Marth,7.0,{'7': 3},
2,Donkey Kong,5.0,{'5': 1},
3,Bowser,4.0,{'4': 3},
4,Daisy,3.0,{'3': 3},
4,Young Link,3.0,{'3': 3},
4,Villager,3.0,{'3': 3},
4,Joker,3.0,{'3': 6},
8,Samus,1.0,{'1': 6},
8,Ness,1.0,{'1': 3},
8,Sheik,1.0,{'1': 3},
8,Falco,1.0,{'1': 3},
8,Chrom,1.0,{'1': 3},
8,Olimar,1.0,{'1': 3},
8,Hero,1.0,{'1': 6},
15,Dark Samus,0.0,{'0': 1},
15,Yoshi,0.0,{'0': 2},
15,Kirby,0.0,{'0': 2},
15,Fox,0.0,{'0': 2},
15,Luigi,0.0,{'0': 1},
15,Captain Falcon,0.0,{'0': 1},
15,Jigglypuff,0.0,{'0': 2},
15,Peach,0.0,{'0': 3},
15,Ice Climbers,0.0,{'0': 2},
15,Zelda,0.0,{'0': 2},
15,Dr Mario,0.0,{'0': 2},
15,Pichu,0.0,{'0': 1},
15,Lucina,0.0,{'0': 1},
15,Ganondorf,0.0,{'0': 2},
15,Mewtwo,0.0,{'0': 2},
15,Roy,0.0,{'0': 1},
15,Mr Game and Watch,0.0,{'0': 1},
15,Meta Knight,0.0,{'0': 2},
15,Pit,0.0,{'0': 3},
15,Dark Pit,0.0,{'0': 2},
15,Wario,0.0,{'0': 3},
15,Snake,0.0,{'0': 2},
15,Ike,0.0,{'0': 2},
15,Lucas,0.0,{'0': 1},
15,Sonic,0.0,{'0': 2},
15,King Dedede,0.0,{'0': 2},
15,Lucario,0.0,{'0': 1},
15,ROB,0.0,{'0': 3},
15,Sephiroth,0.0,{'0': 8},
15,Mega Man,0.0,{'0': 1},
15,Greninja,0.0,{'0': 2},
15,Palutena,0.0,{'0': 1},
15,Robin,0.0,{'0': 2},
15,Ken,0.0,{'0': 2},
15,Corrin,0.0,{'0': 2},
15,Inkling,0.0,{'0': 2},
15,Ridley,0.0,{'0': 2},
15,King K Rool,0.0,{'0': 2},
15,Isabelle,0.0,{'0': 2},
15,Incineroar,0.0,{'0': 3},
15,Piranha Plant,0.0,{'0': 3},
15,Banjo and Kazooie,0.0,{'0': 2},
15,Terry,0.0,{'0': 1},
15,Byleth,0.0,{'0': 2},
15,Kazuya,0.0,{'0': 2},
15,Mii Gunner,0.0,{'0': 2},
15,Mario,0.0,{'0': 2},
15,Link,0.0,{'0': 3},
15,Pikachu,0.0,{'0': 2},
15,Zero Suit Samus,0.0,{'0': 2},
15,Pokemon Trainer,0.0,{'0': 1},
15,Diddy Kong,0.0,{'0': 2},
15,Toon Link,0.0,{'0': 1},
15,Wii Fit Trainer,0.0,{'0': 2},
15,Rosalina and Luma,0.0,{'0': 2},
15,Little Mac,0.0,{'0': 1},
15,Pac-Man,0.0,{'0': 2},
15,Shulk,0.0,{'0': 1},
15,Bowser Jr,0.0,{'0': 1},
15,Duck Hunt,0.0,{'0': 1},
15,Ryu,0.0,{'0': 2},
15,Cloud,0.0,{'0': 1},
15,Bayonetta,0.0,"{'0': 1, '6': 1}",
15,Simon,0.0,{'0': 1},
15,Richter,0.0,{'0': 3},
15,Min Min,0.0,{'0': 2},
15,Steve,0.0,{'0': 4},
15,Pyra-Mythra,0.0,{'0': 4},
15,Sora,0.0,"{'0': 3, '8': 1}",
15,Mii Brawler,0.0,{'0': 2},
15,Mii Swordsman,0.0,{'0': 2},
