rank,character,read_value,candidates,correct
1,Captain Falcon,25.0,{'25': 3},
2,Kirby,23.0,{'23': 3},
3,Ike,14.0,{'14': 3},
4,Ganondorf,7.0,{'7': 3},
4,Roy,7.0,{'7': 3},
4,Joker,7.0,{'7': 3},
7,Bowser,6.0,{'6': 6},
7,Hero,6.0,{'6': 6},
9,Marth,5.0,"{'9': 2, '5': 1}",
9,Wolf,5.0,"{'9': 2, '5': 1}",
11,Samus,4.0,{'4': 3},
11,Jigglypuff,4.0,{'4': 3},
11,Falco,4.0,{'4': 3},
14,Young Link,3.0,{'3': 3},
14,Ridley,3.0,{'3': 3},
14,Kazuya,3.0,{'3': 3},
17,Donkey Kong,2.0,{'2': 3},
17,Yoshi,2.0,{'2': 3},
17,Sheik,2.0,{'2': 3},
17,Piranha Plant,2.0,{'2': 3},
21,Dark Samus,1.0,{'1': 6},
21,Ness,1.0,{'1': 3},
21,Ice Climbers,1.0,{'1': 3},
21,Zelda,1.0,{'1': 3},
21,Mr Game and Watch,1.0,{'1': 3},
21,Meta Knight,1.0,{'1': 3},
21,Wario,1.0,{'1': 3},
21,King Dedede,1.0,{'1': 3},
21,Lucario,1.0,{'1': 3},
30,Fox,0.0,{'0': 2},
30,Luigi,0.0,{'0': 2},
30,Peach,0.0,{'0': 2},
30,Daisy,0.0,{'0': 3},
30,Dr Mario,0.0,{'0': 2},
30,Pichu,0.0,{'0': 1},
30,Lucina,0.0,{'0': 2},
30,Mewtwo,0.0,{'0': 1},
30,Chrom,0.0,{'0': 1},
30,Pit,0.0,{'0': 2},
30,Dark Pit,0.0,{'0': 3},
30,Snake,0.0,{'0': 2},
30,Lucas,0.0,{'0': 3},
30,Sonic,0.0,{'0': 3},
30,Olimar,0.0,{'0': 2},
30,ROB,0.0,{'0': 2},
30,Villager,0.0,{'0': 2},
30,Mega Man,0.0,{'0': 2},
30,Greninja,0.0,{'0': 1},
30,Palutena,0.0,{'0': 1},
30,Robin,0.0,{'0': 2},
30,Ken,0.0,{'0': 1},
30,Corrin,0.0,{'0': 2},
30,Inkling,0.0,{'0': 1},
30,King K Rool,0.0,{'0': 2},
30,Isabelle,0.0,{'0': 2},
30,Incineroar,0.0,{'0': 2},
30,Banjo and Kazooie,0.0,{'0': 2},
30,Terry,0.0,{'0': 2},
30,Byleth,0.0,{'0': 3},
30,Mii Gunner,0.0,{'0': 2},
30,Mario,0.0,{'0': 2},
30,Link,0.0,{'0': 3},
30,Pikachu,0.0,{'0': 3},
30,Zero Suit Samus,0.0,{'0': 1},
30,Pokemon Trainer,0.0,{'0': 4},
30,Diddy Kong,0.0,{'0': 1},
30,Toon Link,0.0,{'0': 1},
30,Wii Fit Trainer,0.0,{'0': 2},
30,Rosalina and Luma,0.0,{'0': 2},
30,Little Mac,0.0,{'0': 1},
30,Pac-Man,0.0,{'0': 1},
30,Shulk,0.0,{'0': 3},
30,Bowser Jr,0.0,{'0': 1},
30,Duck Hunt,0.0,{'0': 2},
30,Ryu,0.0,{'0': 3},
30,Cloud,0.0,{'0': 2},
30,Bayonetta,0.0,{'0': 2},
30,Simon,0.0,{'0': 1},
30,Richter,0.0,{'0': 3},
30,Min Min,0.0,{'0': 2},
30,Steve,0.0,"{'0': 3, '4': 1}",
30,Sephiroth,0.0,{'0': 3},
30,Pyra-Mythra,0.0,{'0': 4},
30,Sora,0.0,{'0': 6},
30,Mii Brawler,0.0,{'0': 2},
30,Mii Swordsman,0.0,{'0': 5},
