rank,character,read_value,candidates,correct
1,Bowser,99.0,{'99': 3},
2,Falco,72.0,"{'2': 2, '72': 1}",
3,Kirby,66.0,{'66': 3},
4,Marth,59.0,"{'99': 2, '59': 1}",
5,Ike,43.0,{'43': 3},
6,Captain Falcon,41.0,"{'41': 5, '4': 1}",
7,Ganondorf,38.0,{'38': 6},
8,Roy,31.0,{'31': 6},
9,Joker,27.0,{'27': 3},
10,Sheik,24.0,{'24': 3},
11,Wolf,22.0,{'22': 3},
11,Byleth,22.0,{'22': 3},
13,Donkey Kong,12.0,{'12': 6},
14,Jigglypuff,10.0,{'10': 3},
15,Daisy,9.0,{'9': 2},
15,Hero,9.0,{'9': 2},
17,Ice Climbers,7.0,{'7': 3},
18,Samus,6.0,{'6': 3},
18,Young Link,6.0,{'6': 3},
20,Dark Samus,5.0,"{'2': 2, '5': 1}",
21,Ridley,4.0,{'4': 3},
22,Chrom,3.0,{'3': 3},
22,Meta Knight,3.0,{'3': 3},
22,Greninja,3.0,{'3': 3},
22,Corrin,3.0,{'3': 3},
22,Piranha Plant,3.0,{'3': 3},
22,Banjo and Kazooie,3.0,{'3': 3},
28,Yoshi,2.0,{'2': 3},
28,Fox,2.0,{'2': 3},
28,Zelda,2.0,{'2': 3},
28,Dr Mario,2.0,{'2': 3},
28,Pit,2.0,{'2': 3},
28,Mega Man,2.0,{'2': 3},
28,Isabelle,2.0,{'2': 3},
35,Peach,1.0,{'1': 3},
35,Pichu,1.0,{'1': 3},
35,Dark Pit,1.0,{'1': 3},
35,Lucario,1.0,{'1': 3},
35,ROB,1.0,{'1': 3},
35,Robin,1.0,{'1': 3},
35,Kazuya,1.0,{'1': 3},
42,Luigi,0.0,{'0': 1},
42,Ness,0.0,{'0': 2},
42,Lucina,0.0,{'0': 1},
42,Mewtwo,0.0,{'0': 3},
42,Mr Game and Watch,0.0,{'0': 2},
42,Wario,0.0,{'0': 1},
42,Snake,0.0,{'0': 3},
42,Lucas,0.0,{'0': 2},
42,Sonic,0.0,{'0': 2},
42,King Dedede,0.0,{'0': 1},
42,Olimar,0.0,{'0': 2},
42,Villager,0.0,{'0': 2},
42,Palutena,0.0,{'0': 1},
42,Ken,0.0,{'0': 1},
42,Inkling,0.0,{'0': 2},
42,King K Rool,0.0,{'0': 2},
42,Incineroar,0.0,{'0': 2},
42,Terry,0.0,{'0': 2},
42,Mii Gunner,0.0,{'0': 3},
42,Mario,0.0,{'0': 2},
42,Link,0.0,{'0': 1},
42,Pikachu,0.0,{'0': 2},
42,Zero Suit Samus,0.0,{'0': 2},
42,Pokemon Trainer,0.0,{'0': 2},
42,Diddy Kong,0.0,{'0': 1},
42,Toon Link,0.0,{'0': 2},
42,Wii Fit Trainer,0.0,{'0': 2},
42,Rosalina and Luma,0.0,{'0': 2},
42,Little Mac,0.0,{'0': 2},
42,Pac-Man,0.0,{'0': 1},
42,Shulk,0.0,{'0': 2},
42,Bowser Jr,0.0,{'0': 2},
42,Duck Hunt,0.0,{'0': 3},
42,Ryu,0.0,{'0': 2},
42,Cloud,0.0,{'0': 2},
42,Bayonetta,0.0,{'0': 1},
42,Simon,0.0,{'0': 1},
42,Richter,0.0,{'0': 2},
42,Min Min,0.0,{'0': 3},
42,Steve,0.0,{'0': 3},
42,Sephiroth,0.0,{'0': 3},
42,Pyra-Mythra,0.0,{'0': 3},
42,Sora,0.0,{'0': 3},
42,Mii Brawler,0.0,{'0': 3},
42,Mii Swordsman,0.0,{'0': 1},
