rank,character,read_value,candidates,correct
1,Captain Falcon,112.0,"{'112': 2, '12': 1}",
2,Falco,91.0,"{'91': 2, '1': 1}",
3,Bowser,53.0,{'53': 3},
4,Kirby,48.0,{'48': 3},
5,Marth,37.0,{'37': 3},
6,Sheik,33.0,"{'33': 2, '35': 1}",
7,Ganondorf,27.0,{'27': 6},
8,Donkey Kong,16.0,{'16': 6},
9,Ike,13.0,{'13': 3},
10,Daisy,11.0,{'11': 2},
11,Wolf,10.0,{'10': 3},
12,Jigglypuff,9.0,"{'9': 1, '2': 1}",
12,Roy,9.0,"{'9': 1, '2': 1}",
12,Byleth,9.0,{'9': 1},
15,Joker,7.0,{'7': 3},
16,Young Link,6.0,{'6': 3},
16,Meta Knight,6.0,{'6': 3},
18,Corrin,5.0,{'5': 1},
19,Zelda,4.0,{'4': 3},
19,Ridley,4.0,{'4': 3},
21,Samus,3.0,{'3': 3},
21,Dark Samus,3.0,{'3': 3},
21,Ice Climbers,3.0,{'3': 3},
21,Ken,3.0,{'3': 3},
21,Hero,3.0,{'3': 3},
21,Banjo and Kazooie,3.0,{'3': 3},
21,Kazuya,3.0,{'3': 6},
28,Fox,2.0,{'2': 3},
28,Ness,2.0,{'2': 3},
28,Chrom,2.0,{'2': 3},
28,Pit,2.0,{'2': 3},
28,ROB,2.0,{'2': 3},
28,Robin,2.0,{'2': 3},
34,Yoshi,1.0,{'1': 3},
34,Luigi,1.0,{'1': 3},
34,Dr Mario,1.0,{'1': 3},
34,Pichu,1.0,{'1': 3},
34,Lucina,1.0,{'1': 3},
34,Wario,1.0,{'1': 3},
34,Snake,1.0,{'1': 3},
34,Lucas,1.0,{'1': 3},
34,Lucario,1.0,{'1': 3},
34,Mega Man,1.0,{'1': 3},
34,Inkling,1.0,{'1': 3},
34,Incineroar,1.0,{'1': 3},
34,Mii Gunner,1.0,{'1': 3},
47,Peach,0.0,{'0': 2},
47,Mewtwo,0.0,{'0': 2},
47,Mr Game and Watch,0.0,{'0': 2},
47,Dark Pit,0.0,{'0': 1},
47,Sonic,0.0,{'0': 1},
47,King Dedede,0.0,{'0': 1},
47,Olimar,0.0,{'0': 2},
47,Villager,0.0,{'0': 2},
47,Greninja,0.0,{'0': 2},
47,Palutena,0.0,{'0': 3},
47,King K Rool,0.0,{'0': 2},
47,Isabelle,0.0,{'0': 3},
47,Piranha Plant,0.0,{'0': 2},
47,Terry,0.0,{'0': 2},
47,Mario,0.0,{'0': 2},
47,Link,0.0,{'0': 2},
47,Pikachu,0.0,{'0': 3},
47,Zero Suit Samus,0.0,{'0': 2},
47,Pokemon Trainer,0.0,{'0': 1},
47,Diddy Kong,0.0,{'0': 1},
47,Toon Link,0.0,{'0': 2},
47,Wii Fit Trainer,0.0,{'0': 2},
47,Rosalina and Luma,0.0,{'0': 1},
47,Little Mac,0.0,{'0': 3},
47,Pac-Man,0.0,{'0': 3},
47,Shulk,0.0,{'0': 2},
47,Bowser Jr,0.0,{'0': 2},
47,Duck Hunt,0.0,{'0': 2},
47,Ryu,0.0,{'0': 2},
47,Cloud,0.0,{'0': 1},
47,Bayonetta,0.0,{'0': 2},
47,Simon,0.0,{'0': 1},
47,Richter,0.0,{'0': 3},
47,Min Min,0.0,{'0': 3},
47,Steve,0.0,{'0': 5},
47,Sephiroth,0.0,{'0': 5},
47,Pyra-Mythra,0.0,{'0': 4},
47,Sora,0.0,{'0': 4},
47,Mii Brawler,0.0,{'0': 1},
47,Mii Swordsman,0.0,{'0': 1},
