rank,character,read_value,candidates,correct
1,King Dedede,100.0,{'100.0': 3},
1,King K Rool,100.0,{'100.0': 3},
3,Dr Mario,80.0,{'80.0': 3},
4,Piranha Plant,60.0,{'60.0': 3},
5,Pichu,50.0,{'50.0': 3},
5,Greninja,50.0,{'50.0': 3},
5,Palutena,50.0,{'50.0': 6},
5,Inkling,50.0,{'50.0': 6},
9,Ridley,46.15,{'46.15': 3},
10,Joker,42.85,{'42.85': 3},
11,Captain Falcon,42.0,{'42.0': 3},
11,Marth,42.0,{'42.0': 3},
13,Samus,40.0,{'40.0': 3},
14,Kirby,36.0,{'36.0': 3},
14,Ike,36.0,{'36.0': 3},
16,Ness,33.33,{'33.33': 3},
16,Mega Man,33.33,{'33.33': 3},
16,Incineroar,33.33,{'33.33': 3},
19,Bowser,30.0,{'30.0': 3},
20,Meta Knight,27.27,{'27.27': 3},
21,Byleth,26.66,{'26.66': 6},
22,Roy,26.31,{'26.31': 3},
23,Daisy,26.08,{'26.08': 3},
24,Falco,26.0,{'26.0': 3},
25,Dark Samus,25.0,{'25.0': 3},
25,Young Link,25.0,{'25.0': 3},
25,Chrom,25.0,{'25.0': 3},
25,ROB,25.0,{'25.0': 3},
25,Banjo and Kazooie,25.0,{'25.0': 3},
30,Donkey Kong,23.8,{'23.8': 3},
31,Wolf,22.22,{'22.22': 3},
32,Yoshi,20.0,{'20.0': 3},
32,Ganondorf,20.0,{'20.0': 3},
34,Jigglypuff,18.6,{'18.6': 3},
35,Sheik,18.0,{'18.0': 3},
36,Zelda,16.66,{'16.66': 3},
37,Hero,9.09,{'9.09': 3},
38,Fox,0.0,{'0.0': 3},
38,Luigi,0.0,{'0.0': 3},
38,Peach,0.0,{'0.0': 3},
38,Ice Climbers,0.0,{'0.0': 3},
38,Lucina,0.0,{'0.0': 3},
38,Mewtwo,0.0,{'0.0': 3},
38,Mr Game and Watch,0.0,{'0.0': 3},
38,Pit,0.0,{'0.0': 3},
38,Dark Pit,0.0,{'0.0': 3},
38,Wario,0.0,{'0.0': 3},
38,Snake,0.0,{'0.0': 3},
38,Lucas,0.0,{'0.0': 3},
38,Sonic,0.0,{'0.0': 3},
38,Olimar,0.0,{'0.0': 3},
38,Lucario,0.0,{'0.0': 3},
38,Villager,0.0,{'0.0': 3},
38,Robin,0.0,{'0.0': 3},
38,Ken,0.0,{'0.0': 3},
38,Corrin,0.0,{'0.0': 3},
38,Isabelle,0.0,{'0.0': 3},
38,Terry,0.0,{'0.0': 6},
38,Kazuya,0.0,{'0.0': 3},
38,Mii Gunner,0.0,{'0.0': 3},
38,Mario,0.0,{'0.0': 3},
38,Link,0.0,{'0.0': 3},
38,Pikachu,0.0,{'0.0': 3},
38,Zero Suit Samus,0.0,{'0.0': 3},
38,Pokemon Trainer,0.0,{'0.0': 6},
38,Diddy Kong,0.0,{'0.0': 3},
38,Toon Link,0.0,{'0.0': 3},
38,Wii Fit Trainer,0.0,{'0.0': 3},
38,Rosalina and Luma,0.0,{'0.0': 3},
38,Little Mac,0.0,{'0.0': 3},
38,Pac-Man,0.0,{'0.0': 3},
38,Shulk,0.0,{'0.0': 3},
38,Bowser Jr,0.0,{'0.0': 3},
38,Duck Hunt,0.0,{'0.0': 3},
38,Ryu,0.0,{'0.0': 3},
38,Cloud,0.0,{'0.0': 3},
38,Bayonetta,0.0,{'0.0': 3},
38,Simon,0.0,{'0.0': 3},
38,Richter,0.0,{'0.0': 9},
38,Min Min,0.0,{'0.0': 6},
38,Steve,0.0,{'0.0': 6},
38,Sephiroth,0.0,{'0.0': 6},
38,Pyra-Mythra,0.0,{'0.0': 6},
38,Sora,0.0,{'0.0': 6},
38,Mii Brawler,0.0,{'0.0': 6},
38,Mii Swordsman,0.0,{'0.0': 6},
