rank,character,read_value,candidates,correct
1,King Dedede,18839.0,{'18839': 1},
2,Banjo and Kazooie,10029.0,{'10029': 3},
3,Lucina,8255.0,{'8255': 3},
4,King K Rool,3353.0,{'3353': 3},
5,Mario,3327.0,{'3327': 3},
6,Ganondorf,1662.0,{'1662': 3},
7,Pac-Man,723.0,{'723': 3},
8,Falco,383.0,{'383': 6},
9,Cloud,365.0,{'365': 3},
10,Mewtwo,330.0,{'330': 3},
11,Little Mac,311.0,{'311': 3},
12,Mr Game and Watch,189.0,{'189': 3},
13,Donkey Kong,0.0,{'0': 1},
13,Link,0.0,"{'0': 1, '6': 1}",
13,Samus,0.0,{'0': 4},
13,Dark Samus,0.0,{'0': 1},
13,Yoshi,0.0,{'0': 1},
13,Kirby,0.0,{'0': 1},
13,Fox,0.0,{'0': 1},
13,Pikachu,0.0,{'0': 1},
13,Luigi,0.0,{'0': 1},
13,Ness,0.0,{'0': 3},
13,Captain Falcon,0.0,{'0': 1},
13,Jigglypuff,0.0,{'0': 1},
13,Peach,0.0,{'0': 1},
13,Daisy,0.0,{'0': 2},
13,Bowser,0.0,{'0': 2},
13,Ice Climbers,0.0,{'0': 2},
13,Sheik,0.0,{'0': 3},
13,Zelda,0.0,{'0': 2},
13,Dr Mario,0.0,{'0': 1},
13,Pichu,0.0,{'0': 1},
13,Marth,0.0,{'0': 2},
13,Young Link,0.0,{'0': 1},
13,Roy,0.0,{'0': 2},
13,Chrom,0.0,{'0': 3},
13,Meta Knight,0.0,{'0': 1},
13,Pit,0.0,{'0': 1},
13,Dark Pit,0.0,{'0': 2},
13,Zero Suit Samus,0.0,{'0': 2},
13,Wario,0.0,{'0': 1},
13,Snake,0.0,{'0': 3},
13,Ike,0.0,{'0': 6},
13,Pokemon Trainer,0.0,{'0': 1},
13,Diddy Kong,0.0,{'0': 2},
13,Lucas,0.0,{'0': 1},
13,Sonic,0.0,{'0': 2},
13,Olimar,0.0,{'0': 2},
13,Lucario,0.0,{'0': 2},
13,ROB,0.0,{'0': 4},
13,Toon Link,0.0,{'0': 1},
13,Sephiroth,0.0,{'0': 3},
13,Villager,0.0,{'0': 1},
13,Mega Man,0.0,{'0': 2},
13,Wii Fit Trainer,0.0,{'0': 1},
13,Rosalina and Luma,0.0,{'0': 1},
13,Greninja,0.0,{'0': 2},
13,Palutena,0.0,{'0': 3},
13,Robin,0.0,{'0': 1},
13,Shulk,0.0,{'0': 2},
13,Bowser Jr,0.0,{'0': 2},
13,Duck Hunt,0.0,{'0': 1},
13,Ryu,0.0,{'0': 1},
13,Ken,0.0,{'0': 1},
13,Corrin,0.0,{'0': 1},
13,Bayonetta,0.0,{'0': 2},
13,Inkling,0.0,{'0': 2},
13,Ridley,0.0,{'0': 2},
13,Simon,0.0,{'0': 3},
13,Richter,0.0,{'0': 2},
13,Isabelle,0.0,{'0': 2},
13,Incineroar,0.0,{'0': 1},
13,Piranha Plant,0.0,"{'0': 1, '6': 1}",
13,Joker,0.0,{'0': 1},
13,Hero,0.0,{'0': 1},
13,Terry,0.0,{'0': 1},
13,Byleth,0.0,{'0': 1},
13,Min Min,0.0,{'0': 2},
13,Steve,0.0,{'0': 1},
13,Pyra-Mythra,0.0,{'0': 2},
13,Kazuya,0.0,{'0': 1},
13,Sora,0.0,{'0': 2},
13,Mii Brawler,0.0,{'0': 1},
13,Mii Swordsman,0.0,{'0': 1},
13,Mii Gunner,0.0,{'0': 1},
