rank,character,read_value,candidates,correct
1,King Dedede,12276.0,{'12276': 1},
2,Lucina,6103.0,{'6103': 3},
3,Banjo and Kazooie,5025.0,"{'9025': 2, '5025': 1}",
4,Mario,3418.0,{'3418': 3},
5,King K Rool,1626.0,{'1626': 3},
6,Pac-Man,721.0,{'721': 3},
7,Ganondorf,541.0,"{'41': 2, '541': 1}",
8,Falco,395.0,{'395': 6},
9,Cloud,348.0,{'348': 3},
10,Mr Game and Watch,170.0,{'170': 3},
11,Mewtwo,158.0,{'158': 3},
12,Little Mac,144.0,{'144': 3},
13,Donkey Kong,0.0,{'0': 2},
13,Link,0.0,{'0': 1},
13,Samus,0.0,{'0': 2},
13,Dark Samus,0.0,{'0': 3},
13,Yoshi,0.0,{'0': 1},
13,Kirby,0.0,{'0': 2},
13,Fox,0.0,{'0': 1},
13,Pikachu,0.0,{'0': 1},
13,Luigi,0.0,{'0': 1},
13,Ness,0.0,{'0': 3},
13,Captain Falcon,0.0,{'0': 1},
13,Jigglypuff,0.0,"{'0': 1, '8': 1}",
13,Peach,0.0,{'0': 1},
13,Daisy,0.0,{'0': 2},
13,Bowser,0.0,{'0': 2},
13,Ice Climbers,0.0,{'0': 1},
13,Sheik,0.0,{'0': 3},
13,Zelda,0.0,{'0': 4},
13,Dr Mario,0.0,{'0': 2},
13,Pichu,0.0,{'0': 2},
13,Marth,0.0,{'0': 1},
13,Young Link,0.0,"{'0': 2, '4': 1}",
13,Roy,0.0,{'0': 2},
13,Chrom,0.0,{'0': 1},
13,Meta Knight,0.0,{'0': 2},
13,Pit,0.0,{'0': 1},
13,Dark Pit,0.0,{'0': 2},
13,Zero Suit Samus,0.0,{'0': 2},
13,Wario,0.0,{'0': 2},
13,Snake,0.0,{'0': 2},
13,Ike,0.0,{'0': 1},
13,Pokemon Trainer,0.0,{'0': 1},
13,Diddy Kong,0.0,{'0': 1},
13,Lucas,0.0,{'0': 3},
13,Sonic,0.0,{'0': 1},
13,Olimar,0.0,{'0': 2},
13,Lucario,0.0,{'0': 2},
13,ROB,0.0,"{'0': 1, '5': 1}",
13,Toon Link,0.0,{'0': 1},
13,Sephiroth,0.0,{'0': 4},
13,Villager,0.0,{'0': 2},
13,Mega Man,0.0,{'0': 2},
13,Wii Fit Trainer,0.0,{'0': 2},
13,Rosalina and Luma,0.0,{'0': 2},
13,Greninja,0.0,{'0': 1},
13,Palutena,0.0,{'0': 2},
13,Robin,0.0,{'0': 4},
13,Shulk,0.0,{'0': 1},
13,Bowser Jr,0.0,{'0': 1},
13,Duck Hunt,0.0,{'0': 2},
13,Ryu,0.0,{'0': 2},
13,Ken,0.0,{'0': 2},
13,Corrin,0.0,{'0': 2},
13,Bayonetta,0.0,{'0': 2},
13,Inkling,0.0,{'0': 1},
13,Ridley,0.0,{'0': 1},
13,Simon,0.0,{'0': 1},
13,Richter,0.0,{'0': 1},
13,Isabelle,0.0,{'0': 3},
13,Incineroar,0.0,{'0': 1},
13,Piranha Plant,0.0,{'0': 2},
13,Joker,0.0,{'0': 1},
13,Hero,0.0,{'0': 2},
13,Terry,0.0,{'0': 2},
13,Byleth,0.0,{'0': 1},
13,Min Min,0.0,{'0': 2},
13,Steve,0.0,{'0': 4},
13,Pyra-Mythra,0.0,{'0': 2},
13,Kazuya,0.0,{'0': 1},
13,Sora,0.0,{'0': 2},
13,Mii Brawler,0.0,{'0': 2},
13,Mii Swordsman,0.0,{'0': 2},
13,Mii Gunner,0.0,{'0': 2},
