rank,character,read_value,candidates,correct
1,King Dedede,18209.0,{'18209': 1},
2,Lucina,10431.0,{'10431': 1},
3,Banjo and Kazooie,9818.0,{'9818': 3},
4,Mario,9723.0,"{'9723': 2, '8723': 1}",
5,King K Rool,3612.0,{'3612': 3},
6,Ganondorf,1472.0,{'1472': 3},
7,Pac-Man,792.0,{'792': 3},
8,Cloud,685.0,{'685': 3},
9,Little Mac,594.0,"{'994': 2, '594': 1}",
10,Falco,589.0,{'589': 3},
11,Mewtwo,518.0,"{'918': 2, '518': 1}",
12,Mr Game and Watch,425.0,{'425': 3},
13,Donkey Kong,0.0,{'0': 1},
13,Link,0.0,{'0': 2},
13,Samus,0.0,{'0': 2},
13,Dark Samus,0.0,"{'0': 1, '6': 1}",
13,Yoshi,0.0,{'0': 1},
13,Kirby,0.0,{'0': 1},
13,Fox,0.0,{'0': 2},
13,Pikachu,0.0,{'0': 2},
13,Luigi,0.0,{'0': 1},
13,Ness,0.0,{'0': 2},
13,Captain Falcon,0.0,{'0': 1},
13,Jigglypuff,0.0,{'0': 2},
13,Peach,0.0,{'0': 3},
13,Daisy,0.0,{'0': 2},
13,Bowser,0.0,{'0': 1},
13,Ice Climbers,0.0,{'0': 1},
13,Sheik,0.0,{'0': 1},
13,Zelda,0.0,{'0': 2},
13,Dr Mario,0.0,{'0': 2},
13,Pichu,0.0,{'0': 2},
13,Marth,0.0,{'0': 1},
13,Young Link,0.0,{'0': 2},
13,Roy,0.0,{'0': 1},
13,Chrom,0.0,{'0': 2},
13,Meta Knight,0.0,{'0': 2},
13,Pit,0.0,{'0': 1},
13,Dark Pit,0.0,{'0': 1},
13,Zero Suit Samus,0.0,{'0': 1},
13,Wario,0.0,{'0': 2},
13,Snake,0.0,{'0': 2},
13,Ike,0.0,{'0': 1},
13,Pokemon Trainer,0.0,{'0': 4},
13,Diddy Kong,0.0,{'0': 1},
13,Lucas,0.0,{'0': 1},
13,Sonic,0.0,{'0': 1},
13,Olimar,0.0,{'0': 2},
13,Lucario,0.0,{'0': 3},
13,ROB,0.0,{'0': 2},
13,Toon Link,0.0,{'0': 1},
13,Sephiroth,0.0,{'0': 5},
13,Villager,0.0,{'0': 3},
13,Mega Man,0.0,{'0': 2},
13,Wii Fit Trainer,0.0,{'0': 1},
13,Rosalina and Luma,0.0,{'0': 1},
13,Greninja,0.0,{'0': 1},
13,Palutena,0.0,{'0': 2},
13,Robin,0.0,{'0': 1},
13,Shulk,0.0,{'0': 1},
13,Bowser Jr,0.0,{'0': 1},
13,Duck Hunt,0.0,{'0': 1},
13,Ryu,0.0,{'0': 2},
13,Ken,0.0,{'0': 2},
13,Corrin,0.0,{'0': 1},
13,Bayonetta,0.0,{'0': 3},
13,Inkling,0.0,{'0': 1},
13,Ridley,0.0,{'0': 1},
13,Simon,0.0,{'0': 1},
13,Richter,0.0,{'0': 1},
13,Isabelle,0.0,{'0': 1},
13,Incineroar,0.0,{'0': 1},
13,Piranha Plant,0.0,{'0': 3},
13,Joker,0.0,{'0': 2},
13,Hero,0.0,{'0': 1},
13,Terry,0.0,{'0': 2},
13,Byleth,0.0,"{'0': 2, '8': 1}",
13,Min Min,0.0,{'0': 2},
13,Steve,0.0,{'0': 3},
13,Pyra-Mythra,0.0,{'0': 2},
13,Kazuya,0.0,{'0': 2},
13,Sora,0.0,{'0': 2},
13,Mii Brawler,0.0,{'0': 2},
13,Mii Swordsman,0.0,{'0': 1},
13,Mii Gunner,0.0,{'0': 1},
