rank,character,read_value,candidates,correct
1,Cloud,9.0,"{'9.0': 2, '5.0': 1}",
2,King Dedede,3.66,{'3.66': 3},
3,Banjo and Kazooie,3.08,{'3.08': 3},
4,Mewtwo,3.0,{'3.0': 3},
5,King K Rool,2.8,{'2.8': 3},
6,Lucina,2.68,{'2.68': 3},
7,Pac-Man,2.0,{'2.0': 3},
8,Ganondorf,1.8,{'1.8': 3},
9,Mario,1.76,{'1.76': 3},
10,Little Mac,1.0,{'1.0': 3},
11,Falco,0.5,{'0.5': 3},
12,Mr Game and Watch,0.0,{'0.0': 3},
12,Donkey Kong,0.0,{'0.0': 3},
12,Link,0.0,{'0.0': 3},
12,Samus,0.0,{'0.0': 3},
12,Dark Samus,0.0,{'0.0': 3},
12,Yoshi,0.0,{'0.0': 3},
12,Kirby,0.0,{'0.0': 3},
12,Fox,0.0,{'0.0': 3},
12,Pikachu,0.0,{'0.0': 3},
12,Luigi,0.0,{'0.0': 3},
12,Ness,0.0,{'0.0': 3},
12,Captain Falcon,0.0,{'0.0': 3},
12,Jigglypuff,0.0,{'0.0': 3},
12,Peach,0.0,{'0.0': 3},
12,Daisy,0.0,{'0.0': 3},
12,Bowser,0.0,{'0.0': 3},
12,Ice Climbers,0.0,{'0.0': 3},
12,Sheik,0.0,{'0.0': 3},
12,Zelda,0.0,{'0.0': 3},
12,Dr Mario,0.0,{'0.0': 3},
12,Pichu,0.0,{'0.0': 3},
12,Marth,0.0,{'0.0': 3},
12,Young Link,0.0,{'0.0': 3},
12,Roy,0.0,{'0.0': 3},
12,Chrom,0.0,{'0.0': 3},
12,Meta Knight,0.0,{'0.0': 3},
12,Pit,0.0,{'0.0': 3},
12,Dark Pit,0.0,{'0.0': 3},
12,Zero Suit Samus,0.0,{'0.0': 3},
12,Wario,0.0,{'0.0': 3},
12,Snake,0.0,{'0.0': 3},
12,Ike,0.0,{'0.0': 3},
12,Pokemon Trainer,0.0,{'0.0': 3},
12,Diddy Kong,0.0,{'0.0': 3},
12,Lucas,0.0,{'0.0': 3},
12,Sonic,0.0,{'0.0': 3},
12,Olimar,0.0,{'0.0': 3},
12,Lucario,0.0,{'0.0': 3},
12,ROB,0.0,{'0.0': 3},
12,Toon Link,0.0,{'0.0': 3},
12,Sephiroth,0.0,{'0.0': 9},
12,Villager,0.0,{'0.0': 3},
12,Mega Man,0.0,{'0.0': 3},
12,Wii Fit Trainer,0.0,{'0.0': 3},
12,Rosalina and Luma,0.0,{'0.0': 3},
12,Greninja,0.0,{'0.0': 3},
12,Palutena,0.0,{'0.0': 3},
12,Robin,0.0,{'0.0': 6},
12,Shulk,0.0,{'0.0': 3},
12,Bowser Jr,0.0,{'0.0': 3},
12,Duck Hunt,0.0,{'0.0': 3},
12,Ryu,0.0,{'0.0': 3},
12,Ken,0.0,{'0.0': 3},
12,Corrin,0.0,{'0.0': 3},
12,Bayonetta,0.0,{'0.0': 6},
12,Inkling,0.0,{'0.0': 3},
12,Ridley,0.0,{'0.0': 3},
12,Simon,0.0,{'0.0': 3},
12,Richter,0.0,{'0.0': 3},
12,Isabelle,0.0,{'0.0': 3},
12,Incineroar,0.0,{'0.0': 3},
12,Piranha Plant,0.0,{'0.0': 6},
12,Joker,0.0,{'0.0': 3},
12,Hero,0.0,{'0.0': 3},
12,Terry,0.0,{'0.0': 3},
12,Byleth,0.0,{'0.0': 3},
12,Min Min,0.0,{'0.0': 3},
12,Steve,0.0,{'0.0': 6},
12,Pyra-Mythra,0.0,{'0.0': 3},
12,Kazuya,0.0,{'0.0': 3},
12,Sora,0.0,{'0.0': 3},
12,Mii Brawler,0.0,{'0.0': 3},
12,Mii Swordsman,0.0,{'0.0': 3},
12,Mii Gunner,0.0,{'0.0': 3},
