rank,character,read_value,candidates,correct
1,King Dedede,256.0,{'256': 3},
2,Lucina,133.0,{'133': 3},
2,Banjo and Kazooie,133.0,{'133': 3},
4,Mario,51.0,{'51': 3},
5,King K Rool,29.0,{'29': 3},
6,Ganondorf,13.0,{'13': 3},
7,Pac-Man,10.0,{'10': 3},
8,Falco,6.0,{'6': 3},
9,Cloud,4.0,{'4': 3},
10,Little Mac,3.0,{'3': 3},
10,Mewtwo,3.0,{'3': 3},
10,Mr Game and Watch,3.0,{'3': 3},
13,Donkey Kong,0.0,{'0': 3},
13,Link,0.0,{'0': 3},
13,Samus,0.0,{'0': 3},
13,Dark Samus,0.0,{'0': 3},
13,Yoshi,0.0,{'0': 3},
13,Kirby,0.0,{'0': 3},
13,Fox,0.0,{'0': 3},
13,Pikachu,0.0,{'0': 3},
13,Luigi,0.0,{'0': 3},
13,Ness,0.0,{'0': 3},
13,Captain Falcon,0.0,{'0': 6},
13,Jigglypuff,0.0,{'0': 3},
13,Peach,0.0,{'0': 3},
13,Daisy,0.0,{'0': 3},
13,Bowser,0.0,{'0': 3},
13,Ice Climbers,0.0,{'0': 3},
13,Sheik,0.0,{'0': 3},
13,Zelda,0.0,{'0': 3},
13,Dr Mario,0.0,{'0': 3},
13,Pichu,0.0,{'0': 3},
13,Marth,0.0,{'0': 3},
13,Young Link,0.0,{'0': 3},
13,Roy,0.0,{'0': 3},
13,Chrom,0.0,{'0': 3},
13,Meta Knight,0.0,{'0': 3},
13,Pit,0.0,{'0': 3},
13,Dark Pit,0.0,{'0': 3},
13,Zero Suit Samus,0.0,{'0': 3},
13,Wario,0.0,{'0': 3},
13,Snake,0.0,{'0': 3},
13,Ike,0.0,{'0': 3},
13,Pokemon Trainer,0.0,{'0': 3},
13,Diddy Kong,0.0,{'0': 3},
13,Lucas,0.0,{'0': 3},
13,Sonic,0.0,{'0': 3},
13,Olimar,0.0,{'0': 3},
13,Lucario,0.0,{'0': 3},
13,ROB,0.0,{'0': 3},
13,Toon Link,0.0,{'0': 3},
13,Sephiroth,0.0,{'0': 9},
13,Villager,0.0,{'0': 3},
13,Mega Man,0.0,{'0': 3},
13,Wii Fit Trainer,0.0,{'0': 3},
13,Rosalina and Luma,0.0,{'0': 3},
13,Greninja,0.0,{'0': 3},
13,Palutena,0.0,{'0': 3},
13,Robin,0.0,{'0': 3},
13,Shulk,0.0,{'0': 3},
13,Bowser Jr,0.0,{'0': 3},
13,Duck Hunt,0.0,{'0': 3},
13,Ryu,0.0,{'0': 3},
13,Ken,0.0,{'0': 3},
13,Corrin,0.0,{'0': 3},
13,Bayonetta,0.0,{'0': 3},
13,Inkling,0.0,{'0': 6},
13,Ridley,0.0,{'0': 3},
13,Simon,0.0,{'0': 3},
13,Richter,0.0,{'0': 3},
13,Isabelle,0.0,{'0': 3},
13,Incineroar,0.0,{'0': 3},
13,Piranha Plant,0.0,{'0': 3},
13,Joker,0.0,{'0': 6},
13,Hero,0.0,{'0': 3},
13,Terry,0.0,{'0': 3},
13,Byleth,0.0,{'0': 3},
13,Min Min,0.0,{'0': 3},
13,Steve,0.0,{'0': 6},
13,Pyra-Mythra,0.0,{'0': 6},
13,Kazuya,0.0,{'0': 3},
13,Sora,0.0,{'0': 3},
13,Mii Brawler,0.0,{'0': 3},
13,Mii Swordsman,0.0,{'0': 3},
13,Mii Gunner,0.0,{'0': 3},
