rank,character,read_value,candidates,correct
1,Samus,3.0,{'3.0': 3},
1,Pikachu,3.0,{'3.0': 3},
1,Peach,3.0,{'3.0': 3},
1,Sheik,3.0,{'3.0': 3},
1,Dr Mario,3.0,{'3.0': 3},
1,Falco,3.0,{'3.0': 3},
1,Roy,3.0,{'3.0': 3},
1,Meta Knight,3.0,{'3.0': 6},
1,Pit,3.0,{'3.0': 3},
1,Zero Suit Samus,3.0,{'3.0': 3},
1,Wario,3.0,{'3.0': 3},
1,Sonic,3.0,{'3.0': 3},
1,Olimar,3.0,{'3.0': 3},
1,Wolf,3.0,{'3.0': 3},
1,Mega Man,3.0,{'3.0': 6},
1,Greninja,3.0,{'3.0': 3},
1,Ryu,3.0,{'3.0': 3},
1,Corrin,3.0,{'3.0': 3},
1,Bayonetta,3.0,{'3.0': 3},
1,Ridley,3.0,{'3.0': 3},
1,King K Rool,3.0,{'3.0': 3},
1,Piranha Plant,3.0,{'3.0': 6},
1,Banjo and Kazooie,3.0,{'3.0': 3},
1,Terry,3.0,{'3.0': 3},
25,Mii Brawler,2.96,{'2.96': 3},
26,Mii Swordsman,2.89,{'2.89': 3},
27,Link,2.83,{'2.83': 3},
27,Byleth,2.83,{'2.83': 3},
27,Mii Gunner,2.83,{'2.83': 6},
30,Ganondorf,2.8,{'2.8': 3},
31,Hero,2.78,{'2.78': 3},
32,Joker,2.71,{'2.71': 3},
33,Captain Falcon,2.7,{'2.7': 3},
34,Fox,2.66,{'2.66': 3},
34,Lucina,2.66,{'2.66': 3},
36,Bowser,2.63,{'2.63': 6},
37,Donkey Kong,2.55,"{'27.55': 2, '2.55': 1}",
38,Marth,2.5,{'2.5': 3},
39,Toon Link,2.42,{'2.42': 3},
40,Young Link,2.0,{'2.0': 3},
40,Pokemon Trainer,2.0,{'2.0': 3},
40,King Dedede,2.0,{'2.0': 3},
43,Zelda,1.66,{'1.66': 6},
43,Wii Fit Trainer,1.66,{'1.66': 3},
45,Robin,1.0,{'1.0': 3},
46,Shulk,0.0,{'0.0': 3},
46,Mario,0.0,{'0.0': 3},
46,Dark Samus,0.0,{'0.0': 3},
46,Yoshi,0.0,{'0.0': 3},
46,Kirby,0.0,{'0.0': 6},
46,Luigi,0.0,{'0.0': 3},
46,Ness,0.0,{'0.0': 3},
46,Jigglypuff,0.0,{'0.0': 3},
46,Daisy,0.0,{'0.0': 3},
46,Ice Climbers,0.0,{'0.0': 3},
46,Pichu,0.0,{'0.0': 3},
46,Mewtwo,0.0,{'0.0': 6},
46,Chrom,0.0,{'0.0': 3},
46,Mr Game and Watch,0.0,{'0.0': 3},
46,Dark Pit,0.0,{'0.0': 3},
46,Snake,0.0,{'0.0': 3},
46,Ike,0.0,{'0.0': 3},
46,Diddy Kong,0.0,{'0.0': 3},
46,Lucas,0.0,{'0.0': 6},
46,Lucario,0.0,{'0.0': 3},
46,ROB,0.0,{'0.0': 3},
46,Villager,0.0,{'0.0': 3},
46,Rosalina and Luma,0.0,{'0.0': 3},
46,Little Mac,0.0,{'0.0': 3},
46,Palutena,0.0,{'0.0': 3},
46,Pac-Man,0.0,{'0.0': 6},
46,Bowser Jr,0.0,{'0.0': 3},
46,Duck Hunt,0.0,{'0.0': 3},
46,Ken,0.0,{'0.0': 3},
46,Cloud,0.0,{'0.0': 3},
46,Inkling,0.0,{'0.0': 3},
46,Simon,0.0,{'0.0': 3},
46,Richter,0.0,{'0.0': 6},
46,Isabelle,0.0,{'0.0': 6},
46,Incineroar,0.0,{'0.0': 6},
46,Min Min,0.0,{'0.0': 6},
46,Steve,0.0,{'0.0': 6},
46,Sephiroth,0.0,{'0.0': 6},
46,Pyra-Mythra,0.0,{'0.0': 6},
46,Kazuya,0.0,{'0.0': 6},
46,Sora,0.0,{'0.0': 3},
