rank,character,read_value,candidates,correct
1,Bowser,188814.0,{'188814': 3},
2,Hero,66528.0,{'66528': 3},
3,Joker,61736.0,{'61736': 3},
4,Link,18734.0,{'18734': 3},
5,Mii Gunner,13432.0,{'13432': 3},
6,Mii Brawler,13176.0,{'13176': 3},
7,Mii Swordsman,10228.0,{'10228': 3},
8,Ganondorf,3397.0,"{'3397': 4, '33597': 2}",
9,Donkey Kong,3038.0,{'3038': 3},
10,Captain Falcon,2846.0,{'2846': 3},
11,Toon Link,2220.0,{'2220': 3},
12,Bayonetta,1373.0,{'1373': 3},
13,Byleth,1309.0,{'1309': 3},
14,Banjo and Kazooie,996.0,{'996': 3},
15,Pokemon Trainer,976.0,{'976': 6},
16,Samus,756.0,{'756': 3},
17,Zelda,752.0,{'752': 3},
18,Young Link,721.0,{'721': 3},
19,Wario,698.0,{'698': 3},
20,Terry,696.0,{'696': 3},
21,Wii Fit Trainer,685.0,{'685': 3},
22,Pikachu,594.0,"{'594': 4, '994': 2}",
23,Lucina,572.0,"{'92': 2, '572': 1}",
24,King K Rool,494.0,{'494': 3},
25,Fox,433.0,{'433': 3},
26,Roy,385.0,{'385': 3},
27,Shulk,383.0,{'383': 3},
28,Robin,351.0,{'351': 3},
29,Piranha Plant,348.0,{'348': 6},
30,Olimar,343.0,{'343': 3},
31,Meta Knight,339.0,{'339': 3},
32,Falco,330.0,{'330': 3},
33,Sheik,248.0,{'248': 3},
34,Corrin,221.0,{'221': 3},
35,Sonic,219.0,{'219': 3},
36,Pit,217.0,{'217': 6},
37,Marth,213.0,{'213': 3},
38,Mega Man,189.0,{'189': 3},
39,King Dedede,179.0,{'179': 3},
40,Greninja,165.0,{'165': 3},
41,Zero Suit Samus,160.0,{'160': 3},
42,Dr Mario,147.0,{'147': 3},
43,Ridley,130.0,{'130': 6},
44,Peach,86.0,{'86': 3},
45,Wolf,74.0,"{'74': 2, '4': 1}",
46,Ryu,73.0,{'73': 3},
47,Mario,0.0,"{'0': 2, '6': 1}",
47,Dark Samus,0.0,{'0': 2},
47,Yoshi,0.0,{'0': 1},
47,Kirby,0.0,{'0': 4},
47,Luigi,0.0,{'0': 2},
47,Ness,0.0,{'0': 2},
47,Jigglypuff,0.0,{'0': 1},
47,Daisy,0.0,{'0': 2},
47,Ice Climbers,0.0,{'0': 1},
47,Pichu,0.0,{'0': 1},
47,Mewtwo,0.0,{'0': 1},
47,Chrom,0.0,{'0': 3},
47,Mr Game and Watch,0.0,{'0': 2},
47,Dark Pit,0.0,{'0': 1},
47,Snake,0.0,{'0': 2},
47,Ike,0.0,{'0': 1},
47,Diddy Kong,0.0,{'0': 1},
47,Lucas,0.0,{'0': 1},
47,Lucario,0.0,{'0': 1},
47,ROB,0.0,{'0': 1},
47,Villager,0.0,{'0': 2},
47,Rosalina and Luma,0.0,{'0': 2},
47,Little Mac,0.0,{'0': 2},
47,Palutena,0.0,"{'0': 1, '6': 1}",
47,Pac-Man,0.0,{'0': 2},
47,Bowser Jr,0.0,{'0': 4},
47,Duck Hunt,0.0,{'0': 1},
47,Ken,0.0,{'0': 2},
47,Cloud,0.0,{'0': 1},
47,Inkling,0.0,{'0': 2},
47,Simon,0.0,{'0': 3},
47,Richter,0.0,{'0': 2},
47,Isabelle,0.0,{'0': 3},
47,Incineroar,0.0,{'0': 1},
47,Min Min,0.0,{'0': 1},
47,Steve,0.0,{'0': 1},
47,Sephiroth,0.0,{'0': 1},
47,Pyra-Mythra,0.0,{'0': 3},
47,Kazuya,0.0,{'0': 2},
47,Sora,0.0,{'0': 1},
