rank,character,read_value,candidates,correct
1,Bowser,212747.0,{'212747': 3},
2,Joker,88095.0,{'88095': 3},
3,Hero,69150.0,{'69150': 3},
4,Link,19784.0,{'19784': 3},
5,Mii Brawler,16987.0,{'16987': 3},
6,Mii Gunner,15764.0,{'15764': 3},
7,Mii Swordsman,12702.0,{'12702': 3},
8,Ganondorf,4755.0,{'4755': 3},
9,Donkey Kong,3607.0,{'3607': 3},
10,Captain Falcon,3412.0,{'3412': 3},
11,Toon Link,2026.0,{'2026': 3},
12,Byleth,1874.0,{'1874': 3},
13,Bayonetta,1840.0,{'1840': 3},
14,Samus,1402.0,{'1402': 3},
15,Banjo and Kazooie,1216.0,{'1216': 3},
16,Pokemon Trainer,1199.0,{'1199': 3},
17,Wario,1139.0,"{'1139': 2, '1155': 1}",
18,Terry,1081.0,{'1081': 3},
19,Fox,900.0,{'900': 3},
20,King K Rool,846.0,{'846': 3},
21,Roy,845.0,{'845': 3},
22,Lucina,839.0,{'839': 3},
23,Young Link,665.0,{'665': 6},
24,Wii Fit Trainer,634.0,{'634': 3},
25,Falco,544.0,"{'44': 2, '544': 1}",
26,Pikachu,541.0,"{'41': 2, '541': 1}",
27,Marth,529.0,{'529': 3},
28,Pit,456.0,{'456': 3},
29,Corrin,424.0,{'424': 3},
30,Olimar,406.0,{'406': 3},
31,Dr Mario,404.0,{'404': 3},
32,Peach,402.0,{'402': 3},
33,Ridley,387.0,{'387': 3},
34,Mega Man,386.0,{'386': 3},
35,Piranha Plant,380.0,{'380': 3},
36,Zelda,372.0,"{'32': 2, '372': 1}",
37,Sonic,370.0,{'370': 3},
38,Meta Knight,347.0,{'347': 3},
39,Zero Suit Samus,341.0,{'341': 3},
40,Ryu,332.0,{'332': 3},
41,Sheik,327.0,"{'32': 2, '327': 1}",
42,Greninja,263.0,{'263': 3},
43,King Dedede,225.0,{'225': 3},
44,Robin,171.0,"{'171': 2, '71': 1}",
45,Sephiroth,129.0,"{'129': 6, '0': 1}",
46,Shulk,41.0,{'41': 3},
47,Mario,0.0,{'0': 2},
47,Dark Samus,0.0,{'0': 2},
47,Yoshi,0.0,{'0': 2},
47,Kirby,0.0,{'0': 1},
47,Luigi,0.0,{'0': 3},
47,Ness,0.0,{'0': 2},
47,Jigglypuff,0.0,{'0': 2},
47,Daisy,0.0,{'0': 2},
47,Ice Climbers,0.0,{'0': 1},
47,Pichu,0.0,{'0': 2},
47,Mewtwo,0.0,{'0': 1},
47,Chrom,0.0,{'0': 1},
47,Mr Game and Watch,0.0,{'0': 1},
47,Dark Pit,0.0,{'0': 1},
47,Snake,0.0,{'0': 1},
47,Ike,0.0,{'0': 1},
47,Diddy Kong,0.0,{'0': 1},
47,Lucas,0.0,{'0': 2},
47,Lucario,0.0,{'0': 1},
47,ROB,0.0,{'0': 2},
47,Villager,0.0,{'0': 1},
47,Rosalina and Luma,0.0,{'0': 2},
47,Little Mac,0.0,{'0': 1},
47,Palutena,0.0,{'0': 1},
47,Pac-Man,0.0,{'0': 1},
47,Bowser Jr,0.0,{'0': 1},
47,Duck Hunt,0.0,{'0': 1},
47,Ken,0.0,{'0': 3},
47,Cloud,0.0,{'0': 1},
47,Inkling,0.0,{'0': 2},
47,Simon,0.0,{'0': 2},
47,Richter,0.0,{'0': 1},
47,Isabelle,0.0,{'0': 4},
47,Incineroar,0.0,{'0': 5},
47,Min Min,0.0,{'0': 3},
47,Steve,0.0,{'0': 1},
47,Pyra-Mythra,0.0,{'0': 2},
47,Kazuya,0.0,{'0': 1},
47,Sora,0.0,{'0': 1},
