rank,character,read_value,candidates,correct
1,Bowser,308755.0,{'308755': 3},
2,Joker,125138.0,{'125138': 3},
3,Hero,94057.0,{'94057': 3},
4,Mii Brawler,28690.0,{'28690': 3},
5,Link,27603.0,{'27603': 3},
6,Mii Gunner,21112.0,{'21112': 3},
7,Mii Swordsman,17481.0,{'17481': 3},
8,Ganondorf,5492.0,{'5492': 3},
9,Captain Falcon,4860.0,{'4860': 3},
10,Donkey Kong,4429.0,{'4429': 3},
11,Toon Link,3118.0,{'3118': 3},
12,Bayonetta,2701.0,{'2701': 3},
13,Byleth,2041.0,{'2041': 3},
14,Fox,1610.0,{'1610': 3},
15,Banjo and Kazooie,1608.0,{'1608': 3},
16,Terry,1560.0,{'1560': 3},
17,Wario,1544.0,{'1544': 3},
18,Samus,1516.0,{'1516': 3},
19,Lucina,1354.0,{'1354': 3},
20,Pokemon Trainer,1338.0,{'1338': 3},
21,Roy,1163.0,{'1163': 3},
22,Young Link,1075.0,{'1075': 3},
23,Wii Fit Trainer,930.0,{'930': 3},
24,King K Rool,798.0,{'798': 3},
25,Falco,790.0,{'790': 3},
26,Pikachu,789.0,{'789': 3},
27,Meta Knight,748.0,{'748': 3},
28,Mega Man,713.0,"{'713': 2, '13': 1}",
29,Marth,708.0,{'708': 3},
30,Olimar,665.0,{'665': 3},
31,Sheik,629.0,{'629': 3},
32,Piranha Plant,608.0,{'608': 3},
33,Sonic,564.0,{'564': 3},
34,Corrin,562.0,{'562': 3},
35,Dr Mario,549.0,"{'949': 2, '549': 1}",
36,Pit,467.0,{'467': 3},
37,Zelda,464.0,{'464': 3},
38,Peach,440.0,{'440': 3},
39,Greninja,381.0,{'381': 3},
40,Zero Suit Samus,362.0,{'362': 3},
41,Ryu,361.0,{'361': 3},
42,Robin,313.0,{'313': 3},
43,Ridley,290.0,{'290': 3},
44,King Dedede,251.0,{'251': 3},
45,Shulk,222.0,{'222': 3},
46,Sephiroth,164.0,"{'164': 3, '0': 2}",
47,Mario,0.0,{'0': 2},
47,Dark Samus,0.0,{'0': 2},
47,Yoshi,0.0,{'0': 2},
47,Kirby,0.0,{'0': 2},
47,Luigi,0.0,{'0': 2},
47,Ness,0.0,{'0': 1},
47,Jigglypuff,0.0,{'0': 1},
47,Daisy,0.0,{'0': 2},
47,Ice Climbers,0.0,{'0': 2},
47,Pichu,0.0,{'0': 2},
47,Mewtwo,0.0,{'0': 2},
47,Chrom,0.0,{'0': 3},
47,Mr Game and Watch,0.0,{'0': 5},
47,Dark Pit,0.0,{'0': 1},
47,Snake,0.0,{'0': 1},
47,Ike,0.0,{'0': 2},
47,Diddy Kong,0.0,{'0': 3},
47,Lucas,0.0,{'0': 2},
47,Lucario,0.0,{'0': 1},
47,ROB,0.0,{'0': 2},
47,Villager,0.0,{'0': 1},
47,Rosalina and Luma,0.0,{'0': 2},
47,Little Mac,0.0,{'0': 1},
47,Palutena,0.0,{'0': 3},
47,Pac-Man,0.0,{'0': 1},
47,Bowser Jr,0.0,{'0': 1},
47,Duck Hunt,0.0,{'0': 1},
47,Ken,0.0,{'0': 2},
47,Cloud,0.0,{'0': 1},
47,Inkling,0.0,{'0': 2},
47,Simon,0.0,{'0': 2},
47,Richter,0.0,{'0': 3},
47,Isabelle,0.0,{'0': 3},
47,Incineroar,0.0,{'0': 2},
47,Min Min,0.0,{'0': 3},
47,Steve,0.0,{'0': 2},
47,Pyra-Mythra,0.0,{'0': 1},
47,Kazuya,0.0,{'0': 2},
47,Sora,0.0,{'0': 2},
