rank,character,read_value,candidates,correct
1,Bowser,130967.0,{'130967': 3},
2,Joker,83803.0,{'83803': 3},
3,Hero,49339.0,{'49339': 3},
4,Mii Gunner,11322.0,{'11322': 3},
5,Mii Brawler,11258.0,{'11258': 3},
6,Link,10914.0,{'10914': 3},
7,Mii Swordsman,9719.0,{'9719': 3},
8,Captain Falcon,2642.0,{'2642': 3},
9,Ganondorf,2491.0,{'2491': 3},
10,Donkey Kong,2047.0,{'2047': 3},
11,Toon Link,1409.0,{'1409': 3},
12,Bayonetta,1390.0,{'1390': 3},
13,Pokemon Trainer,1132.0,{'1132': 3},
14,Byleth,994.0,{'994': 3},
15,Banjo and Kazooie,978.0,{'978': 3},
16,Lucina,918.0,{'918': 3},
17,Wario,811.0,{'811': 3},
18,Samus,723.0,"{'23': 2, '723': 1}",
19,Fox,605.0,{'605': 3},
20,Young Link,604.0,{'604': 3},
21,Terry,564.0,"{'964': 2, '564': 1}",
22,Olimar,505.0,{'505': 3},
23,Roy,488.0,{'488': 6},
23,Robin,488.0,{'488': 3},
25,Wii Fit Trainer,424.0,{'424': 3},
26,Meta Knight,366.0,{'366': 3},
27,Sheik,333.0,{'333': 3},
28,Falco,321.0,{'321': 3},
29,Piranha Plant,315.0,{'315': 3},
30,Zelda,305.0,{'305': 6},
31,Mega Man,259.0,{'259': 3},
32,Dr Mario,256.0,{'256': 3},
33,Pikachu,239.0,{'239': 3},
34,King Dedede,237.0,{'237': 3},
35,Peach,210.0,{'210': 3},
36,Sonic,202.0,{'202': 3},
37,Marth,165.0,{'165': 6},
38,Shulk,164.0,{'164': 3},
39,Zero Suit Samus,160.0,{'160': 3},
39,King K Rool,160.0,{'160': 3},
41,Ridley,156.0,{'156': 3},
42,Pit,154.0,{'154': 3},
43,Ryu,138.0,{'138': 3},
44,Corrin,119.0,{'119': 6},
45,Greninja,101.0,{'101': 3},
46,Sephiroth,51.0,"{'51': 1, '0': 2}",
47,Mario,0.0,{'0': 1},
47,Dark Samus,0.0,{'0': 2},
47,Yoshi,0.0,{'0': 1},
47,Kirby,0.0,{'0': 1},
47,Luigi,0.0,{'0': 3},
47,Ness,0.0,{'0': 3},
47,Jigglypuff,0.0,{'0': 2},
47,Daisy,0.0,{'0': 1},
47,Ice Climbers,0.0,{'0': 2},
47,Pichu,0.0,{'0': 1},
47,Mewtwo,0.0,{'0': 1},
47,Chrom,0.0,{'0': 4},
47,Mr Game and Watch,0.0,{'0': 3},
47,Dark Pit,0.0,{'0': 2},
47,Snake,0.0,{'0': 1},
47,Ike,0.0,{'0': 1},
47,Diddy Kong,0.0,{'0': 1},
47,Lucas,0.0,{'0': 1},
47,Lucario,0.0,{'0': 3},
47,ROB,0.0,{'0': 2},
47,Villager,0.0,{'0': 2},
47,Rosalina and Luma,0.0,{'0': 2},
47,Little Mac,0.0,{'0': 3},
47,Palutena,0.0,{'0': 1},
47,Pac-Man,0.0,{'0': 1},
47,Bowser Jr,0.0,{'0': 2},
47,Duck Hunt,0.0,{'0': 1},
47,Ken,0.0,{'0': 2},
47,Cloud,0.0,{'0': 1},
47,Inkling,0.0,{'0': 1},
47,Simon,0.0,{'0': 1},
47,Richter,0.0,{'0': 3},
47,Isabelle,0.0,{'0': 2},
47,Incineroar,0.0,{'0': 3},
47,Min Min,0.0,{'0': 1},
47,Steve,0.0,"{'0': 1, '4': 1}",
47,Pyra-Mythra,0.0,{'0': 2},
47,Kazuya,0.0,{'0': 1},
47,Sora,0.0,{'0': 2},
