rank,character,read_value,candidates,correct
1,Bowser,112.0,"{'112': 2, '12': 1}",
2,Hero,27.0,{'27': 3},
3,Joker,20.0,"{'20': 2, '200': 1}",
4,Link,7.0,{'7': 3},
4,Mii Brawler,7.0,{'7': 3},
6,Pokemon Trainer,2.0,{'2': 3},
7,Captain Falcon,1.0,{'1': 3},
7,Toon Link,1.0,{'1': 6},
7,Wii Fit Trainer,1.0,{'1': 3},
7,Byleth,1.0,{'1': 3},
7,Mii Gunner,1.0,{'1': 3},
12,Donkey Kong,0.0,{'0': 2},
12,Samus,0.0,{'0': 3},
12,Fox,0.0,{'0': 2},
12,Pikachu,0.0,{'0': 4},
12,Peach,0.0,{'0': 1},
12,Sheik,0.0,{'0': 2},
12,Zelda,0.0,{'0': 2},
12,Dr Mario,0.0,{'0': 1},
12,Falco,0.0,{'0': 2},
12,Marth,0.0,{'0': 2},
12,Lucina,0.0,{'0': 3},
12,Young Link,0.0,{'0': 2},
12,Ganondorf,0.0,{'0': 2},
12,Roy,0.0,{'0': 2},
12,Meta Knight,0.0,{'0': 1},
12,Pit,0.0,{'0': 2},
12,Zero Suit Samus,0.0,{'0': 1},
12,Wario,0.0,{'0': 4},
12,Sonic,0.0,{'0': 1},
12,King Dedede,0.0,{'0': 1},
12,Olimar,0.0,{'0': 1},
12,Sephiroth,0.0,{'0': 6},
12,Mega Man,0.0,{'0': 3},
12,Greninja,0.0,{'0': 3},
12,Robin,0.0,{'0': 2},
12,Shulk,0.0,{'0': 2},
12,Ryu,0.0,{'0': 1},
12,Corrin,0.0,{'0': 2},
12,Bayonetta,0.0,{'0': 2},
12,Ridley,0.0,{'0': 2},
12,King K Rool,0.0,{'0': 1},
12,Piranha Plant,0.0,{'0': 3},
12,Banjo and Kazooie,0.0,{'0': 2},
12,Terry,0.0,{'0': 3},
12,Mii Swordsman,0.0,{'0': 1},
12,Mario,0.0,{'0': 1},
12,Dark Samus,0.0,{'0': 1},
12,Yoshi,0.0,{'0': 2},
12,Kirby,0.0,{'0': 3},
12,Luigi,0.0,{'0': 2},
12,Ness,0.0,{'0': 1},
12,Jigglypuff,0.0,{'0': 1},
12,Daisy,0.0,{'0': 1},
12,Ice Climbers,0.0,{'0': 2},
12,Pichu,0.0,{'0': 1},
12,Mewtwo,0.0,{'0': 2},
12,Chrom,0.0,{'0': 2},
12,Mr Game and Watch,0.0,{'0': 1},
12,Dark Pit,0.0,{'0': 2},
12,Snake,0.0,{'0': 1},
12,Ike,0.0,{'0': 2},
12,Diddy Kong,0.0,{'0': 2},
12,Lucas,0.0,{'0': 1},
12,Lucario,0.0,{'0': 3},
12,ROB,0.0,{'0': 3},
12,Villager,0.0,{'0': 1},
12,Rosalina and Luma,0.0,{'0': 2},
12,Little Mac,0.0,{'0': 2},
12,Palutena,0.0,{'0': 1},
12,Pac-Man,0.0,{'0': 1},
12,Bowser Jr,0.0,{'0': 3},
12,Duck Hunt,0.0,{'0': 3},
12,Ken,0.0,{'0': 2},
12,Cloud,0.0,{'0': 2},
12,Inkling,0.0,{'0': 2},
12,Simon,0.0,{'0': 2},
12,Richter,0.0,{'0': 3},
12,Isabelle,0.0,{'0': 4},
12,Incineroar,0.0,{'0': 2},
12,Min Min,0.0,{'0': 3},
12,Steve,0.0,{'0': 3},
12,Pyra-Mythra,0.0,{'0': 3},
12,Kazuya,0.0,{'0': 3},
12,Sora,0.0,{'0': 2},
