rank,character,read_value,candidates,correct
1,Joker,61.0,{'61': 3},
2,Hero,42.0,{'42': 3},
3,Mii Gunner,22.0,{'22': 3},
4,Bowser,12.0,{'12': 3},
5,Link,8.0,{'8': 3},
6,Captain Falcon,4.0,{'4': 3},
7,Mii Swordsman,2.0,"{'2': 2, '5': 1}",
7,Lucina,2.0,{'2': 6},
7,Wii Fit Trainer,2.0,{'2': 3},
10,Samus,1.0,{'1': 3},
10,Sheik,1.0,{'1': 3},
10,Marth,1.0,{'1': 3},
10,Young Link,1.0,{'1': 3},
10,Ganondorf,1.0,{'1': 3},
10,Terry,1.0,{'1': 3},
10,Mii Brawler,1.0,{'1': 3},
17,Donkey Kong,0.0,{'0': 3},
17,Fox,0.0,{'0': 1},
17,Pikachu,0.0,{'0': 1},
17,Peach,0.0,{'0': 1},
17,Zelda,0.0,"{'0': 1, '6': 1}",
17,Dr Mario,0.0,{'0': 1},
17,Falco,0.0,{'0': 3},
17,Roy,0.0,{'0': 2},
17,Meta Knight,0.0,"{'0': 1, '8': 1}",
17,Pit,0.0,{'0': 1},
17,Zero Suit Samus,0.0,{'0': 2},
17,Wario,0.0,{'0': 2},
17,Pokemon Trainer,0.0,{'0': 3},
17,Sonic,0.0,{'0': 2},
17,King Dedede,0.0,{'0': 3},
17,Olimar,0.0,{'0': 1},
17,Toon Link,0.0,{'0': 3},
17,Wolf,0.0,{'0': 2},
17,Mega Man,0.0,{'0': 1},
17,Greninja,0.0,{'0': 3},
17,Robin,0.0,{'0': 1},
17,Shulk,0.0,{'0': 3},
17,Ryu,0.0,{'0': 2},
17,Corrin,0.0,{'0': 2},
17,Bayonetta,0.0,{'0': 2},
17,Ridley,0.0,{'0': 2},
17,King K Rool,0.0,{'0': 1},
17,Piranha Plant,0.0,{'0': 3},
17,Banjo and Kazooie,0.0,{'0': 5},
17,Byleth,0.0,{'0': 2},
17,Mario,0.0,{'0': 2},
17,Dark Samus,0.0,{'0': 1},
17,Yoshi,0.0,{'0': 2},
17,Kirby,0.0,{'0': 1},
17,Luigi,0.0,{'0': 1},
17,Ness,0.0,{'0': 3},
17,Jigglypuff,0.0,{'0': 3},
17,Daisy,0.0,{'0': 2},
17,Ice Climbers,0.0,{'0': 2},
17,Pichu,0.0,{'0': 3},
17,Mewtwo,0.0,{'0': 1},
17,Chrom,0.0,{'0': 2},
17,Mr Game and Watch,0.0,{'0': 1},
17,Dark Pit,0.0,{'0': 3},
17,Snake,0.0,{'0': 2},
17,Ike,0.0,{'0': 2},
17,Diddy Kong,0.0,{'0': 2},
17,Lucas,0.0,{'0': 3},
17,Lucario,0.0,{'0': 1},
17,ROB,0.0,{'0': 2},
17,Villager,0.0,{'0': 4},
17,Rosalina and Luma,0.0,{'0': 2},
17,Little Mac,0.0,{'0': 2},
17,Palutena,0.0,{'0': 2},
17,Pac-Man,0.0,{'0': 2},
17,Bowser Jr,0.0,{'0': 2},
17,Duck Hunt,0.0,{'0': 1},
17,Ken,0.0,{'0': 5},
17,Cloud,0.0,{'0': 3},
17,Inkling,0.0,{'0': 1},
17,Simon,0.0,{'0': 1},
17,Richter,0.0,{'0': 2},
17,Isabelle,0.0,{'0': 3},
17,Incineroar,0.0,{'0': 2},
17,Min Min,0.0,{'0': 2},
17,Steve,0.0,{'0': 1},
17,Sephiroth,0.0,{'0': 2},
17,Pyra-Mythra,0.0,{'0': 2},
17,Kazuya,0.0,{'0': 1},
17,Sora,0.0,{'0': 1},
