rank,character,read_value,candidates,correct
1,Bowser,195.0,{'195': 3},
2,Joker,96.0,{'96': 3},
3,Hero,59.0,{'59': 3},
4,Mii Brawler,32.0,{'32': 3},
5,Link,23.0,{'23': 3},
6,Mii Swordsman,11.0,{'11': 2},
7,Ganondorf,10.0,{'10': 3},
7,Mii Gunner,10.0,{'10': 6},
9,Donkey Kong,6.0,{'6': 3},
9,Captain Falcon,6.0,{'6': 3},
11,Bayonetta,5.0,"{'9': 2, '5': 1}",
12,Byleth,4.0,{'4': 3},
13,Roy,3.0,{'3': 3},
14,Fox,2.0,{'2': 3},
14,Marth,2.0,{'2': 3},
14,Lucina,2.0,{'2': 3},
14,Wario,2.0,{'2': 3},
14,Toon Link,2.0,{'2': 3},
14,Terry,2.0,{'2': 3},
20,Samus,1.0,{'1': 3},
20,Pikachu,1.0,{'1': 3},
20,Peach,1.0,{'1': 3},
20,Sheik,1.0,{'1': 3},
20,Zelda,1.0,{'1': 3},
20,Dr Mario,1.0,{'1': 3},
20,Falco,1.0,{'1': 3},
20,Pit,1.0,{'1': 3},
20,Zero Suit Samus,1.0,{'1': 3},
20,Pokemon Trainer,1.0,{'1': 3},
20,Olimar,1.0,{'1': 6},
20,Wolf,1.0,{'1': 3},
20,Wii Fit Trainer,1.0,{'1': 3},
20,Greninja,1.0,{'1': 3},
20,Ryu,1.0,{'1': 3},
20,Ridley,1.0,{'1': 3},
20,King K Rool,1.0,{'1': 3},
20,Banjo and Kazooie,1.0,{'1': 6},
38,Young Link,0.0,{'0': 2},
38,Meta Knight,0.0,{'0': 2},
38,Sonic,0.0,{'0': 2},
38,King Dedede,0.0,{'0': 1},
38,Mega Man,0.0,{'0': 1},
38,Robin,0.0,{'0': 2},
38,Shulk,0.0,{'0': 2},
38,Corrin,0.0,{'0': 2},
38,Piranha Plant,0.0,{'0': 2},
38,Mario,0.0,{'0': 1},
38,Dark Samus,0.0,{'0': 1},
38,Yoshi,0.0,{'0': 1},
38,Kirby,0.0,{'0': 2},
38,Luigi,0.0,{'0': 1},
38,Ness,0.0,{'0': 1},
38,Jigglypuff,0.0,{'0': 1},
38,Daisy,0.0,{'0': 2},
38,Ice Climbers,0.0,{'0': 2},
38,Pichu,0.0,{'0': 1},
38,Mewtwo,0.0,{'0': 2},
38,Chrom,0.0,{'0': 1},
38,Mr Game and Watch,0.0,{'0': 1},
38,Dark Pit,0.0,{'0': 1},
38,Snake,0.0,{'0': 1},
38,Ike,0.0,{'0': 2},
38,Diddy Kong,0.0,{'0': 3},
38,Lucas,0.0,{'0': 1},
38,Lucario,0.0,{'0': 1},
38,ROB,0.0,{'0': 2},
38,Villager,0.0,{'0': 2},
38,Rosalina and Luma,0.0,{'0': 1},
38,Little Mac,0.0,{'0': 2},
38,Palutena,0.0,{'0': 1},
38,Pac-Man,0.0,{'0': 2},
38,Bowser Jr,0.0,{'0': 2},
38,Duck Hunt,0.0,{'0': 4},
38,Ken,0.0,{'0': 2},
38,Cloud,0.0,{'0': 3},
38,Inkling,0.0,{'0': 1},
38,Simon,0.0,{'0': 1},
38,Richter,0.0,{'0': 1},
38,Isabelle,0.0,{'0': 3},
38,Incineroar,0.0,{'0': 2},
38,Min Min,0.0,{'0': 1},
38,Steve,0.0,{'0': 1},
38,Sephiroth,0.0,{'0': 2},
38,Pyra-Mythra,0.0,{'0': 2},
38,Kazuya,0.0,{'0': 1},
38,Sora,0.0,{'0': 1},
