rank,character,read_value,candidates,correct
1,Bowser,323.0,{'323': 3},
2,Joker,285.0,{'285': 3},
3,Mii Gunner,253.0,{'253': 3},
4,Hero,246.0,{'246': 3},
5,Pokemon Trainer,230.0,{'230': 3},
6,Donkey Kong,221.0,{'221': 3},
7,King K Rool,215.0,{'215': 3},
8,Pit,207.0,{'207': 6},
8,Mii Brawler,207.0,{'207': 3},
10,Mii Swordsman,203.0,{'203': 3},
11,Link,201.0,{'201': 3},
11,Roy,201.0,{'201': 3},
13,Captain Falcon,200.0,{'200': 3},
14,Ganondorf,198.0,{'198': 3},
15,Bayonetta,197.0,{'197': 6},
16,Toon Link,195.0,{'195': 3},
17,Young Link,188.0,{'188': 3},
18,Banjo and Kazooie,186.0,{'186': 3},
19,Terry,182.0,{'182': 3},
20,Samus,177,{'177': 3},
21,Dr Mario,176.0,{'176': 3},
22,Corrin,174.0,{'174': 6},
23,Lucina,172.0,{'172': 3},
23,Byleth,172.0,{'172': 3},
25,Sheik,168.0,{'168': 3},
25,Ryu,168.0,{'168': 3},
27,Fox,165.0,{'165': 3},
28,Wario,163.0,{'163': 3},
29,Peach,161.0,{'161': 3},
30,Piranha Plant,156.0,{'156': 3},
31,King Dedede,155.0,{'155': 3},
32,Olimar,153.0,{'153': 3},
33,Ridley,150.0,{'150': 3},
34,Robin,145.0,{'145': 3},
35,Sonic,143.0,{'143': 3},
36,Marth,140.0,{'140': 3},
37,Mega Man,132.0,{'132': 3},
38,Greninja,131.0,{'131': 3},
39,Falco,130.0,{'130': 3},
39,Wii Fit Trainer,130.0,{'130': 3},
41,Pikachu,121.0,{'121': 3},
41,Meta Knight,121.0,{'121': 3},
43,Zelda,114.0,{'114': 3},
43,Zero Suit Samus,114.0,"{'114': 5, '14': 1}",
45,Wolf,105.0,{'105': 3},
46,Shulk,41.0,{'41': 3},
47,Mario,0.0,{'0': 1},
47,Dark Samus,0.0,{'0': 1},
47,Yoshi,0.0,{'0': 3},
47,Kirby,0.0,{'0': 1},
47,Luigi,0.0,{'0': 3},
47,Ness,0.0,{'0': 1},
47,Jigglypuff,0.0,{'0': 1},
47,Daisy,0.0,{'0': 1},
47,Ice Climbers,0.0,{'0': 1},
47,Pichu,0.0,{'0': 2},
47,Mewtwo,0.0,{'0': 3},
47,Chrom,0.0,{'0': 2},
47,Mr Game and Watch,0.0,{'0': 1},
47,Dark Pit,0.0,{'0': 1},
47,Snake,0.0,{'0': 2},
47,Ike,0.0,{'0': 1},
47,Diddy Kong,0.0,{'0': 1},
47,Lucas,0.0,{'0': 2},
47,Lucario,0.0,{'0': 1},
47,ROB,0.0,{'0': 1},
47,Villager,0.0,{'0': 2},
47,Rosalina and Luma,0.0,{'0': 2},
47,Little Mac,0.0,{'0': 2},
47,Palutena,0.0,"{'0': 1, '4': 1}",
47,Pac-Man,0.0,{'0': 1},
47,Bowser Jr,0.0,{'0': 3},
47,Duck Hunt,0.0,{'0': 2},
47,Ken,0.0,{'0': 1},
47,Cloud,0.0,{'0': 1},
47,Inkling,0.0,{'0': 1},
47,Simon,0.0,{'0': 1},
47,Richter,0.0,{'0': 3},
47,Isabelle,0.0,{'0': 3},
47,Incineroar,0.0,{'0': 3},
47,Min Min,0.0,{'0': 1},
47,Steve,0.0,{'0': 2},
47,Sephiroth,0.0,{'0': 2},
47,Pyra-Mythra,0.0,{'0': 2},
47,Kazuya,0.0,"{'0': 1, '4': 1}",
47,Sora,0.0,{'0': 1},
