rank,character,read_value,candidates,correct
1,Bowser,42.43,{'42.43': 3},
2,Joker,18.17,{'18.17': 3},
3,Hero,15.91,{'15.91': 3},
4,Link,4.36,{'4.36': 3},
5,Mii Brawler,4.05,{'4.05': 3},
6,Mii Gunner,3.35,{'3.35': 3},
7,Mii Swordsman,2.88,{'2.88': 3},
8,Ganondorf,1.17,"{'1.17': 2, '0.07': 1}",
9,Captain Falcon,0.78,{'0.78': 3},
10,Donkey Kong,0.7,{'0.7': 3},
11,Toon Link,0.54,{'0.54': 3},
11,Bayonetta,0.54,{'0.54': 3},
13,Byleth,0.46,{'0.46': 3},
14,Pokemon Trainer,0.31,{'0.31': 3},
15,Samus,0.23,{'0.23': 3},
15,Fox,0.23,{'0.23': 3},
15,Zelda,0.23,{'0.23': 3},
15,Lucina,0.23,{'0.23': 3},
15,Roy,0.23,{'0.23': 3},
15,Wario,0.23,{'0.23': 3},
15,Wii Fit Trainer,0.23,{'0.23': 3},
15,Banjo and Kazooie,0.23,{'0.23': 3},
15,Terry,0.23,{'0.23': 6},
24,Pikachu,0.15,{'0.15': 3},
24,Falco,0.15,{'0.15': 3},
24,Marth,0.15,{'0.15': 3},
24,Young Link,0.15,{'0.15': 3},
24,King K Rool,0.15,{'0.15': 3},
29,Peach,0.07,{'0.07': 3},
29,Sheik,0.07,{'0.07': 3},
29,Dr Mario,0.07,{'0.07': 3},
29,Meta Knight,0.07,{'0.07': 3},
29,Pit,0.07,{'0.07': 3},
29,Zero Suit Samus,0.07,{'0.07': 3},
29,Sonic,0.07,{'0.07': 3},
29,King Dedede,0.07,{'0.07': 3},
29,Olimar,0.07,{'0.07': 3},
29,Sephiroth,0.07,"{'0.07': 3, '0.0': 3}",
29,Mega Man,0.07,{'0.07': 3},
29,Greninja,0.07,{'0.07': 3},
29,Robin,0.07,{'0.07': 3},
29,Shulk,0.07,{'0.07': 3},
29,Ryu,0.07,{'0.07': 3},
29,Corrin,0.07,{'0.07': 3},
29,Ridley,0.07,{'0.07': 3},
29,Piranha Plant,0.07,{'0.07': 3},
47,Mario,0.0,{'0.0': 3},
47,Dark Samus,0.0,{'0.0': 3},
47,Yoshi,0.0,{'0.0': 3},
47,Kirby,0.0,{'0.0': 3},
47,Luigi,0.0,{'0.0': 3},
47,Ness,0.0,{'0.0': 3},
47,Jigglypuff,0.0,{'0.0': 3},
47,Daisy,0.0,{'0.0': 3},
47,Ice Climbers,0.0,{'0.0': 3},
47,Pichu,0.0,{'0.0': 3},
47,Mewtwo,0.0,{'0.0': 3},
47,Chrom,0.0,{'0.0': 3},
47,Mr Game and Watch,0.0,{'0.0': 6},
47,Dark Pit,0.0,{'0.0': 3},
47,Snake,0.0,{'0.0': 3},
47,Ike,0.0,{'0.0': 3},
47,Diddy Kong,0.0,{'0.0': 3},
47,Lucas,0.0,{'0.0': 3},
47,Lucario,0.0,{'0.0': 3},
47,ROB,0.0,{'0.0': 3},
47,Villager,0.0,{'0.0': 3},
47,Rosalina and Luma,0.0,{'0.0': 3},
47,Little Mac,0.0,{'0.0': 3},
47,Palutena,0.0,{'0.0': 3},
47,Pac-Man,0.0,{'0.0': 3},
47,Bowser Jr,0.0,{'0.0': 3},
47,Duck Hunt,0.0,{'0.0': 3},
47,Ken,0.0,{'0.0': 3},
47,Cloud,0.0,{'0.0': 3},
47,Inkling,0.0,{'0.0': 3},
47,Simon,0.0,{'0.0': 3},
47,Richter,0.0,{'0.0': 3},
47,Isabelle,0.0,{'0.0': 6},
47,Incineroar,0.0,{'0.0': 6},
47,Min Min,0.0,{'0.0': 3},
47,Steve,0.0,{'0.0': 3},
47,Pyra-Mythra,0.0,{'0.0': 3},
47,Kazuya,0.0,{'0.0': 3},
47,Sora,0.0,{'0.0': 3},
