rank,character,read_value,candidates,correct
1,Bowser,200.0,"{'20': 2, '200': 1}",
2,Hero,10.0,{'10': 3},
3,Joker,9.0,"{'9': 2, '5': 1}",
4,Link,2.0,{'2': 3},
4,Mii Swordsman,2.0,{'2': 3},
6,Captain Falcon,1.0,{'1': 3},
6,Sheik,1.0,{'1': 3},
6,Lucina,1.0,{'1': 6},
6,Roy,1.0,{'1': 3},
6,Bayonetta,1.0,{'1': 3},
6,Mii Brawler,1.0,{'1': 3},
12,Donkey Kong,0.0,{'0': 3},
12,Samus,0.0,"{'0': 1, '8': 1}",
12,Fox,0.0,{'0': 1},
12,Pikachu,0.0,{'0': 1},
12,Peach,0.0,{'0': 2},
12,Zelda,0.0,{'0': 2},
12,Dr Mario,0.0,{'0': 1},
12,Falco,0.0,{'0': 2},
12,Marth,0.0,{'0': 2},
12,Young Link,0.0,{'0': 2},
12,Ganondorf,0.0,{'0': 2},
12,Meta Knight,0.0,{'0': 3},
12,Pit,0.0,{'0': 3},
12,Zero Suit Samus,0.0,{'0': 2},
12,Wario,0.0,{'0': 2},
12,Pokemon Trainer,0.0,{'0': 2},
12,Sonic,0.0,{'0': 3},
12,King Dedede,0.0,{'0': 1},
12,Olimar,0.0,{'0': 4},
12,Toon Link,0.0,{'0': 1},
12,Sephiroth,0.0,{'0': 4},
12,Mega Man,0.0,{'0': 1},
12,Wii Fit Trainer,0.0,{'0': 3},
12,Greninja,0.0,{'0': 3},
12,Robin,0.0,{'0': 1},
12,Shulk,0.0,{'0': 2},
12,Ryu,0.0,{'0': 2},
12,Corrin,0.0,{'0': 1},
12,Ridley,0.0,{'0': 1},
12,King K Rool,0.0,{'0': 3},
12,Piranha Plant,0.0,{'0': 1},
12,Banjo and Kazooie,0.0,{'0': 3},
12,Terry,0.0,{'0': 1},
12,Byleth,0.0,{'0': 1},
12,Mii Gunner,0.0,{'0': 2},
12,Mario,0.0,{'0': 2},
12,Dark Samus,0.0,{'0': 2},
12,Yoshi,0.0,{'0': 1},
12,Kirby,0.0,{'0': 2},
12,Luigi,0.0,{'0': 1},
12,Ness,0.0,{'0': 1},
12,Jigglypuff,0.0,{'0': 2},
12,Daisy,0.0,{'0': 1},
12,Ice Climbers,0.0,{'0': 3},
12,Pichu,0.0,{'0': 1},
12,Mewtwo,0.0,{'0': 1},
12,Chrom,0.0,{'0': 1},
12,Mr Game and Watch,0.0,{'0': 2},
12,Dark Pit,0.0,{'0': 1},
12,Snake,0.0,{'0': 2},
12,Ike,0.0,{'0': 3},
12,Diddy Kong,0.0,{'0': 2},
12,Lucas,0.0,"{'0': 2, '4': 1}",
12,Lucario,0.0,{'0': 2},
12,ROB,0.0,{'0': 1},
12,Villager,0.0,{'0': 2},
12,Rosalina and Luma,0.0,{'0': 1},
12,Little Mac,0.0,{'0': 2},
12,Palutena,0.0,{'0': 1},
12,Pac-Man,0.0,{'0': 2},
12,Bowser Jr,0.0,{'0': 2},
12,Duck Hunt,0.0,{'0': 1},
12,Ken,0.0,"{'0': 1, '6': 1}",
12,Cloud,0.0,{'0': 2},
12,Inkling,0.0,{'0': 1},
12,Simon,0.0,{'0': 1},
12,Richter,0.0,{'0': 2},
12,Isabelle,0.0,{'0': 3},
12,Incineroar,0.0,{'0': 2},
12,Min Min,0.0,{'0': 1},
12,Steve,0.0,{'0': 2},
12,Pyra-Mythra,0.0,{'0': 2},
12,Kazuya,0.0,{'0': 1},
12,Sora,0.0,{'0': 1},
