rank,character,read_value,candidates,correct
1,Snake,4.0,{'4.0': 3},
2,Yoshi,3.0,{'3.0': 3},
2,Luigi,3.0,{'3.0': 3},
2,Ness,3.0,{'3.0': 6},
2,Captain Falcon,3.0,{'3.0': 6},
2,Jigglypuff,3.0,{'3.0': 6},
2,Ice Climbers,3.0,{'3.0': 6},
2,Zelda,3.0,{'3.0': 6},
2,Pichu,3.0,{'3.0': 3},
2,Marth,3.0,{'3.0': 3},
2,Meta Knight,3.0,{'3.0': 6},
2,Lucario,3.0,{'3.0': 3},
2,Wolf,3.0,{'3.0': 3},
2,Mega Man,3.0,{'3.0': 3},
2,Ridley,3.0,{'3.0': 3},
2,Banjo and Kazooie,3.0,{'3.0': 3},
2,Min Min,3.0,{'3.0': 3},
2,Sephiroth,3.0,{'3.0': 6},
19,Dark Pit,2.84,{'2.84': 3},
20,Shulk,2.82,{'2.82': 3},
21,Byleth,2.8,{'2.8': 3},
22,Palutena,2.77,{'2.77': 3},
23,Young Link,2.75,{'2.75': 3},
24,Cloud,2.71,{'2.71': 3},
25,Bayonetta,2.66,{'2.66': 3},
25,King K Rool,2.66,{'2.66': 3},
25,Isabelle,2.66,{'2.66': 3},
28,King Dedede,2.65,{'2.65': 3},
29,Ike,2.58,{'2.58': 3},
30,Corrin,2.57,{'2.57': 3},
31,Ganondorf,2.54,{'2.54': 3},
32,Terry,2.5,{'2.5': 3},
33,Little Mac,2.47,{'2.47': 3},
34,Villager,2.46,{'2.46': 3},
35,Bowser,2.44,{'2.44': 3},
36,Fox,2.4,{'2.4': 3},
37,Donkey Kong,2.0,{'2.0': 3},
37,Samus,2.0,{'2.0': 3},
37,Peach,2.0,{'2.0': 3},
37,Falco,2.0,{'2.0': 6},
37,Chrom,2.0,{'2.0': 3},
37,Zero Suit Samus,2.0,{'2.0': 3},
37,Lucas,2.0,{'2.0': 3},
37,Toon Link,2.0,{'2.0': 3},
37,Pac-Man,2.0,{'2.0': 3},
46,Hero,1.86,{'1.86': 3},
47,Link,1.6,{'1.6': 3},
48,Kirby,1.5,{'1.5': 3},
49,Pit,1.33,{'1.33': 3},
50,Joker,1.0,{'1.0': 3},
51,Mario,0.66,{'0.66': 3},
52,Inkling,0.0,{'0.0': 3},
52,Piranha Plant,0.0,{'0.0': 3},
52,Dark Samus,0.0,{'0.0': 3},
52,Pikachu,0.0,{'0.0': 3},
52,Daisy,0.0,{'0.0': 3},
52,Sheik,0.0,{'0.0': 3},
52,Dr Mario,0.0,{'0.0': 3},
52,Lucina,0.0,{'0.0': 3},
52,Mewtwo,0.0,{'0.0': 3},
52,Roy,0.0,{'0.0': 3},
52,Mr Game and Watch,0.0,{'0.0': 3},
52,Wario,0.0,{'0.0': 3},
52,Pokemon Trainer,0.0,{'0.0': 3},
52,Diddy Kong,0.0,{'0.0': 3},
52,Sonic,0.0,{'0.0': 3},
52,Olimar,0.0,{'0.0': 3},
52,ROB,0.0,{'0.0': 3},
52,Wii Fit Trainer,0.0,{'0.0': 3},
52,Rosalina and Luma,0.0,{'0.0': 3},
52,Greninja,0.0,{'0.0': 3},
52,Robin,0.0,{'0.0': 3},
52,Bowser Jr,0.0,{'0.0': 3},
52,Duck Hunt,0.0,{'0.0': 3},
52,Ryu,0.0,{'0.0': 3},
52,Ken,0.0,{'0.0': 3},
52,Simon,0.0,{'0.0': 3},
52,Richter,0.0,{'0.0': 3},
52,Incineroar,0.0,{'0.0': 6},
52,Steve,0.0,{'0.0': 6},
52,Pyra-Mythra,0.0,{'0.0': 6},
52,Kazuya,0.0,{'0.0': 6},
52,Sora,0.0,{'0.0': 6},
52,Mii Brawler,0.0,{'0.0': 3},
52,Mii Swordsman,0.0,{'0.0': 3},
52,Mii Gunner,0.0,{'0.0': 3},
