rank,character,read_value,candidates,correct
1,Villager,840.0,{'840': 3},
2,Ike,232.0,{'232': 3},
3,King Dedede,167.0,{'167': 3},
4,Corrin,114.0,{'114': 6},
5,Cloud,109.0,{'109': 6},
6,Little Mac,85.0,{'85': 6},
7,Palutena,75.0,"{'13': 2, '15': 2, '75': 2}",
8,Byleth,55.0,"{'95': 4, '55': 2}",
9,Shulk,46.0,{'46': 3},
10,Ganondorf,31.0,{'31': 3},
11,Bayonetta,24.0,{'24': 3},
12,Hero,15.0,{'15': 3},
13,Dark Pit,13.0,{'13': 3},
14,Bowser,9.0,{'9': 2},
15,Samus,8.0,{'8': 3},
15,Captain Falcon,8.0,{'8': 3},
15,Young Link,8.0,{'8': 3},
18,Terry,6.0,{'6': 3},
19,Link,5.0,{'5': 1},
19,Fox,5.0,"{'9': 2, '5': 1}",
19,Luigi,5.0,"{'9': 2, '5': 1}",
19,Banjo and Kazooie,5.0,"{'9': 2, '5': 1}",
23,Mario,3.0,{'3': 3},
23,Donkey Kong,3.0,{'3': 3},
23,Jigglypuff,3.0,{'3': 3},
23,Pit,3.0,{'3': 3},
23,King K Rool,3.0,{'3': 3},
23,Isabelle,3.0,{'3': 3},
29,Kirby,2.0,{'2': 3},
29,Snake,2.0,{'2': 3},
29,Min Min,2.0,{'2': 3},
32,Yoshi,1.0,{'1': 3},
32,Peach,1.0,{'1': 3},
32,Ice Climbers,1.0,{'1': 3},
32,Zelda,1.0,{'1': 3},
32,Pichu,1.0,{'1': 3},
32,Falco,1.0,{'1': 3},
32,Marth,1.0,{'1': 3},
32,Chrom,1.0,{'1': 3},
32,Meta Knight,1.0,{'1': 3},
32,Zero Suit Samus,1.0,{'1': 3},
32,Lucas,1.0,{'1': 3},
32,Lucario,1.0,{'1': 3},
32,Toon Link,1.0,{'1': 3},
32,Sephiroth,1.0,{'1': 6},
32,Mega Man,1.0,{'1': 3},
32,Pac-Man,1.0,{'1': 3},
32,Inkling,1.0,{'1': 3},
32,Ridley,1.0,{'1': 3},
32,Piranha Plant,1.0,{'1': 3},
32,Joker,1.0,{'1': 3},
52,Dark Samus,0.0,{'0': 1},
52,Pikachu,0.0,{'0': 2},
52,Daisy,0.0,{'0': 2},
52,Sheik,0.0,{'0': 2},
52,Dr Mario,0.0,{'0': 2},
52,Lucina,0.0,{'0': 2},
52,Mewtwo,0.0,{'0': 1},
52,Roy,0.0,{'0': 1},
52,Mr Game and Watch,0.0,{'0': 3},
52,Wario,0.0,{'0': 1},
52,Pokemon Trainer,0.0,{'0': 1},
52,Diddy Kong,0.0,{'0': 2},
52,Sonic,0.0,{'0': 2},
52,Olimar,0.0,{'0': 1},
52,ROB,0.0,{'0': 1},
52,Wii Fit Trainer,0.0,{'0': 3},
52,Rosalina and Luma,0.0,{'0': 1},
52,Greninja,0.0,{'0': 2},
52,Robin,0.0,{'0': 2},
52,Bowser Jr,0.0,{'0': 3},
52,Duck Hunt,0.0,{'0': 1},
52,Ryu,0.0,{'0': 2},
52,Ken,0.0,{'0': 2},
52,Simon,0.0,{'0': 1},
52,Richter,0.0,{'0': 2},
52,Incineroar,0.0,{'0': 5},
52,Steve,0.0,{'0': 3},
52,Pyra-Mythra,0.0,{'0': 3},
52,Kazuya,0.0,{'0': 3},
52,Sora,0.0,{'0': 2},
52,Mii Brawler,0.0,{'0': 2},
52,Mii Swordsman,0.0,{'0': 2},
52,Mii Gunner,0.0,{'0': 1},
