rank,character,read_value,candidates,correct
1,Villager,261776.0,{'261776': 3},
2,Ike,80790.0,{'80790': 3},
3,King Dedede,55557.0,"{'99997': 2, '55557': 1}",
4,Cloud,36022.0,{'36022': 6},
5,Corrin,35173.0,{'35173': 6},
6,Little Mac,26509.0,{'26509': 6},
7,Palutena,23858.0,{'23858': 6},
8,Byleth,17503.0,{'17503': 6},
9,Shulk,14508.0,{'14508': 3},
10,Ganondorf,9438.0,{'9438': 3},
11,Bayonetta,7215.0,{'7215': 1},
12,Hero,5637.0,"{'9637': 2, '5637': 1}",
13,Dark Pit,4496.0,{'4496': 3},
14,Captain Falcon,2710.0,{'2710': 3},
15,Terry,2520.0,{'2520': 3},
16,Bowser,2465.0,{'2465': 3},
17,Young Link,2297.0,{'2297': 3},
18,Samus,1920.0,{'1920': 3},
19,Fox,1305.0,{'1305': 3},
20,King K Rool,1157.0,{'1157': 3},
21,Link,1146.0,{'1146': 3},
22,Luigi,905.0,{'905': 3},
23,Banjo and Kazooie,873.0,{'873': 3},
24,Chrom,850.0,{'850': 3},
25,Sephiroth,802.0,"{'802': 3, '213': 3}",
26,Donkey Kong,754.0,"{'1354': 2, '754': 1}",
27,Min Min,747.0,"{'147': 2, '747': 1}",
28,Isabelle,716.0,"{'716': 2, '16': 1}",
29,Jigglypuff,517.0,"{'917': 2, '517': 1}",
30,Snake,495.0,{'495': 3},
31,Toon Link,491.0,{'491': 3},
32,Lucas,463.0,{'463': 6},
33,Pit,453.0,{'453': 3},
34,Ridley,435.0,{'435': 3},
35,Mario,391.0,{'391': 3},
35,Ice Climbers,391.0,{'391': 3},
37,Falco,389.0,{'389': 3},
38,Zero Suit Samus,383.0,{'383': 3},
39,Pac-Man,368.0,{'368': 3},
40,Ness,328.0,{'328': 3},
41,Meta Knight,320.0,{'320': 3},
42,Zelda,308.0,{'308': 3},
43,Lucario,298.0,{'298': 3},
44,Yoshi,261.0,{'261': 3},
45,Peach,256.0,{'256': 3},
46,Kirby,194.0,{'194': 3},
47,Marth,160.0,{'160': 3},
48,Mega Man,154.0,{'154': 3},
49,Piranha Plant,129.0,{'129': 3},
50,Inkling,94.0,{'94': 3},
51,Joker,45.0,{'45': 3},
52,Dark Samus,0.0,{'0': 1},
52,Pikachu,0.0,{'0': 2},
52,Daisy,0.0,{'0': 2},
52,Sheik,0.0,{'0': 2},
52,Dr Mario,0.0,{'0': 2},
52,Lucina,0.0,{'0': 1},
52,Mewtwo,0.0,{'0': 2},
52,Roy,0.0,{'0': 2},
52,Mr Game and Watch,0.0,{'0': 4},
52,Wario,0.0,{'0': 1},
52,Pokemon Trainer,0.0,{'0': 2},
52,Diddy Kong,0.0,{'0': 1},
52,Sonic,0.0,{'0': 2},
52,Olimar,0.0,{'0': 2},
52,ROB,0.0,{'0': 1},
52,Wii Fit Trainer,0.0,{'0': 1},
52,Rosalina and Luma,0.0,{'0': 2},
52,Greninja,0.0,{'0': 2},
52,Robin,0.0,{'0': 2},
52,Bowser Jr,0.0,{'0': 2},
52,Duck Hunt,0.0,{'0': 2},
52,Ryu,0.0,{'0': 2},
52,Ken,0.0,{'0': 2},
52,Simon,0.0,{'0': 2},
52,Richter,0.0,{'0': 1},
52,Incineroar,0.0,{'0': 3},
52,Steve,0.0,{'0': 2},
52,Pyra-Mythra,0.0,"{'0': 3, '4': 1}",
52,Kazuya,0.0,{'0': 4},
52,Sora,0.0,{'0': 4},
52,Mii Brawler,0.0,{'0': 4},
52,Mii Swordsman,0.0,{'0': 1},
52,Mii Gunner,0.0,{'0': 2},
